"rownum","MinLevel","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","i32","i32"
0,1,2,3,0,0,0,0,2000,7,20,3,3,5,600
1,2,2,3,0,0,0,0,2000,7,20,3,3,5,600
2,3,2,3,0,0,0,0,2000,7,20,3,3,5,600
3,4,2,3,5,10,3,6,2000,7,20,3,3,5,600
4,5,2,3,5,10,3,6,2000,7,20,3,3,5,600
5,6,2,3,5,10,3,6,2000,7,20,3,3,5,600
6,7,2,3,5,10,3,6,2000,7,20,3,3,5,600
7,8,2,3,5,10,3,6,2000,7,20,3,3,5,600
8,9,2,3,5,10,3,6,2000,7,20,3,3,5,600
9,10,2,3,5,10,3,6,2000,7,20,3,3,5,600
10,11,2,3,5,10,3,6,2000,7,20,3,3,5,600
11,12,2,3,5,10,3,6,2000,7,20,3,3,5,600
12,13,2,3,5,10,3,6,2000,8,20,3,3,5,600
13,14,2,3,5,10,3,6,2000,8,20,3,3,5,600
14,15,2,3,5,10,3,6,2000,8,20,3,3,5,600
15,16,2,3,5,10,3,6,2000,8,20,3,3,5,600
16,17,2,3,5,10,3,6,2000,8,20,3,3,5,600
17,18,2,3,5,10,3,6,2000,8,24,3,3,5,600
18,19,2,3,5,10,3,6,2000,8,24,3,3,5,600
19,20,2,3,5,10,3,6,2000,8,24,3,3,5,600
20,21,2,3,5,10,3,6,2000,8,24,3,3,5,600
21,22,2,3,5,10,3,6,2000,8,24,3,3,5,600
22,23,2,3,5,10,3,6,2000,8,24,3,3,5,600
23,24,2,3,5,10,3,6,2000,8,24,3,3,5,600
24,25,2,3,5,10,3,6,2000,8,24,3,3,5,600
25,26,2,3,5,10,3,6,2000,8,24,3,3,5,600
26,27,2,3,5,10,3,6,2000,8,24,3,3,5,600
27,28,2,3,5,10,3,6,2000,8,24,3,3,5,600
28,29,2,3,5,10,3,6,2000,8,24,3,3,5,600
29,30,2,3,5,10,3,6,2000,8,24,3,3,5,600
30,31,2,3,5,10,3,6,2000,8,24,3,3,5,600
31,32,2,3,5,10,3,6,2000,8,24,3,3,5,600
32,33,2,3,5,10,3,6,2000,8,24,3,3,5,600
33,34,2,3,8,14,4,8,2000,9,32,3,3,5,800
34,35,2,3,8,14,4,8,2000,9,32,3,3,5,800
35,36,2,3,8,14,4,8,2000,9,32,3,3,5,800
36,37,2,3,8,14,4,8,2000,9,32,3,3,5,800
37,38,2,3,8,14,4,8,2000,9,32,3,3,5,800
38,39,2,3,8,14,4,8,2000,9,32,3,3,5,800
39,40,2,3,8,14,4,8,2000,9,32,3,3,5,800
40,41,2,3,8,14,4,8,2000,9,32,3,3,5,800
41,42,2,3,8,14,4,8,2000,9,32,3,3,5,800
42,43,2,3,8,14,4,8,2000,9,32,3,3,5,800
43,44,2,3,8,14,4,8,2000,9,32,3,3,5,800
44,45,2,3,8,14,4,8,2000,9,32,3,3,5,1000
45,46,2,4,10,18,6,10,2000,9,32,3,3,5,1000
46,47,2,4,10,18,6,10,2000,9,32,3,3,5,1000
47,48,2,4,10,18,6,10,2000,9,32,3,3,5,1000
48,49,2,4,10,18,6,10,2000,9,32,3,3,5,1000
49,50,2,4,10,18,6,10,2000,9,32,3,3,5,1000
50,51,2,4,10,18,6,10,2000,9,35,3,3,5,1000
51,52,2,4,10,18,6,10,2000,9,35,3,3,5,1000
52,53,2,4,10,18,6,10,2000,9,35,3,3,5,1000
53,54,2,4,10,18,6,10,2000,9,35,3,3,5,1000
54,55,2,4,10,18,6,10,2000,9,35,3,3,5,1000
55,56,2,4,10,18,6,10,2000,9,35,3,3,5,1200
56,57,2,4,10,18,6,10,2000,9,35,3,3,5,1200
57,58,2,4,10,18,6,10,2000,9,35,3,3,5,1200
58,59,2,4,10,18,6,10,2000,9,35,3,3,5,1200
59,60,2,4,10,18,6,10,2000,9,35,3,3,5,1400
60,61,2,4,10,18,6,10,2000,10,35,3,3,5,1400
61,62,2,4,10,18,6,10,2000,10,35,3,3,5,1400
62,63,2,4,10,18,6,10,2000,10,35,3,3,5,1400
63,64,2,4,10,18,6,10,2000,10,35,3,3,5,1600
64,65,2,4,10,18,6,10,2000,10,35,3,3,5,1600
65,66,2,4,10,18,6,10,2000,10,35,3,3,5,1600
66,67,2,4,10,18,6,10,2000,10,35,3,3,5,1600
67,68,3,4,14,24,8,14,2000,11,35,3,3,5,2000
68,69,3,4,14,24,8,14,2000,11,40,3,3,5,2000
69,70,3,4,14,24,8,14,2000,11,40,3,3,5,2000
70,71,3,4,14,24,8,14,2000,11,40,3,3,5,2000
71,72,3,4,14,24,8,14,2000,11,40,3,3,5,2000
72,73,3,4,14,24,8,14,2000,11,40,3,3,5,2000
73,74,3,4,14,24,8,14,2000,11,40,3,3,5,2000
74,75,3,4,14,24,8,14,2000,11,40,3,3,5,2000
75,76,3,4,14,24,8,14,2000,11,40,3,3,5,2000
76,77,3,4,14,24,8,14,2000,12,40,3,3,5,2000
77,78,3,4,14,24,8,14,2000,12,40,3,3,5,2000
78,79,3,4,14,24,8,14,2000,12,40,3,3,5,2000
79,80,3,4,14,24,8,14,2000,12,40,3,3,5,2000
80,81,3,4,14,24,8,14,2000,12,40,3,3,5,2000
81,82,3,4,14,24,8,14,2000,12,40,3,3,5,2000
82,83,3,4,14,24,8,14,2000,12,40,3,3,5,2000
