"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","i32","rid","QuestKey","i32","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32"
0,1,0,"Introduction",[],[],[14],"",14,3,"",14,"[0,1,2,3,4,5,6]","",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
1,1,1,"The Medicine Chest",[50],[42],[43],"",43,5,"",43,[7],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
2,1,2,"Medicine Chest Reward",[43],[42],[41],"",41,6,1,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
3,1,3,"Medicine Chest Reward 2",[43],[1878],[1877],"",1877,6,2,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
4,1,4,"Tarkleigh",[15],[],[279],"",2626,3,"",279,[8],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
5,1,5,"Lioneye's Watch",[],[43],[40],"",40,5,"",40,[9],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
6,1,6,"Lioneye's Watch",[43],[],[40],"",2626,3,"",40,[10],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
7,1,7,"Piety",[588],[],[280],"",2626,3,"",280,[11],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
8,1,8,"Rhoas",[31],[],[282],"",2626,3,"",282,[12],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
9,1,9,"Bestel",[32],[],[283],"",2626,3,"",283,[13],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
10,1,10,"Brutus",[131],"[798,6]",[285],"",285,5,"",285,[14],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
11,1,11,"Prison Reward",[285],"[798,44]",[799],"",799,6,8,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
12,1,12,"Brutus",[6],[],[44],"",44,3,"",44,[15],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
13,1,13,"Prison Reward",[44],[798],[799],"",799,6,8,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
14,1,14,"Reopened Passage",[234],[],[286],"",2626,3,"",286,[16],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
15,1,15,"Merveil",[34],[10],[9],"",9,5,"",9,[17],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
16,1,16,"Merveil's Lair",[133],"[73,10]","[74,9]","",74,5,"",74,[18],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
17,1,17,"Merveil Reward",[74],"[73,273]",[39],"",39,6,10,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
18,1,18,"Merveil",[10],[],"[35,273]","",273,3,"",273,[19],"",1,"",[],[],1211,[],1211,"","","","","","","",45,[],45
19,1,19,"Merveil Reward",[273],[73],[39],"",39,6,10,72,[],"","","",[],[],1211,[],1211,"","","","","","","",45,[],45
20,1,20,"Purchase Items",[],[],[],"",2626,23,"",72,[],"","","",[],[],1211,[],1211,"","","","","",1,"",45,[],45
