"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","i32","i32","[i32]","bool","bool"
0,"SkillGemTutorial","",58,"",0,[],12,100,[],"",1
1,"LifeFlaskTutorial","",58,"",0,[],23,100,[],"",1
2,"ManaFlaskTutorial","",58,"",0,[],220,100,[],"",1
3,"SupportGemTutorial","",58,"",0,[],219,100,[],"",1
4,"PassivePointTutorial","",58,"",0,[],281,100,[],"",1
5,"SecondPassivePointTutorial","",58,"",0,[],369,100,[],"",1
6,"StashTutorial","",58,"",0,[],432,100,[],"",1
7,"OverlapMapTutorial","",58,"",0,[],433,100,[],"",1
8,"AttackInPlaceTutorial","",58,"",0,[],894,100,[],"",1
9,"WaypointTutorial","",58,"",0,[],112,100,[],"",1
10,"ItemComparisonTutorial","",58,"",0,[],91,100,[],"",1
11,"WisdomScrollTutorial","",58,"",0,[],370,100,[],"",1
12,"GemLevelUpTutorial","",58,"",0,[],371,100,[],"",1
13,"PortalScrollTutorial","",58,"",0,[],1862,100,[],"",1
14,"ReturnToCoastTutorial","",58,"",0,[],1863,100,[],"",1
15,"ShopOrCosmeticsTabOpened","",58,"",0,[],1784,100,[],"",1
16,"XboxDelveBindingTutorial","",58,"",0,[],2027,100,[],"",1
17,"AllTutorials","",58,"",0,[],368,100,[],"",1
18,"WatchstoneTutorial","",58,"",0,[],1880,100,[],"",1
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",62,"",0,[],2626,100,[],"",1
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",111,"",0,[],2626,100,[],"",1
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",94,"",0,[],2626,100,[],"",1
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",170,"",0,[],2626,100,[],"",1
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3679,1,2,[125],1761,3,[],"",1
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",3108,1,2,[125],1719,3,[],"",""
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",3084,1,2,[125],1720,3,[],"",""
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3117,1,2,[125],1721,4,[],"",""
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3077,1,2,[129],1722,4,[],"",""
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3078,1,2,[129],1723,6,[],"",""
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3079,1,2,[1723],1724,10,[],"",""
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3186,1,2,[43],1726,10,[],"",1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3081,1,3,[125],1725,7,[],"",""
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3082,1,3,[1771],1727,7,[],"",1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3080,1,3,[1772],1728,10,[],"",""
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3183,1,2,[1785],1756,25,[],"",1
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3085,1,3,"[1774,6]",1731,10,[],"",""
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3088,1,10,"[151,1775]",1733,20,[],"",1
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3089,1,5,"[1776,151,825]",1734,90,[],"",1
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3802,1,2,[1938],1939,90,[],"",1
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3090,"",3,[151],1735,25,[],"",1
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3091,"",13,[151],1736,43,[200],"",1
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3150,1,7,[938],1738,28,[],"",1
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3093,1,20,[898],1739,45,[],"",1
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4324,1,25,[],2024,90,[9],"",1
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4154,1,45,[1963],2626,90,[],"",1
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",4034,"",2,[],1940,90,[112],"",1
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3098,1,40,[1176],1744,90,[],"",1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3732,"",60,[1786],1751,90,[],"",1
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3852,1,30,[480],1879,90,[],"",1
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4844,1,50,[],2146,70,[93],"",1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3138,1,4,[378],1737,90,[],"",1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3094,1,15,[],1740,30,[],"",""
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3095,1,15,[],1741,35,[],"",""
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3087,1,12,[],1732,20,[],"",""
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",3053,1,7,[],1729,25,[],1,""
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3096,1,15,"[1777,775]",1742,50,[],"",1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3097,1,10,"[1041,1784]",1743,90,[],"",""
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3099,"",55,[1783],1745,75,[1035],"",1
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4843,"",60,[],2147,72,[295],"",""
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3100,"",8,[151],2626,8,[],"",1
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3101,"",8,[151],2626,8,[],"",1
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3102,"",20,[],1746,27,[],1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3103,"",60,[151],2626,75,[],"",1
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3104,"",10,[1773],1747,25,[],"",1
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3105,"",20,[1778],1748,40,[],"",1
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3106,"",4,[1779],1749,40,[],"",1
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3107,1,2,[],125,2,[],"",""
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3092,1,2,[],125,2,[],"",""
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3178,"",2,[1780],2626,10,[],"",1
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3179,"",2,[],2626,10,[],"",1
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3180,"",2,[],2626,10,[],"",1
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3181,"",2,[],2626,10,[],"",1
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3182,"",2,[1782],2626,10,[],"",1
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3184,"",2,[],2626,10,[],"",1
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3185,"",2,[],2626,10,[],"",1
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3803,"",2,[],2626,10,[],"",1
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3187,"",0,[],2626,100,[],"",1
77,"HidePopups","",58,"",0,[],714,100,[],"",""
