"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7107,0,0,0,[3044],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7108,0,0,0,[3045],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7109,0,0,0,[3044],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7110,0,0,0,[3045],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7111,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7119,0,1,0,[3044],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7121,0,1,1,[3048],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7123,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7127,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7129,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7133,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7134,2,0,0,[3049],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7137,2,1,1,[3052],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7139,2,1,0,[3051],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7143,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7145,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7147,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7152,3,0,0,[3057],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7154,3,0,0,[3057],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7159,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7160,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7162,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7167,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7169,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7172,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7171
25,7175,4,0,0,[3055],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7176,4,0,0,[3055],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7177,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7184,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7185,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7190,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7192,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7194,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7196,1,0,0,[3059],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7197,1,0,0,[3059],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7198,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7205,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7208,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7211,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7213,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7216,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7218,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7220,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7112,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7113,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7114,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7115,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7116,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7124,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7125,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7126,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
