"rownum","BaseItemTypesKey","IsEnabled","bool"
0,7967,1,1
1,7968,1,1
2,7969,1,1
3,7970,1,1
4,7971,1,1
5,7972,1,1
6,7973,1,1
7,7974,1,1
8,7975,1,1
9,7976,1,1
10,7977,1,1
11,7978,1,1
12,7979,1,1
13,7980,1,1
14,7981,1,1
15,7982,1,1
16,7983,1,1
17,7984,1,1
18,7985,1,1
19,7986,1,1
20,7987,1,1
21,7988,1,1
22,7989,1,1
23,7990,1,1
24,7991,1,1
25,7992,1,1
26,7993,1,1
27,7994,1,1
28,7995,1,1
29,7996,1,1
30,7997,1,1
31,7998,1,1
32,7999,1,1
33,8000,1,1
34,8001,1,1
35,8002,1,1
36,8003,1,1
37,8004,1,1
38,8005,1,1
39,8006,1,1
40,8007,1,1
41,8008,1,1
42,8009,1,1
43,8010,1,1
44,8011,1,1
45,8012,1,1
46,8013,1,1
47,8014,1,1
48,8015,1,1
49,8016,1,1
50,8017,1,1
51,8018,1,1
52,8019,1,1
53,8020,1,1
54,8021,1,1
55,8022,1,1
56,8023,1,1
57,8024,1,1
58,8025,1,1
59,8026,1,1
60,8027,1,1
61,8028,1,1
62,8029,1,1
63,8030,1,1
64,8031,1,1
65,8032,1,1
66,8033,1,1
67,8034,1,1
68,8035,1,1
69,8036,1,1
70,8037,1,1
71,8038,1,1
72,8039,1,1
73,8040,1,1
74,8041,1,1
75,8042,1,1
76,8043,1,1
77,8044,1,1
78,8045,1,1
79,8046,1,1
80,8047,1,1
81,8048,1,1
82,8049,1,1
83,8050,1,1
84,8051,1,1
85,8052,1,1
86,8053,1,1
87,8054,1,1
88,8055,1,1
89,8056,1,1
90,8057,1,1
91,8058,1,1
92,8059,1,1
93,8060,1,1
94,8061,1,1
95,8062,1,1
96,8063,1,1
97,8064,1,1
98,8065,1,1
99,8066,1,1
100,8067,1,1
101,8068,1,1
102,8069,1,1
103,8070,1,1
104,8071,1,1
105,8072,1,1
106,8073,1,1
107,8074,1,1
108,8075,1,1
109,8076,1,1
110,8077,1,1
111,8078,1,1
112,8079,1,1
113,8080,1,1
114,8081,1,1
115,8082,1,1
116,8083,1,1
117,8084,1,1
118,8085,1,1
119,8086,1,1
120,8087,1,1
121,8088,1,1
122,8089,1,1
123,8090,1,1
124,8091,1,1
125,8092,1,1
126,8093,1,1
127,8094,1,1
128,8095,1,1
129,8096,1,1
130,8097,1,1
131,8098,1,1
132,8099,1,1
133,8100,1,1
134,8101,1,1
135,8103,1,1
136,8102,1,1
137,8104,"",1
138,8105,1,1
139,8106,1,1
140,8107,1,1
141,8108,1,1
142,8109,1,1
143,8110,1,1
144,8111,1,1
145,8112,1,1
146,8113,1,1
147,8114,1,1
148,8115,1,1
149,8116,1,1
150,8117,1,1
151,8118,1,1
152,8120,1,1
153,8121,1,1
154,8122,"",1
155,8123,1,1
156,8124,1,1
157,8125,1,1
