"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1101,0,338,[],[],8884,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1103,0,338,[],[],8884,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1105,0,338,[],[],8884,"",[],[],0,345,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4222,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4229,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4236,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4236,1,338,[1231],[20],6673,"",[],[],0,345,[7655],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,5990,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,5991,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,5992,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,5993,0,338,[],[],8884,"",[],[],0,345,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,498,[10563],[1],8821,"",[],[],0,487,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,498,[10563],[1],8848,1,[],[],0,487,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,498,[10563],[1],8859,1,"[175,318,4553]","[200,400,1]",0,487,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,498,[10563],[1],8852,1,[1212],[200],0,487,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2685,0,338,[],[],8884,"",[],[],0,345,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2685,1,654,[],[],8840,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2648,0,338,[],[],8884,"",[],[],0,345,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2648,1,654,[],[],8840,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2653,0,338,[],[],8884,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2653,2,1930,[],[],8904,51,"[173,2504]","[4,10]",0,"",[1931],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2653,3,1930,[],[],8906,51,"[3213,5759]","[20,-40]",0,"",[1931],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2653,4,1930,[],[],8846,51,"[173,2504]","[0,5]",0,"",[1931],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2688,0,338,[],[],8884,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2688,2,1930,[],[],8904,51,"[173,2504]","[4,10]",0,"",[1931],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2688,3,1930,[],[],8906,51,"[3213,5759]","[20,-40]",0,"",[1931],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2688,4,1930,[],[],8846,51,"[173,2504]","[0,5]",0,"",[1931],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
27,2711,0,338,[],[],8884,"",[],[],0,345,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
28,2711,3,2017,[214],[8],8870,51,"[175,634,6160]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath",62,[],0,0,[],[],[],[],[],""
29,2651,0,347,[],[],8884,"",[],[],0,"",[],0,"","","",[],"Fire Strike",0,[],0,0,[],[],[],[],[],""
30,2651,1,2809,[],[],8865,24,[],[],0,"",[],0,"","","",[],"Flamecrack",57,[],0,0,[],[],[],[],[],""
31,2651,2,1102,[],[],8867,32,[],[],0,"",[],0,"","","",[],"Raise Burning Bones",58,[],0,0,[],[],[],[],[],""
32,2651,3,1239,[],[],8861,32,"[1821,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],"Fire Storm",55,[],0,0,[],[],[],[],[],""
33,2651,4,1239,[2156],[3],8912,32,[],[],0,"",[],0,"","","",[],"Conflagration",0,[],-40,0,[],[],[],[],[],""
34,1138,0,338,[],[],8884,"",[],[],0,345,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
