"rownum","Mod","TiersWhitelist","TransformAchievement","ModFamilies"
0,24909,[1],"",[62]
1,24910,[2],"",[62]
2,24911,[3],"",[62]
3,24912,[4],"",[62]
4,24913,[1],8327,"[1141,4727]"
5,24914,[2],8327,"[1141,4727]"
6,24915,[3],8327,"[1141,4727]"
7,24916,[4],8327,"[1141,4727]"
8,24917,[1],8327,"[1141,4727]"
9,24918,[2],8327,"[1141,4727]"
10,24919,[3],8327,"[1141,4727]"
11,24920,[4],8327,"[1141,4727]"
12,24921,[1],8327,"[1141,4727]"
13,24922,[2],8327,"[1141,4727]"
14,24923,[3],8327,"[1141,4727]"
15,24924,[4],8327,"[1141,4727]"
16,24925,[1],8327,"[4720,1141,4727]"
17,24926,[2],8327,"[4720,1141,4727]"
18,24927,[3],8327,"[4720,1141,4727]"
19,24928,[4],8327,"[4720,1141,4727]"
20,24929,[1],8327,"[1141,4727]"
21,24930,[2],8327,"[1141,4727]"
22,24931,[3],8327,"[1141,4727]"
23,24932,[4],8327,"[1141,4727]"
24,24933,[1],8327,"[1141,4727]"
25,24934,[2],8327,"[1141,4727]"
26,24935,[3],8327,"[1141,4727]"
27,24936,[4],8327,"[1141,4727]"
28,24937,[1],8327,"[1141,4727]"
29,24938,[2],8327,"[1141,4727]"
30,24939,[3],8327,"[1141,4727]"
31,24940,[4],8327,"[1141,4727]"
32,24941,[1],8327,"[1141,4727]"
33,24942,[2],8327,"[1141,4727]"
34,24943,[3],8327,"[1141,4727]"
35,24944,[4],8327,"[1141,4727]"
36,24945,[1],8327,"[1141,4727]"
37,24946,[2],8327,"[1141,4727]"
38,24947,[3],8327,"[1141,4727]"
39,24948,[4],8327,"[1141,4727]"
40,24949,[3],"",[]
41,24950,[4],"",[]
42,24951,[3],"",[]
43,24952,[4],"",[]
44,24953,[3],"",[]
45,24954,[4],"",[]
46,24955,[3],"",[]
47,24956,[4],"",[]
48,24957,[3],"",[]
49,24958,[4],"",[]
50,24959,[3],"",[]
51,24960,[4],"",[]
52,24961,[3],"",[]
53,24962,[4],"",[]
54,24963,[3],"",[]
55,24964,[4],"",[]
56,24965,"[2,3,4]","",[]
57,24966,[3],"",[]
58,24967,[4],"",[]
59,24968,[2],"",[]
60,24969,[3],"",[]
61,24970,[4],"",[]
62,24971,[3],"",[]
63,24972,[4],"",[]
64,24973,[2],"",[]
65,24974,[3],"",[]
66,24975,[4],"",[]
67,24976,[2],"",[]
68,24977,[3],"",[]
69,24978,[4],"",[]
70,24979,[2],"",[]
71,24980,[3],"",[]
72,24981,[4],"",[]
73,24982,[2],"",[]
74,24983,[3],"",[]
75,24984,[4],"",[]
76,24985,[2],"",[]
77,24986,[3],"",[]
78,24987,[4],"",[]
79,24988,"[2,3,4]","",[]
80,24989,[2],"","[3405,1160,1088]"
