"rownum","ModsKey","i32","i32","i32"
0,21970,2,9,100
1,21971,10,14,100
2,21972,15,20,100
3,21980,21,30,50
4,21973,2,9,100
5,21974,10,14,100
6,21975,15,30,100
7,21886,15,30,10
8,21887,15,30,10
9,21888,15,30,10
10,21889,10,14,0
11,21890,15,30,0
12,21891,10,14,0
13,21892,15,30,0
14,21893,10,14,0
15,21894,15,30,0
16,21895,10,14,20
17,21896,15,30,20
18,21897,5,14,35
19,21898,15,30,35
20,21899,5,9,50
21,21900,10,15,50
22,21901,15,30,50
23,21902,2,9,25
24,21903,10,14,25
25,21904,15,20,25
26,21985,21,30,25
27,21905,5,9,25
28,21906,10,14,25
29,21907,15,30,25
30,21908,5,9,25
31,21909,10,14,25
32,21910,15,30,25
33,21911,2,9,25
34,21912,10,14,25
35,21913,15,20,25
36,21986,21,30,25
37,21914,5,9,25
38,21915,10,14,25
39,21916,15,30,25
40,21917,5,9,25
41,21918,10,14,25
42,21919,15,30,25
43,21920,2,9,25
44,21921,10,14,25
45,21922,15,20,25
46,21983,21,30,25
47,21923,5,9,25
48,21924,10,14,25
49,21925,15,30,25
50,21926,5,9,25
51,21927,10,14,25
52,21928,15,30,25
53,21929,2,9,25
54,21930,10,14,25
55,21931,15,20,25
56,21984,21,30,25
57,21932,10,14,25
58,21933,15,17,25
59,21934,15,30,25
60,21935,5,9,25
61,21936,10,14,25
62,21937,15,30,25
63,21938,2,9,25
64,21939,10,14,25
65,21940,15,20,25
66,21987,21,30,25
67,21941,10,14,25
68,21942,15,17,25
69,21943,18,30,25
70,21944,10,14,20
71,21945,15,30,20
72,21946,2,9,20
73,21947,10,14,20
74,21948,15,30,20
75,21949,10,14,10
76,21950,15,17,10
77,21951,15,30,10
78,21952,2,9,100
79,21953,10,14,100
80,21954,15,30,100
81,21955,10,14,25
82,21956,15,30,25
83,21957,10,14,25
84,21958,15,30,25
85,21959,10,14,25
86,21960,15,30,25
87,21961,10,14,0
88,21962,15,30,0
89,21963,10,14,10
90,21964,15,20,10
91,21982,21,30,10
92,21965,10,14,10
93,21966,15,30,10
94,21967,2,9,30
95,21968,10,14,30
96,21969,15,30,30
97,21976,2,9,40
98,21977,10,14,40
99,21978,15,20,40
100,21981,21,30,40
