"rownum","BaseItemTypesKey","bool","[rid]"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,26,"",[]
6,27,"",[]
7,28,"",[]
8,29,"",[]
9,211,"",[]
10,212,"",[]
11,213,"",[]
12,214,"",[]
13,215,"",[]
14,216,"",[]
15,217,"",[]
16,218,"",[]
17,219,"",[]
18,220,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,20,"",[]
24,21,"",[]
25,9,1,[]
26,13,1,[]
27,24,1,[]
28,40,1,[]
29,19,1,[]
30,22,"",[]
31,6518,1,[]
32,204,1,[]
33,6484,1,[]
34,6485,1,[]
35,6486,1,[]
36,6487,1,[]
37,6488,1,[]
38,6489,1,[]
39,6491,1,[]
40,6490,1,[]
41,200,1,[371]
42,201,1,[371]
43,197,1,[371]
44,198,1,[371]
45,199,1,[371]
