"rownum","Id","Projectile","Animation","bool","bool","i32","bool"
0,0,109,20,"","",0,""
1,1,109,20,"","",0,""
2,2,92,20,"","",0,""
3,3,111,20,"","",0,""
4,4,112,20,"","",0,""
5,5,120,20,"","",0,""
6,6,132,20,"","",0,""
7,7,153,20,"","",0,""
8,8,156,20,"","",0,""
9,9,164,20,"","",0,""
10,10,188,20,"","",0,""
11,11,163,20,"","",0,""
12,12,207,20,"","",0,""
13,13,208,20,"","",0,""
14,14,235,20,"","",0,""
15,15,238,20,"","",0,""
16,16,239,20,"","",0,""
17,17,252,20,"","",0,""
18,18,253,20,"","",0,""
19,19,279,20,"","",0,""
20,20,33,20,"","",0,""
21,21,296,20,"","",0,""
22,22,289,20,"","",0,""
23,23,300,20,"","",0,""
24,24,301,24,"","",0,""
25,25,308,24,"","",0,""
26,26,315,20,"","",0,""
27,27,340,21,"","",0,""
28,28,342,20,1,"",0,""
29,29,341,20,1,"",0,""
30,30,344,20,"","",0,""
31,31,346,20,"","",0,""
32,32,347,20,"","",0,""
33,33,348,20,"","",0,""
34,34,203,20,"","",0,""
35,35,342,21,1,"",0,""
36,36,341,21,1,"",0,""
37,37,377,20,"","",0,""
38,38,380,20,"","",0,""
39,39,381,20,"","",0,""
40,40,382,20,"","",0,""
41,41,377,20,"","",0,""
42,42,384,20,"","",0,""
43,43,388,20,"","",0,""
44,44,411,20,"","",0,""
45,45,383,20,"","",0,""
46,46,414,20,"","",0,""
47,47,415,24,"","",0,""
48,48,419,24,"","",0,""
49,49,420,20,"","",0,""
50,50,431,20,"","",0,""
51,51,454,20,1,"",0,""
52,52,484,20,"","",0,""
53,53,489,20,"","",0,""
54,54,488,20,"","",0,""
55,55,487,20,"","",0,""
56,56,485,20,"","",0,""
57,57,494,20,"","",0,""
58,58,508,24,"","",0,""
59,59,509,24,"","",0,""
60,60,510,20,"","",0,""
61,61,511,20,"","",0,""
62,62,512,20,1,"",0,""
63,63,517,20,"","",0,""
64,64,518,20,"","",0,""
65,65,519,20,"","",0,""
66,66,527,20,"","",0,""
67,67,527,24,"","",0,""
68,68,536,20,"","",0,""
69,69,537,20,"","",0,""
70,70,538,20,"","",0,""
71,71,539,20,"","",0,""
72,72,540,20,"","",0,""
73,73,541,20,"","",0,""
74,74,542,20,"","",0,""
75,75,543,20,"","",0,""
76,76,544,20,"","",0,""
77,77,545,20,"","",0,""
78,78,546,20,"","",0,""
79,79,547,20,"","",0,""
80,80,566,20,"","",0,""
81,81,567,20,"","",0,""
82,82,569,20,"","",0,""
83,83,574,20,"","",0,""
84,84,224,20,"","",0,""
85,85,315,25,"","",0,""
86,86,583,20,"","",0,""
87,87,584,20,"","",0,""
88,88,585,20,1,"",0,""
89,89,586,20,1,"",0,""
90,90,587,33,1,"",0,""
91,91,588,20,"","",0,""
92,92,512,20,1,"",0,""
93,93,593,20,1,"",0,""
94,94,612,20,"","",0,""
95,95,615,20,1,"",0,""
96,96,616,26,1,"",0,""
97,97,630,20,1,"",0,""
98,98,631,20,"","",0,""
99,99,632,24,"","",0,""
100,100,634,20,"","",0,""
101,101,635,20,"","",0,""
102,102,636,20,"","",0,""
103,103,637,20,"","",0,""
104,104,638,20,"","",0,""
105,105,648,20,"","",0,""
106,106,639,20,1,"",0,""
107,107,633,20,"","",0,""
108,108,660,20,"","",0,""
109,109,664,20,"","",0,""
110,110,678,20,1,"",0,""
111,111,681,20,"","",0,""
112,112,687,20,"","",0,""
113,113,701,20,"","",0,""
114,114,702,20,"","",0,""
115,115,734,20,1,"",0,""
116,116,738,20,"","",0,""
117,117,739,20,"","",0,""
118,118,741,20,"","",0,""
119,119,760,20,"","",0,""
120,120,744,20,"","",0,""
121,121,735,20,1,"",0,""
122,122,736,20,1,"",0,""
123,123,755,20,"","",0,""
124,124,756,20,"","",0,""
125,125,766,20,1,"",5,""
126,126,767,20,"","",0,""
127,127,773,20,"","",0,1
128,128,776,20,"","",0,1
129,129,783,20,1,"",0,""
130,130,784,20,1,"",5,""
131,131,806,20,"","",0,""
132,132,817,20,"","",0,""
133,133,787,20,"","",0,""
134,134,785,20,1,"",5,""
135,135,846,20,1,"",0,""
136,136,848,20,1,"",-15,""
137,137,849,20,1,"",0,""
138,138,850,20,"","",0,""
139,139,849,20,"","",0,""
140,140,868,20,1,"",0,""
141,141,892,20,"","",0,""
142,142,900,20,"","",0,""
143,143,901,20,"","",0,""
144,144,907,20,"","",0,""
145,145,909,20,"","",0,""
146,146,920,20,"","",0,""
147,147,921,20,"","",0,""
148,148,922,20,"","",0,""
149,149,923,20,"","",0,""
150,150,924,20,"","",0,""
151,151,925,20,"","",0,""
152,152,927,20,"","",0,""
153,153,931,20,"","",0,""
154,154,940,20,"","",0,""
155,155,941,20,"","",0,""
156,156,932,20,"","",0,""
157,157,933,20,"","",0,""
158,158,975,20,"","",0,""
159,159,976,20,"","",0,""
160,160,979,20,1,"",0,""
161,161,980,20,"","",0,""
162,162,980,20,"","",0,""
163,163,995,20,"","",0,""
164,164,993,20,"","",0,""
165,165,997,20,"","",0,""
166,166,998,20,"","",0,""
167,167,999,20,"","",0,""
168,168,970,20,"","",0,""
169,169,1024,20,"","",0,""
170,170,1034,25,"","",0,1
171,171,1035,20,"","",0,""
172,172,1036,20,1,"",0,""
173,173,1037,20,"","",0,""
174,174,1038,20,"","",0,""
175,175,1039,20,"","",0,""
176,176,1042,20,"","",0,""
177,177,1040,20,"","",0,""
178,178,1041,20,"","",0,""
179,179,10,27,"","",0,""
180,180,1055,20,"","",0,""
181,181,1056,20,"","",0,""
182,182,1053,26,"","",0,""
183,183,1054,20,"","",0,""
