"rownum","MonsterVarietiesKey","bool","rid"
0,2538,1,""
1,2542,1,15
2,2544,1,38
3,2556,1,""
4,2557,1,27
5,2561,1,15
6,2563,1,55
7,2526,1,5
8,2530,1,19
9,2534,1,26
10,2590,1,40
11,2593,1,48
12,2594,1,71
13,2578,1,25
14,2582,1,7
15,2584,1,54
16,2570,1,28
17,2573,1,9
18,2575,1,35
19,2548,1,8
20,2549,1,6
21,2553,1,70
22,2536,1,88
23,2545,1,15
24,2564,1,27
25,2587,1,8
26,2576,1,78
27,2543,"",23
28,2562,"",36
29,2535,"",18
30,2589,"",32
31,2583,"",34
32,2574,"",13
33,2552,"",35
34,4407,"",""
35,4409,"",""
36,4408,"",""
37,2603,"",""
38,2604,"",""
39,2607,"",""
40,2601,"",""
41,2605,"",""
42,2602,"",""
43,2606,"",""
44,2527,"",5
45,2539,"",""
46,2558,"",27
47,2571,"",28
48,2585,"",54
49,2591,"",40
50,2550,"",6
51,2554,1,78
52,2568,1,""
53,2555,1,""
54,2577,1,""
55,2588,1,""
56,2547,1,""
57,2569,1,81
