"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[15006]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[15006,15184]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[15179]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[15179,15184]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[15180]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[15180,15184]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[15181]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[15181,15184]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[15182]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[15182,15184]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[15183]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[15183,15184]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14995]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14995,14996]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[14995]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[14995]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[14995]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[14995]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14997]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14997,14996]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[14997]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[14997]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[14997]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[14997]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[14998]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[14998,14996]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[14998]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[14998]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[14998]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[14998]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[14999]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[14999,14996]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[14999]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[14999]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[14999]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[14999]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[15000]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[15000,14996]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[15000]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[15000]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[15000]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[15000]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[15003,15001]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[15003,15001,14996]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[15003,15001]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[15003,15001]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[15003,15001]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[15003,15001]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[15004,15002]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[15004,15002,14996]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[15004,15002]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[15004,15002]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[15004,15002]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[15004,15002]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[15005,14995]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[15005,15003]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[14995,14996,19743]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[14995,14996,19743]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[14995,14996,19743]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[14995,14996,19743]"
