"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","rid","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1276,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1276,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1276,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1276,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1276,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1276,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
11,"FavouriteMapSlotUnlock1","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",355,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
12,"FavouriteMapSlotUnlock2","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",356,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
13,"FavouriteMapSlotUnlock3","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",357,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
14,"FavouriteMapSlotUnlock4","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",358,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
15,"FavouriteMapSlotUnlock5","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",359,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
16,"FavouriteMapSlotUnlock6","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",360,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
17,"FavouriteMapSlotUnlock7","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",361,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
