"rownum","Index","SupportGem","Name"
0,1,35,"Greater Multiple Projectiles"
1,2,304,"Void Manipulation"
2,3,330,"Vile Toxins"
3,4,389,"Unleash"
4,5,333,"Unbound Ailments"
5,6,316,"Advanced Traps"
6,7,282,"Trap and Mine Damage"
7,8,71,"Trap"
8,9,427,"Swift Assembly"
9,10,347,"Summon Phantasm"
10,11,193,"Elemental Army"
11,12,68,"Stun"
12,13,343,"Infused Channelling"
13,14,346,"Ancestral Call"
14,15,149,"Spell Totem"
15,16,388,"Intensify"
16,17,345,"Spell Cascade"
17,18,209,"Slower Projectiles"
18,19,402,"Shockwave"
19,20,480,"Second Wind"
20,21,335,"Ruthless"
21,22,423,"High-Impact Mine"
22,23,150,"Blastchain Mine"
23,24,55,"Inspiration"
24,25,210,"Less Duration"
25,26,306,"Swift Affliction"
26,27,171,"Ballista Totem"
27,28,410,"Rage"
28,29,409,"Pulverise"
29,30,190,"Power Charge On Critical"
30,31,298,"Critical Strike Affliction"
31,32,145,"Point Blank"
32,33,70,"Pierce"
33,34,264,"Physical to Lightning"
34,35,230,"Vicious Projectiles"
35,36,344,"Volley"
36,37,336,"Onslaught"
37,38,418,"Nightblade"
38,39,199,"Multiple Traps"
39,40,376,"Multiple Totems"
40,41,187,"Multistrike"
41,42,188,"Spell Echo"
42,43,348,"Mirage Archer"
43,44,315,"Minefield"
44,45,189,"Melee Splash"
45,46,83,"Melee Physical Damage"
46,47,148,"Damage on Full Life"
47,48,419,"Meat Shield"
48,49,60,"Mana Leech"
49,50,331,"Maim"
50,51,174,"Lightning Penetration"
51,52,59,"Life Leech"
52,53,115,"Life Gain on Hit"
53,54,325,"Chance to Poison"
54,55,36,"Lesser Multiple Projectiles"
55,56,58,"Knockback"
56,57,85,"Item Rarity"
57,58,147,"Iron Will"
58,59,146,"Iron Grip"
59,60,280,"Innervate"
60,61,424,"Infernal Legion"
61,62,111,"Minion Speed"
62,63,112,"Minion Life"
63,64,107,"Minion Damage"
64,65,108,"Increased Duration"
65,66,56,"Increased Critical Strikes"
66,67,57,"Increased Critical Damage"
67,68,192,"Burning Damage"
68,69,40,"Increased Area of Effect"
69,70,406,"Impale"
70,71,332,"Immolate"
71,72,323,"Ignite Proliferation"
72,73,278,"Ice Bite"
73,74,279,"Hypothermia"
74,75,433,"Greater Volley"
75,76,113,"Elemental Damage with Attacks"
76,77,245,"Generosity"
77,78,359,"Charged Traps"
78,79,276,"Fortify"
79,80,178,"Fork"
80,81,157,"Chance to Flee"
81,82,172,"Fire Penetration"
82,83,415,"Feeding Frenzy"
83,84,37,"Faster Projectiles"
84,85,86,"Faster Casting"
85,86,34,"Faster Attacks"
86,87,382,"Energy Leech"
87,88,204,"Endurance Charge on Melee Stun"
88,89,140,"Elemental Proliferation"
89,90,314,"Elemental Focus"
90,91,329,"Efficacy"
91,92,328,"Decay"
92,93,416,"Predator"
93,94,326,"Deadly Ailments"
94,95,194,"Hextouch"
95,96,144,"Culling Strike"
96,97,305,"Controlled Destruction"
97,98,106,"Concentrated Effect"
98,99,109,"Cold to Fire"
99,100,173,"Cold Penetration"
100,101,307,"Cluster Traps"
101,102,401,"Close Combat"
102,103,360,"Charged Mines"
103,104,367,"Withering Touch"
104,105,110,"Combustion"
105,106,324,"Chance to Bleed"
106,107,176,"Chain"
107,108,320,"Cast while Channelling"
108,109,213,"Cast when Stunned"
109,110,198,"Cast on Melee Kill"
110,111,211,"Cast on Death"
111,112,212,"Cast when Damage Taken"
112,113,197,"Cast On Critical Strike"
113,114,334,"Brutality"
114,115,368,"Bonechill"
115,116,141,"Arrogance"
116,117,114,"Bloodlust"
117,118,163,"Blind"
118,119,270,"Blasphemy"
119,120,430,"Barrage"
120,121,429,"Arrow Nova"
121,122,479,"Archmage"
122,123,337,"Arcane Surge"
123,124,39,"Additional Accuracy"
124,125,41,"Added Lightning Damage"
125,126,33,"Added Fire Damage"
126,127,38,"Added Cold Damage"
127,128,61,"Added Chaos Damage"
128,129,489,"Fist of War"
129,130,490,"Swiftbrand"
130,131,491,"Urgent Orders"
131,132,501,"Pinpoint"
132,133,499,"Impending Doom"
133,134,504,"Trinity"
134,135,511,"Bloodthirst"
135,136,514,"Cruelty"
136,137,515,"Lifetap"
137,138,684,"Focused Ballista"
138,139,622,"Earthbreaker"
139,140,686,"Behead"
140,141,702,"Mark On Hit"
141,142,701,"Divine Blessing"
142,143,703,"Eternal Blessing"
143,144,704,"Overcharge"
144,145,714,"Cursed Ground"
145,146,715,"Hex Bloom"
