"rownum","Id","AOFiles","LoopAnimationIds","ImpactAnimationIds","ProjectileSpeed","bool","i32","bool","bool","InheritsFrom","i32","rid","i32","bool","bool","Stuck_AOFile","Bounce_AOFile","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","[string]","bool","[i32]","row"
0,"Metadata/Projectiles/Fireball","[""Metadata/Effects/Spells/fireball/fireball_new2.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
1,"Metadata/Projectiles/DragonFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/dragon_fireball/dragonball.ao""]","[""fire""]","[""fire_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
2,"Metadata/Projectiles/GoldenFireball","[""Metadata/Effects/Spells/fireball/golden/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
3,"Metadata/Projectiles/PyroFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
4,"Metadata/Projectiles/PyroPoisonFireball","[""Metadata/Effects/Spells/monsters_effects/act3/pyro/fireball_poison.ao""]","[""fireball_loop""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
5,"Metadata/Projectiles/PhoenixFireball","[""Metadata/Effects/Spells/monsters_effects/Phoenix/projectile/projectile_fire.ao""]","[""projectile_travel""]","[""projectile_end""]",1040,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
6,"Metadata/Projectiles/StygianFireball","[""Metadata/Effects/Microtransactions/Spells/fireball/stygian/rig.ao""]","[""fireball""]","[""fireball_explode""]",1040,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
7,"Metadata/Projectiles/SandSpitter","[""Metadata/Effects/Spells/sandspitterprojectile/rig.ao""]","[""flying""]","[""impact""]",1688,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
8,"Metadata/Projectiles/SandSpitterFire","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/fire.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
9,"Metadata/Projectiles/SandSpitterCold","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/ice.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
10,"Metadata/Projectiles/SandSpitterLightning","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/lightning.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
11,"Metadata/Projectiles/SandSpitterChaos","[""Metadata/Effects/Spells/monsters_effects/sandspitter_elemental/chaos.ao""]","[""sandspitter_ele""]","[""sandspitter_ele_impact""]",1170,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
12,"Metadata/Projectiles/SeaWitch","[""Metadata/Effects/Spells/wave/rig.ao""]","[""wave""]",[],300,1,2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
13,"Metadata/Projectiles/Scavenger","[""Metadata/Effects/Spells/monsters_effects/scavenger_rock/rig.ao""]","[""rock_travel""]","[""rock_explode""]",1000,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],1,[],318
14,"Metadata/Projectiles/SkeletonProjectileFire","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_fire.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
15,"Metadata/Projectiles/SkeletonProjectileCold","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_ice.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
16,"Metadata/Projectiles/SkeletonProjectileLightning","[""Metadata/Effects/Spells/raise_skeleton_02/skeleproj_lightning.ao""]","[""loop""]","[""end""]",700,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
17,"Metadata/Projectiles/Spark","[""Metadata/Effects/Spells/electrical_surge/rig.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,1,1,"","Metadata/Projectiles/ProjectileGround",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
18,"Metadata/Projectiles/SkeletonSpark","[""Metadata/Effects/Spells/electrical_surge/rig_fadeout.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,1,1,1,"","Metadata/Projectiles/ProjectileGround",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
19,"Metadata/Projectiles/SpiderSpark","[""Metadata/Effects/Microtransactions/Spells/spark/sparkspider/spark_spider2.ao""]","[""electrical_surge""]","[""electrical_explode""]",560,"",1,"","","Metadata/Projectiles/ProjectileGround",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
20,"Metadata/Projectiles/RootSpiderSpit","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",2,1,"","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
21,"Metadata/Projectiles/RootSpiderSpitBoss","[""Metadata/Effects/Spells/monsters_effects/act2/root_spider/projectile/rootspider_projectile.ao""]","[""rootspider_projectile_loop""]","[""rootspider_projectile_impact""]",750,"",3,1,"","Metadata/Projectiles/Projectile",5,"",3,"","",[],"",0,0,0,0,"","",0,0,150,150,0,[],"",[],318
22,"Metadata/Projectiles/IceSpear","[""Metadata/Effects/Spells/frozen_spear/rig.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",1000,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
23,"Metadata/Projectiles/IceSpearMTX1","[""Metadata/Effects/Spells/ice_spear/projectile.ao""]","[""frozenspear_idle""]","[""frozenspear_impact""]",600,"",2,"","","Metadata/Projectiles/Projectile",5,"",2,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
24,"Metadata/Projectiles/FreezingPulse","[""Metadata/Effects/Spells/freezing_pulse/rig.ao""]","[""freezing_tide""]","[""freezing_tide_end""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
25,"Metadata/Projectiles/FreezingPulseMTX","[""Metadata/Effects/Microtransactions/Spells/freezing_pulse/rig.ao""]","[""freezing_pulse""]","[""end""]",1800,"",2,"","","Metadata/Projectiles/Projectile",5,"",4,"","",[],"",0,0,0,0,"","",0,0,100,100,0,[],"",[],318
