"rownum","Id","WorldAreasKey","CharactersKey","MonsterVarietiesKey","i32"
0,"ProxyKey0",1333,0,2562,1
1,"ProxyKey1",1337,0,2574,1
2,"ProxyKey2",1338,0,2574,1
3,"ProxyKey3",1345,0,2543,1
4,"ProxyKey4",1346,0,2543,1
5,"ProxyKey5",1353,0,2589,1
6,"ProxyKey6",1333,1,2552,1
7,"ProxyKey7",1337,1,2583,1
8,"ProxyKey8",1338,1,2583,1
9,"ProxyKey9",1345,1,2574,1
10,"ProxyKey10",1346,1,2574,1
11,"ProxyKey11",1353,1,2589,1
12,"ProxyKey12",1333,3,2535,1
13,"ProxyKey13",1337,3,2543,1
14,"ProxyKey14",1338,3,2543,1
15,"ProxyKey15",1345,3,2583,1
16,"ProxyKey16",1346,3,2583,1
17,"ProxyKey17",1353,3,2589,1
18,"ProxyKey18",1333,6,2574,1
19,"ProxyKey19",1337,6,2552,1
20,"ProxyKey20",1338,6,2552,1
21,"ProxyKey21",1345,6,2562,1
22,"ProxyKey22",1346,6,2562,1
23,"ProxyKey23",1353,6,2589,1
24,"ProxyKey24",1333,4,2543,1
25,"ProxyKey25",1337,4,2562,1
26,"ProxyKey26",1338,4,2562,1
27,"ProxyKey27",1345,4,2535,1
28,"ProxyKey28",1346,4,2535,1
29,"ProxyKey29",1353,4,2589,1
30,"ProxyKey30",1333,5,2583,1
31,"ProxyKey31",1337,5,2535,1
32,"ProxyKey32",1338,5,2535,1
33,"ProxyKey33",1345,5,2552,1
34,"ProxyKey34",1346,5,2552,1
35,"ProxyKey35",1353,5,2589,1
36,"ProxyKey36",1333,2,2552,1
37,"ProxyKey50",1333,2,2535,1
38,"ProxyKey51",1337,2,2562,1
39,"ProxyKey37",1337,2,2583,1
40,"ProxyKey42",1338,2,2562,1
41,"ProxyKey43",1338,2,2583,1
42,"ProxyKey38",1345,2,2574,1
43,"ProxyKey44",1345,2,2543,1
44,"ProxyKey45",1346,2,2574,1
45,"ProxyKey39",1346,2,2543,1
46,"ProxyKey41",1353,2,2589,1
