"rownum","string","[rid]","i32","i32","rid"
0,"storm_rain_ground_object",[539],3,0,""
1,"earthshatter_spike",[379],3,0,""
2,"earthshatter_spike",[379],3,1,""
3,"earthshatter_spike",[379],3,2,""
4,"earthshatter_spike_ancestral",[379],3,0,11894
5,"earthshatter_spike_ancestral",[379],3,1,11894
6,"earthshatter_spike_ancestral",[379],3,2,11894
7,"flame_wall",[420],3,0,""
8,"flame_wall",[449],3,1,""
9,"flame_wall",[516],3,2,""
10,"flame_wall",[560],3,3,""
11,"toxic_rain_spore",[189],3,0,""
12,"toxic_rain_spore",[190],3,1,""
13,"toxic_rain_spore",[346],3,2,""
14,"toxic_rain_spore",[191],3,3,""
15,"toxic_rain_spore",[489],3,4,""
16,"toxic_rain_spore",[509],3,5,""
17,"toxic_rain_spore",[583],3,6,""
18,"toxic_rain_spore",[609],3,7,""
19,"hydrosphere_sphere",[450],3,0,""
20,"hydrosphere_sphere",[613],3,1,""
21,"ring_of_ice_statue",[1169],3,0,""
