"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19643,0,11,100,1,6,1,1
1,19644,0,50,100,3,6,1,1
2,19695,0,11,100,1,6,1,1
3,19699,0,11,100,1,6,1,1
4,19700,0,11,100,1,6,1,1
5,19701,0,11,100,1,6,1,1
6,19702,0,11,100,1,6,1,1
7,19707,0,11,100,1,6,1,1
8,19710,150,11,100,1,3,1,1
9,19711,150,25,100,4,5,1,1
10,19712,75,68,100,6,7,1,1
11,19713,150,11,100,1,3,1,1
12,19714,150,25,100,4,5,1,1
13,19715,75,68,100,6,7,1,1
14,19716,150,11,100,1,3,1,1
15,19717,150,25,100,4,5,1,1
16,19718,75,68,100,6,7,1,1
17,19709,75,68,100,3,6,1,1
18,19719,150,40,100,1,3,1,1
19,19720,75,68,100,4,5,1,1
20,19708,37,68,100,6,7,1,1
21,19697,0,11,100,1,3,1,1
22,19721,0,25,100,4,5,1,1
23,19722,0,68,100,6,7,1,1
24,19723,0,68,100,6,7,1,1
25,19703,0,11,100,1,3,1,1
26,19724,0,25,100,4,5,1,1
27,19725,0,68,100,6,7,1,1
28,19698,150,11,100,1,3,1,1
29,19726,75,40,100,4,5,1,1
30,19727,37,68,100,6,7,1,1
31,19704,150,11,100,1,6,1,1
32,19705,75,68,100,4,7,1,1
33,19728,150,68,100,3,7,1,1
