"rownum","StatSet","GemLevel","PlayerLevelReq","SpellCritChance","AttackCritChance","BaseMultiplier","DamageEffectiveness","AdditionalFlags","FloatStats","InterpolationBases","AdditionalStats","StatInterpolations","FloatStatsValues","BaseResolvedValues","AdditionalStatsValues","GrantedEffects"
0,0,1,1,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[9,14]",[0],[0]
1,0,2,2,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[10,16]",[0],[0]
2,0,3,4,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[13,20]",[1],[0]
3,0,4,7,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[19,28]",[1],[0]
4,0,5,11,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[28,42]",[2],[0]
5,0,6,16,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[43,65]",[2],[0]
6,0,7,20,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[60,91]",[3],[0]
7,0,8,24,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[83,124]",[3],[0]
8,0,9,28,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[111,167]",[4],[0]
9,0,10,32,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[148,222]",[4],[0]
10,0,11,36,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[195,292]",[5],[0]
11,0,12,40,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[255,383]",[5],[0]
12,0,13,44,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[332,498]",[6],[0]
13,0,14,48,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[429,643]",[6],[0]
14,0,15,52,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[552,828]",[7],[0]
15,0,16,56,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[707,1061]",[7],[0]
16,0,17,60,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[903,1354]",[8],[0]
17,0,18,64,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[1149,1723]",[8],[0]
18,0,19,67,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[1374,2061]",[9],[0]
19,0,20,70,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[1640,2460]",[9],[0]
20,0,21,72,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[1845,2767]",[10],[0]
21,0,22,74,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[2073,3110]",[10],[0]
22,0,23,76,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[2328,3493]",[10],[0]
23,0,24,78,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[2614,3921]",[10],[0]
24,0,25,80,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[2933,4400]",[10],[0]
25,0,26,82,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[3289,4934]",[11],[0]
26,0,27,84,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[3687,5531]",[11],[0]
27,0,28,86,600,0,0,27000,[],"[1469,1470]","[0,0]",[5775],"[3,3,1]","[0.8,1.2]","[4131,6197]",[11],[0]
