"rownum","Id","HideoutArea","HASH16","HideoutFile","SpawnAreas","ClaimSideArea","HideoutImage","IsEnabled","Weight","Rarity","NotActsArea","Name","[i32]","bool","bool","bool","bool"
0,"HideoutForest",1532,65379,"Metadata/Terrain/Missions/Hideouts/Forest/decoration.hideout",[35],1531,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LushHideout",1,10000,0,"","Lush Hideout",[],"",1,1,""
1,"HideoutArch",1512,2401,"Metadata/Terrain/Missions/Hideouts/Archaeological/decoration.hideout",[1235],1513,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TrenchHideout",1,33,3,1,"Robber's Trench Hideout",[],"",1,1,""
2,"HideoutBattleground",1560,28470,"Metadata/Terrain/Missions/Hideouts/Battleground/decoration.hideout",[1197],1561,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BattlescarredHideout",1,200,1,1,"Battle-scarred Hideout",[],"",1,1,""
3,"HideoutBeach",1556,33485,"Metadata/Terrain/Missions/Hideouts/Beach/decoration.hideout",[1138],1557,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoastalHideout",1,200,1,1,"Coastal Hideout",[],"",1,1,""
4,"HideoutLibrary",1562,8897,"Metadata/Terrain/Missions/Hideouts/Library/decoration.hideout",[1134],1563,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EnlightenedHideout",1,200,1,1,"Enlightened Hideout",[],"",1,1,""
5,"HideoutGardens",1566,62863,"Metadata/Terrain/Missions/Hideouts/Gardens/decoration.hideout",[1196],1567,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/OvergrownHideout",1,100,2,1,"Overgrown Hideout",[],"",1,1,""
6,"HideoutSolaris",1564,13485,"Metadata/Terrain/Missions/Hideouts/Solaris/decoration.hideout",[1127],1565,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ImmaculateHideout",1,200,1,1,"Immaculate Hideout",[],"",1,1,""
7,"HideoutFellshrine",1558,45200,"Metadata/Terrain/Missions/Hideouts/Fellshrine/decoration.hideout",[1089],1559,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UnearthedHideout",1,200,1,1,"Unearthed Hideout",[],"",1,1,""
8,"HideoutSlum",1554,62635,"Metadata/Terrain/Missions/Hideouts/Slums/decoration.hideout",[1106],1555,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BackstreetHideout",1,200,1,1,"Backstreet Hideout",[],"",1,1,""
9,"HideoutSewer",1534,29226,"Metadata/Terrain/Missions/Hideouts/Sewers/decoration.hideout",[49],1533,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/UndercityHideout",1,10000,0,"","Undercity Hideout",[],"",1,1,""
10,"HideoutMine",1538,55535,"Metadata/Terrain/Missions/Hideouts/Mine/decoration.hideout",[63],1537,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ExcavatedHideout",1,10000,0,"","Excavated Hideout",[],"",1,1,""
11,"HideoutCourts",1524,31968,"Metadata/Terrain/Missions/Hideouts/Courts/decoration.hideout","[75,76]",1525,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/StatelyHideout",1,10000,0,"","Stately Hideout",[],"",1,1,""
12,"HideoutCoral",1515,18035,"Metadata/Terrain/Missions/Hideouts/Coral/decoration.hideout",[97],1514,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CoralHideout",1,10000,0,"","Coral Hideout",[],"",1,1,""
13,"HideoutRuinedTemple",1540,6122,"Metadata/Terrain/Missions/Hideouts/RuinedTemple/decoration.hideout",[106],1539,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/BalefulHideout",1,10000,0,"","Baleful Hideout",[],"",1,1,""
14,"HideoutOasis",1542,750,"Metadata/Terrain/Missions/Hideouts/Oasis/decoration.hideout",[137],1541,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DesertHideout",1,10000,0,"","Desert Hideout",[],"",1,1,""
15,"HideoutOssuary",1522,61235,"Metadata/Terrain/Missions/Hideouts/Ossuary/decoration.hideout",[154],1523,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SkeletalHideout",1,10000,0,"","Skeletal Hideout",[],"",1,1,""
16,"HideoutBaths",1520,55372,"Metadata/Terrain/Missions/Hideouts/Baths/decoration.hideout",[122],1521,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/LuxuriousHideout",1,10000,0,"","Luxurious Hideout",[],"",1,1,""
17,"HideoutTemplarLab",1553,55414,"Metadata/Terrain/Missions/Hideouts/TemplarLab/decoration.hideout",[156],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CartographyHideout",1,0,0,1,"Cartographer's Hideout",[],"",1,1,""
18,"HideoutPillarsOfArun",1543,65044,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout",1,0,0,1,"Towering Hideout",[],"",1,1,1
19,"HideoutAtziriArena",1544,34352,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout",1,0,0,1,"Corrupted Hideout",[],"",1,1,1
20,"HideoutInnocenceArena",1545,45610,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout",1,0,0,1,"Innocent Hideout",[],"",1,1,1
21,"HideoutShaperArena",1546,41490,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout",1,0,0,1,"Shaped Hideout",[],"",1,1,1
22,"HideoutKaomArena",1547,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout",1,0,0,1,"Furious Hideout",[],"",1,1,1
23,"HideoutDaressoArena",1548,49908,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout",1,0,0,1,"Champion's Hideout",[],"",1,1,1
24,"HideoutDominusArena",1549,52081,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout",1,0,0,1,"Indomitable Hideout",[],"",1,1,1
25,"HideoutPietyArena",1550,41981,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout",1,0,0,1,"Morbid Hideout",[],"",1,1,1
26,"HideoutLunarisSolarisArena",1551,37028,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout",1,0,0,1,"Eclipsed Hideout","[8,9]","",1,1,1
27,"HideoutKitavaArenaAct10",1552,36378,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout",1,0,0,1,"Ravenous Hideout",[],"",1,1,1
28,"HideoutSunken",1526,18782,"Metadata/Terrain/Missions/Hideouts/Causeway/decoration.hideout",[1239],1527,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunkenCityHideout",1,33,3,1,"Sunken Hideout",[],"",1,1,""
29,"HideoutShapersRealm",1516,34604,"Metadata/Terrain/Missions/Hideouts/Shaper/decoration.hideout",[1246],0,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShapersRealmHideout",1,0,0,1,"Celestial Hideout",[],"",1,1,""
30,"HideoutTwilightTemple",1572,50158,"Metadata/Terrain/Missions/Hideouts/TwilightTemple/decoration.hideout",[1173],1573,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/TwilightTempleHideout",1,2500,1,1,"Divided Hideout",[],"",1,1,""
31,"HideoutHighGardens",1528,61074,"Metadata/Terrain/Missions/Hideouts/HighGardens/decoration.hideout",[1225],1529,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HighGardensHideout",1,33,3,1,"Arboreal Hideout",[],"",1,1,""
32,"HideoutHauntedMansion",1576,23230,"Metadata/Terrain/Missions/Hideouts/HauntedMansion/decoration.hideout",[1121],1577,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/HauntedHideout",1,33,3,1,"Haunted Hideout",[],"",1,1,""
33,"HideoutPrisonTower",1518,38628,"Metadata/Terrain/Missions/Hideouts/PrisonTower/decoration.hideout",[1175],1519,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/PrisonTowerHideout",1,100,2,1,"Brutal Hideout",[],"",1,1,""
34,"HideoutCrimsonTemple",1570,39182,"Metadata/Terrain/Missions/Hideouts/CrimsonTemple/decoration.hideout",[1233],1571,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CrimsonTempleHideout",1,33,3,1,"Sanguine Hideout",[],"",1,1,""
35,"HideoutIceberg",1568,64285,"Metadata/Terrain/Missions/Hideouts/Glacier/decoration.hideout",[1097],1569,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IcebergHideout",1,100,2,1,"Glacial Hideout",[],"",1,1,""
36,"HideoutMountain",1574,9587,"Metadata/Terrain/Missions/Hideouts/Mountain/decoration.hideout",[1210],1575,"Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MountainHideout",1,100,2,1,"Alpine Hideout",[],"",1,1,""
37,"HideoutDoomguard",1582,54370,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout",1,0,0,1,"Doomguard Hideout",[],"",1,1,1
38,"HideoutSunspire",1583,37893,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout",[],"","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout",1,0,0,1,"Sunspire Hideout",[],"",1,1,1
