"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","rid","rid","QuestKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2","rid","rid","i32","[i32]","i32","rid"
0,1,0,"Introduction",[],[],[13],"",13,3,"",13,"[0,1,2,3,4,5,6]","",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
1,1,1,"The Medicine Chest",[49],[41],[42],"",42,5,"",42,[7],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
2,1,2,"Medicine Chest Reward",[42],[41],[40],"",40,6,1,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
3,1,3,"Medicine Chest Reward 2",[42],[1877],[1876],"",1876,6,2,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
4,1,4,"Tarkleigh",[14],[],[278],"","",3,"",278,[8],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
5,1,5,"Lioneye's Watch",[],[42],[39],"",39,5,"",39,[9],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
6,1,6,"Lioneye's Watch",[42],[],[39],"","",3,"",39,[10],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
7,1,7,"Piety",[587],[],[279],"","",3,"",279,[11],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
8,1,8,"Rhoas",[30],[],[281],"","",3,"",281,[12],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
9,1,9,"Bestel",[31],[],[282],"","",3,"",282,[13],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
10,1,10,"Brutus",[130],"[797,0]",[284],"",284,5,"",284,[14],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
11,1,11,"Prison Reward",[284],"[797,0]",[798],"",798,6,8,71,[],"","","",[],[],1276,[],1276,"","","","","","","",47,[],47,""
12,1,12,"Brutus",[5],[],[43],"",43,3,"",43,[15],"",1,"",[],[],1276,[],1276,"","","","","","","",47,[],47,""
