"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
0,0,592,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,593,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,603,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,604,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,615,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,641,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,642,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,642,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,642,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,648,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,674,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,676,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,704,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,691,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,692,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,693,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,679,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,712,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,712,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,712,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,712,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,702,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,727,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,753,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,763,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,781,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,281,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,789,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,826,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,828,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
30,32,790,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
31,33,791,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
32,34,792,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
33,35,793,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
34,36,794,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
35,37,795,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
36,38,796,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
37,39,797,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
38,40,798,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
39,41,799,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
40,42,800,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
41,43,801,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,802,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,803,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,804,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,113,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,834,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,863,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,866,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,867,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
