"rownum","Projectile","Variant","[rid]","i32","rid"
0,"default_ranged",0,[59],3,""
1,"default_ranged",1,[212],3,""
2,"default_ranged",2,[335],3,""
3,"default_ranged",3,[564],3,""
4,"default_ranged",4,[565],3,""
5,"default_ranged",5,[601],3,""
6,"default_ranged",6,[617],3,""
7,"default_ranged",7,[618],3,""
8,"default_ranged",8,[619],3,""
9,"default_ranged",9,[620],3,""
10,"default_ranged",10,[621],3,""
11,"default_ranged",11,[622],3,""
12,"default_ranged",12,[623],3,""
13,"default_ranged",13,[624],3,""
14,"default_ranged",14,[625],3,""
15,"default_ranged",15,[626],3,""
16,"default_ranged",16,[627],3,""
17,"default_ranged",17,[628],3,""
18,"default_ranged",18,[710],3,""
19,"default_ranged",19,[686],3,""
20,"default_ranged",20,[695],3,""
21,"default_ranged",21,[711],3,""
22,"default_ranged",22,[718],3,""
23,"default_ranged",23,[719],3,""
24,"default_ranged",24,[720],3,""
25,"default_ranged",25,[819],3,""
26,"default_ranged",26,[822],3,""
27,"default_ranged",27,[830],3,""
28,"default_ranged",28,[929],3,""
29,"default_ranged",29,[977],3,""
30,"default_ranged",30,[984],3,""
31,"default_ranged",31,[1068],3,""
32,"default_ranged",32,[1079],3,""
33,"default_ranged",33,[1080],3,""
34,"default_ranged",34,[1081],3,""
35,"default_ranged",35,[60],3,""
36,"cremation_projectile",0,[375],3,""
37,"cremation_projectile",1,[375],3,""
38,"cremation_projectile",2,[418],3,""
39,"cremation_projectile",3,[422],3,""
40,"cremation_projectile",4,[376],3,""
41,"cremation_projectile",5,[1062],3,""
42,"cremation_projectile",6,[1078],3,""
43,"cremation_projectile",7,[1082],3,""
44,"soulfeast_primary",0,[1084],3,""
45,"soulfeast_secondary",0,[1085],3,""
46,"soulfeast_primary_short",0,[1086],3,""
47,"soulfeast_secondary_short",0,[1087],3,""
48,"soulfeast_primary",1,[1182],3,""
49,"soulfeast_secondary",1,[1183],3,""
50,"soulfeast_primary_short",1,[1184],3,""
51,"soulfeast_secondary_short",1,[1185],3,""
52,"igniting_flask",0,[1101],3,""
53,"spark",0,[17],3,""
54,"spark",1,[18],3,""
55,"spark",2,[19],3,""
56,"spark",3,[259],3,""
57,"spark",4,[358],3,""
58,"spark",5,[359],3,""
59,"spark",6,[17],3,""
60,"spark",7,[435],3,""
61,"spark",8,[450],3,""
62,"spark",9,[473],3,""
63,"spark",10,[486],3,""
64,"spark",11,[535],3,""
65,"spark",12,[612],3,""
66,"spark",13,[721],3,""
67,"spark",14,[728],3,""
68,"spark",15,[779],3,""
69,"spark",16,[926],3,""
70,"spark",17,[1045],3,""
71,"spark",18,[1046],3,""
72,"spark",19,[1102],3,""
73,"spark_monster",1,[95],3,""
74,"spark_monster",2,[96],3,""
75,"spark_monster",3,[872],3,""
76,"spark_monster",4,[873],3,""
77,"spark_tornado",0,[359],3,""
78,"spark_tornado",2,[362],3,""
79,"spark_tornado",17,[360],3,""
80,"spark_tornado",18,[361],3,""
81,"spark_tornado",19,[363],3,""
82,"lightning_strike_projectile",0,[30],3,""
83,"lightning_strike_projectile_lite",0,[1126],3,""
84,"lightning_strike_projectile",1,[30],3,""
85,"lightning_strike_projectile_lite",1,[1126],3,""
86,"lightning_strike_projectile",2,[1110],3,""
87,"lightning_strike_projectile_lite",2,[1110],3,""
