"rownum","Id","i32","[rid]"
0,"absolution_blast",0,[5284]
1,"flame_golem",-4,[8732]
2,"flame_golem",-3,[8699]
3,"flame_golem",-2,[7671]
4,"flame_golem",-1,[4183]
5,"flame_golem",0,[4182]
6,"flame_golem",1,[4184]
7,"flame_golem_monster",1,[4197]
8,"lightning_golem",-4,[8734]
9,"lightning_golem",-3,[8701]
10,"lightning_golem",-2,[7673]
11,"lightning_golem",-1,[4218]
12,"lightning_golem",0,[4213]
13,"lightning_golem",1,[4214]
14,"ice_golem_monster",1,[4172]
15,"ice_golem",-4,[8731]
16,"ice_golem",-3,[8698]
17,"ice_golem",-2,[7670]
18,"ice_golem",-1,[4170]
19,"ice_golem",0,[4168]
20,"ice_golem",1,[4169]
21,"stone_golem",-4,[8735]
22,"stone_golem",-3,[8702]
23,"stone_golem",-2,[7674]
24,"stone_golem",-1,[4463]
25,"stone_golem",0,[4462]
26,"chaos_golem_monster",1,[3966]
27,"chaos_golem",-4,[8733]
28,"chaos_golem",-3,[8700]
29,"chaos_golem",-2,[7672]
30,"chaos_golem",-1,[4211]
31,"chaos_golem",0,[4209]
32,"bone_golem",0,[7642]
33,"bone_golem",1,[7990]
34,"bone_golem",2,[8398]
35,"bone_golem",3,[8410]
36,"agony_crawler",0,[6722]
37,"agony_crawler",1,[6722]
38,"agony_crawler",2,[6722]
39,"agony_crawler",3,[6722]
40,"agony_crawler",4,[6722]
41,"agony_crawler",5,[6722]
42,"agony_crawler",6,[6722]
43,"agony_crawler",7,[6722]
44,"agony_crawler",8,[6722]
45,"agony_crawler",9,[6722]
46,"agony_crawler",10,[6887]
47,"agony_crawler",11,[6724]
48,"agony_crawler",12,[6723]
49,"agony_crawler",13,[7177]
50,"agony_crawler",14,[7331]
51,"agony_crawler",15,[7700]
52,"agony_crawler",16,[7988]
53,"agony_crawler",17,[7991]
54,"agony_crawler",18,[8210]
55,"agony_crawler",19,[8396]
56,"agony_crawler",20,[8442]
57,"purity_champion",0,[1303]
58,"purity_champion",1,[1303]
59,"purity_champion",2,[1303]
60,"purity_champion",3,[1303]
61,"purity_champion",4,[1303]
62,"purity_champion",5,[1303]
63,"purity_champion",6,[1303]
64,"purity_champion",7,[1303]
65,"purity_champion",8,[1303]
66,"purity_champion",9,[1303]
67,"purity_champion",10,[6888]
68,"purity_champion",11,[1304]
69,"purity_champion",12,[1305]
70,"purity_champion",13,[7178]
71,"purity_champion",14,[7332]
72,"purity_champion",15,[7701]
73,"purity_champion",16,[7989]
74,"purity_champion",17,[7992]
75,"purity_champion",18,[8211]
76,"purity_champion",19,[8397]
77,"purity_champion",20,[8443]
78,"tornado",0,[8782]
79,"tornado",1,[8972]
80,"triggered_summon_spider",0,[5276]
81,"triggered_summon_spider",1,[5277]
82,"raging_spirit",0,[3039]
83,"raging_spirit",1,[3040]
84,"raging_spirit",2,[3041]
85,"raging_spirit",3,[3042]
86,"raging_spirit",4,[3043]
87,"raging_spirit",5,[7650]
88,"raging_spirit",6,[3044]
89,"raging_spirit",7,[8613]
90,"raging_spirit",8,[8805]
91,"raging_spirit",9,[8806]
92,"raging_spirit",10,[9014]
93,"raging_spirit_monster",0,[3047]
94,"raging_spirit_monster",1,[3048]
95,"raging_spirit_monster",2,[3050]
96,"raging_spirit_monster",3,[3051]
97,"raging_spirit_monster",4,[3052]
98,"raging_spirit_monster",5,[7650]
99,"raging_spirit_monster",8,[8805]
100,"raging_spirit_monster",9,[8806]
101,"raging_spirit_monster",10,[9014]
