"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","string"
0,3,16,1,"Pilfering Torment Scarabs","Pilfering Torment Scarabs"
1,3,16,2,"Pilfering Torment Scarabs","Pilfering Torment Scarabs"
2,3,16,3,"Pilfering Torment Scarabs","Pilfering Torment Scarabs"
3,1,16,1,"Guarding Veiled Equipment","Smuggling Boots (Trapped Chests!)"
4,1,16,2,"Guarding Veiled Equipment","Smuggling Boots (Trapped Chests!)"
5,1,16,3,"Guarding Veiled Equipment","Smuggling Boots (Trapped Chests!)"
6,2,16,1,"Smuggling Attuned Equipment (Trapped Chests!)","Transporting Boots"
7,2,16,2,"Smuggling Attuned Equipment (Trapped Chests!)","Transporting Boots"
8,2,16,3,"Smuggling Attuned Equipment (Trapped Chests!)","Transporting Boots"
9,4,16,1,"Imbuing Veiled Magic","Gambling with Boot Properties"
10,4,16,2,"Imbuing Veiled Magic","Gambling with Boot Properties"
11,4,16,3,"Imbuing Veiled Magic","Gambling with Boot Properties"
12,3,10,1,"Looting Breach Scarabs","Looting Breach Scarabs"
13,3,10,2,"Looting Breach Scarabs","Looting Breach Scarabs"
14,3,10,3,"Looting Breach Scarabs","Looting Breach Scarabs"
15,1,10,1,"Mapping Breaches (Go home, freak!)","Smuggling Jewels (Trapped Chests!)"
16,1,10,2,"Mapping Breaches (Go home, freak!)","Smuggling Jewels (Trapped Chests!)"
17,1,10,3,"Mapping Breaches (Go home, freak!)","Smuggling Jewels (Trapped Chests!)"
18,2,10,1,"Transporting Breach Splinters","Transporting Jewels"
19,2,10,2,"Transporting Breach Splinters","Transporting Jewels"
20,2,10,3,"Transporting Breach Splinters","Transporting Jewels"
21,4,10,1,"Enriching Breachstones","Enriching Breachstones"
22,4,10,2,"Enriching Breachstones","Enriching Breachstones"
23,4,10,3,"Enriching Breachstones","Enriching Breachstones"
24,3,15,1,"Pillaging Sulphite Scarabs","Securing Rare Equipment"
25,3,15,2,"Pillaging Sulphite Scarabs","Securing Rare Equipment"
26,3,15,3,"Pillaging Sulphite Scarabs","Securing Rare Equipment"
27,1,15,1,"Sheltering Harbinger Orbs","Smuggling Rings (Trapped Chests!)"
28,1,15,2,"Sheltering Harbinger Orbs","Smuggling Rings (Trapped Chests!)"
29,1,15,3,"Sheltering Harbinger Orbs","Smuggling Rings (Trapped Chests!)"
30,2,15,1,"Smuggling Timeworn Uniques","Transporting Rings"
31,2,15,2,"Smuggling Timeworn Uniques","Transporting Rings"
32,2,15,3,"Smuggling Timeworn Uniques","Transporting Rings"
33,4,15,1,"Fabricating Unmaking Orbs","Gambling with Ring Properties"
34,4,15,2,"Fabricating Unmaking Orbs","Gambling with Ring Properties"
35,4,15,3,"Fabricating Unmaking Orbs","Gambling with Ring Properties"
36,3,2,1,"\""Reappropriating\"" Reliquary Scarabs","\""Reappropriating\"" Reliquary Scarabs"
37,3,2,2,"\""Reappropriating\"" Reliquary Scarabs","\""Reappropriating\"" Reliquary Scarabs"
38,3,2,3,"\""Reappropriating\"" Reliquary Scarabs","\""Reappropriating\"" Reliquary Scarabs"
39,1,2,1,"Safeguarding Unique Armour","Smuggling Shields (Trapped Chests!)"
40,1,2,2,"Safeguarding Unique Armour","Smuggling Shields (Trapped Chests!)"
41,1,2,3,"Safeguarding Unique Armour","Smuggling Shields (Trapped Chests!)"
42,2,2,1,"Escorting Unique Weaponry","Transporting Shields"
43,2,2,2,"Escorting Unique Weaponry","Transporting Shields"
44,2,2,3,"Escorting Unique Weaponry","Transporting Shields"
45,4,2,1,"Manufacturing Unique Forgeries","Gambling with Shield Properties"
46,4,2,2,"Manufacturing Unique Forgeries","Gambling with Shield Properties"
47,4,2,3,"Manufacturing Unique Forgeries","Gambling with Shield Properties"
48,3,11,1,"Acquiring Divination Scarab \""Donations\""","Securing Socketed Equipment"
49,3,11,2,"Acquiring Divination Scarab \""Donations\""","Securing Socketed Equipment"
50,3,11,3,"Acquiring Divination Scarab \""Donations\""","Securing Socketed Equipment"
