"rownum","PassiveSkillsKey","Mastery_PassiveSkillsKey","TagsKey","PassiveTreeExpansionJewelSizesKey"
0,2639,3080,570,2
1,2640,3081,571,2
2,2641,3082,572,2
3,2642,3083,573,2
4,2643,3084,574,2
5,2644,3085,575,2
6,2645,3086,576,2
7,2646,3087,577,2
8,2647,3088,578,2
9,2648,3089,579,2
10,2649,3090,580,2
11,2650,3091,581,2
12,2651,3092,582,2
13,2652,3093,583,2
14,2653,3094,584,2
15,2654,3095,585,2
16,2655,3096,586,2
17,2656,3097,587,1
18,2657,3098,588,1
19,2658,3099,589,1
20,2659,3100,590,1
21,2660,3101,591,1
22,2661,3102,592,1
23,2662,3103,593,1
24,2663,3104,594,1
25,2664,3105,595,1
26,2665,3106,596,1
27,2666,3107,597,1
28,2667,3108,598,1
29,2668,3109,599,1
30,2669,3110,600,1
31,2670,3111,601,1
32,2671,3112,602,1
33,2672,3113,603,1
34,2673,3114,604,1
35,2674,3115,605,1
36,2675,3116,606,1
37,2676,3117,607,1
38,2677,"",608,0
39,2678,"",609,0
40,2679,"",610,0
41,2680,"",611,0
42,2681,"",612,0
43,2682,"",613,0
44,2683,"",613,0
45,2684,"",614,0
46,2685,"",615,0
47,2686,"",616,0
48,2687,"",617,0
49,2688,"",618,0
50,2689,"",619,0
51,2690,"",620,0
52,2691,"",621,0
53,2692,"",747,0
54,2693,"",748,0
