"rownum","Id","i32","SoldItem_TagsKeys","SoldItem_Weights","[rid]","[i32]","i32","[rid]","[i32]","i32","i32","i32"
0,"A1_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",0,[4],[],0,0,0
1,"A2_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",3,[0],[],0,0,0
2,"A3_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",5,"[4,0,17]",[],0,0,0
3,"A4_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",7,"[17,0,4]",[],0,0,0
4,"A5_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",9,"[17,0,4]",[],0,0,0
5,"A6_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",11,"[17,0,4]",[],0,0,0
6,"A7_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",13,"[17,0,4]",[],0,0,0
7,"A8_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",15,"[17,0,4]",[],0,0,0
8,"A9_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",17,"[17,0,4]",[],0,0,0
9,"A10_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",19,"[17,0,4]",[],0,0,0
10,"Epilogue_Weapons",64,"[33,9,0]","[0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",21,"[17,0,4]",[],0,0,0
11,"A1_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",1,"[16,10,15,11]",[],0,0,0
12,"A2_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",2,"[16,8,12,19,20,21]",[],0,0,0
13,"A3_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",4,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
14,"A4_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",6,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
15,"A5_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",8,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
16,"A6_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",10,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
17,"A7_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",12,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
18,"A8_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",14,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
19,"A9_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",16,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
20,"A10_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",18,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
21,"Epilogue_Magic",40,"[33,9,8,0]","[0,1000,0,1000]","[0,6,7,8,13]","[1,1,1,1,1]",20,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
22,"NoRandomItems",0,[0],[0],[],[],0,[],[],0,0,0
23,"Cadiro",0,[0],[0],[],[],0,[],[],0,0,5
24,"Einhar",0,[0],[0],[],[],0,[42],[1],0,0,0
25,"Kirac",0,[0],[0],[],[],0,[],[],0,0,0
26,"Whakano",10,"[33,0]","[0,1000]",[38],[1],22,[],[],67,48,0
27,"EndlessDelve",0,[],[],[],[],0,"[10,15,11,8,12,19,20,21,6,7,17,0,4]",[],0,0,0
28,"ExpeditionHaggler",0,[],[],[],[],0,[],[],0,0,1
29,"ExpeditionGambler",0,[],[],[],[],0,[],[],0,0,3
30,"ExpeditionDealer",0,[],[],[],[],0,[],[],0,0,2
31,"ExpeditionSaga",0,[],[],[],[],0,[],[],0,0,4
32,"EndlessHeistContracts",8,[],[],[],[],23,[],[],75,1,0
33,"A1_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",0,[4],[],0,0,0
34,"A2_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",3,[0],[],0,0,0
35,"A3_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",5,"[4,0,17]",[],0,0,0
36,"A4_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",7,"[17,0,4]",[],0,0,0
37,"A5_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",9,"[17,0,4]",[],0,0,0
38,"A6_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",11,"[17,0,4]",[],0,0,0
39,"A7_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",13,"[17,0,4]",[],0,0,0
40,"A8_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",15,"[17,0,4]",[],0,0,0
41,"A9_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",17,"[17,0,4]",[],0,0,0
42,"A10_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",19,"[17,0,4]",[],0,0,0
43,"Epilogue_Weapons_HardMode",64,"[33,9,10,13,37,45,0]","[0,0,0,0,0,0,1000]","[0,9,1,2,3,4,5]","[2808,125,1123,374,437,562,499]",21,"[17,0,4]",[],0,0,0
44,"A1_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",1,"[16,10,15,11]",[],0,0,0
45,"A2_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",2,"[16,8,12,19,20,21]",[],0,0,0
46,"A3_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",4,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
47,"A4_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",6,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
48,"A5_Magic_HardMode",40,"[33,9,10,13,37,45,8,1,0]","[0,250,250,250,250,1000,0,0,1000]","[0,5,13]","[3,1,2]",8,"[16,10,15,11,8,12,19,20,21,6,7]",[],0,0,0
