"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","rid","[rid]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","rid","rid","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","AchievementItemsKey","ModsKeys","i32","VaalArea","bool","MaxLevel","AreaTypeTags","i32","IsHideout","Inflection","i32","i32","Tags","IsVaalArea","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","TSIFile","rid","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","EnvironmentsKey","i32","rid","i32","i32","i32","i32","i32","bool","bool","i32","i32","i32","[rid]","rid","i32","rid","rid"
0,"NULL","NULL",1,"","",[],0,9693,0,0,"","",[],6,[],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"",0,0,0,0,0,"",1,47,0,0,[],0,0,0,0
1,"CharacterSelect","Character Select",1,"","",[],0,18564,0,0,"","",[],6,[],"",900,"","",[],[],[],[],"",[],"","",[],0,[],"",100,[],0,"","",10000,5000,[],"","","","","","","",[],"","","","","",15,0,0,"",0,0,0,0,0,"",1,47,0,0,[],0,0,0,0
2,"1_1_town","Lioneye's Watch",1,1,1,"[3,4]",13,9052,0,0,"Art/Textures/Interface/LoadingImages/LionEyesWatch.dds",124,[0],32,[3],"",480,"","",[],[],[],[],"",[],"","",[],200,[],1,100,[],0,"","",7000,4000,[],"","","","","","","",[],"","","",119,"",1,28,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
3,"1_1_1","The Twilight Strand",1,"","",[2],1,61450,0,0,"Art/Textures/Interface/LoadingImages/Act1.dds",123,[],6,"[0,1,2]",2,90,"","",[1092],[],"[978,0]","[0,1000]","",[],"","",[11682],0,[],"",100,[],0,"","",7000,4000,"[159,169]","","","","","","","",[],"","","","","",2,2,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
4,"1_1_2","The Coast",1,"",1,"[2,6,5]",2,31442,0,0,"Art/Textures/Interface/LoadingImages/Act1.dds",125,[0],6,"[4,5,6,7,8,9,10,11,12]",2,900,"","",[2654],[],[],[],"",[],"","",[],0,"[166,165,170]","",100,[90],0,"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,5,10000,"",0,0,0,0,0,"",1,47,0,0,[],8,5,117,0
5,"1_1_2a","The Tidal Island",1,"","",[4],3,61641,0,3,"Art/Textures/Interface/LoadingImages/Act1.dds",126,[0],6,"[13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]",2,480,"","",[2693],[],[],[],"",[],"","",[],0,"[165,166]","",100,[90],0,"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,7,8500,"",0,0,0,0,0,"",1,47,0,0,[],9,5,0,0
6,"1_1_3","The Mud Flats",1,"","","[4,9,7]",4,49149,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",30,[0],6,"[28,29,30,31,32,33,34]",2,900,"","",[429],[],[],[],"",[],"","",[],0,"[165,167]","",100,[90],0,"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,8,20000,"",0,0,0,0,0,"",1,47,0,0,[],10,5,117,0
7,"1_1_3a","The Fetid Pool",1,"","",[6],5,56912,10,5,"Art/Textures/Interface/LoadingImages/Act1.dds",127,[0],6,"[35,36,37,38]",2,480,227,225,[396],[],[],[],"",[],"","",[],0,[165],"",100,[90],0,"","",7000,4000,"[169,386,876]","","","","","","","",[],"","","","","",2,9,10000,"",0,0,0,0,0,"",1,47,0,0,[],11,5,0,0
8,"1_1_4_0","The Flooded Depths",1,"","",[9],6,7020,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",128,[24],6,"[39,40,41,42]",2,480,"","",[500],"[453,462]",[],[],"",[],"","",[],0,[165],"",100,[90],0,"","",6000,4000,"[61,169,385,397]","","","","","","","",[],"","","","","",2,10,7500,"",0,0,0,0,0,"",1,47,0,0,[],12,5,117,0
9,"1_1_4_1","The Submerged Passage",1,"",1,"[6,10,8]",5,12917,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",27,[24],6,"[43,44,45,46,47,48]",2,900,"","",[485],[453],[],[],"",[],"","",[],0,[166],"",100,[90],0,"","",6000,4000,"[61,169,385,397]","","","","","","","",[],"","","","","",2,12,18000,"",0,0,0,0,0,"",1,47,0,0,[],13,5,117,0
10,"1_1_5","The Ledge",1,"",1,"[9,11]",6,33279,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",3,[24],6,"[49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]",2,480,"","",[986],[],[],[],"",[],"","",[],0,[168],"",100,[92],0,"","",7000,4000,[169],"","","","","","","",[],"","","","","",2,14,25000,"",0,0,0,0,0,"",1,47,0,0,[],14,5,117,0
11,"1_1_6","The Climb",1,"",1,"[10,12]",7,62867,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",129,[24],6,"[65,66,67,68,69,70]",2,480,"","","[516,253]",[],[],[],"",[],"","",[],0,[170],"",100,[92],0,"","",7000,4000,"[169,879]","","","","","","","",[],"","","","","",2,15,16000,"",0,0,0,0,0,"",1,47,0,0,[],15,5,118,0
12,"1_1_7_1","The Lower Prison",1,"",1,"[11,13]",8,37828,2,5,"Art/Textures/Interface/LoadingImages/Act1.dds",130,[24],6,"[71,72,73,74,75,76]",2,480,"","",[514],[],[],[],"",[],"","",[],0,[169],"",100,[93],0,"","",6000,4000,"[61,158,159,361,845]","","","","","","","",[],"","","","","",2,16,20000,"",0,0,0,0,0,"",1,47,0,0,[],16,5,118,0
13,"1_1_7_2","The Upper Prison",1,"","","[12,14]",9,29202,2,5,"Art/Textures/Interface/LoadingImages/Act1.dds",130,[24],6,[77],2,480,"","","[398,142]",[],[],[],"",[],"","",[],0,[169],"",100,[93],0,"","",6000,4000,"[61,158,159,307,361,845,876]","","","","","","","",[],"","","","","",2,17,25000,"",0,0,0,0,0,"",1,47,0,0,[],17,5,118,0
14,"1_1_8","Prisoner's Gate",1,"",1,"[13,15,31]",10,30227,3,5,"Art/Textures/Interface/LoadingImages/Act1.dds",26,[5],6,"[78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93]",2,480,"","",[],[],[],[],"",[],"","",[],0,[170],"",100,"[92,94]",0,"","",7000,4000,[364],"","","","","","","",[],"","","","","",2,20,23000,"",0,0,0,0,0,"",1,47,0,0,[],18,5,118,0
15,"1_1_9","The Ship Graveyard",1,"",1,"[14,16,16,17]",11,55297,4,5,"Art/Textures/Interface/LoadingImages/Act1.dds",33,[5],6,"[94,95,96,97,98,99,100,101,102,103,104,106,107,108,109,110,111,112]",2,900,"","",[509],[],[],[],"",[],"","",[],0,"[170,167]","",100,[90],0,"","",7000,4000,"[169,392]","","","","","","","",[],"","","","","",2,21,29000,"",0,0,0,0,0,"",1,47,0,0,[],19,5,118,0
16,"1_1_9a","The Ship Graveyard Cave",1,"","","[15,15]",12,11322,5,5,"Art/Textures/Interface/LoadingImages/Act1.dds",131,[5],6,"[113,114,115,116]",2,480,"","",[1034],[],[],[],"",[1376],"","",[],0,[165],"",100,[90],0,"","",6000,4000,"[61,392,397]","","","","","","","",[],"","","","","",2,23,12000,"",0,0,0,0,0,"",1,47,0,0,[],20,5,118,0
17,"1_1_11_1","The Cavern of Wrath",1,"",1,"[15,18]",12,14670,6,5,"Art/Textures/Interface/LoadingImages/Act1.dds",132,[5],6,"[117,118,119,120]",2,480,"","",[479],[],[],[],"",[],"","",[],0,[165],"",100,[95],0,"","",6000,4000,"[61,158,159,169,385,397]","","","","","","","",[],"","","","","",2,24,13000,"",0,0,0,0,0,"",1,47,0,0,[],21,5,118,0
18,"1_1_11_2","The Cavern of Anger",1,"","","[17,20]",13,37116,6,5,"Art/Textures/Interface/LoadingImages/Act1.dds",132,[5],6,"[121,122,123,124]",2,480,"","","[477,150]",[151],[],[],"",[],"","",[],0,[165],"",100,[95],0,"","",6000,4000,"[61,158,159,169,385,397,848]","","","","","","","",[],"","","","","",2,25,13000,"",0,0,0,0,0,"",1,47,0,0,[],22,5,118,0
19,"1_2_town","The Forest Encampment",2,1,1,"[20,21,29]",23,8755,0,0,"Art/Textures/Interface/LoadingImages/Act2.dds",133,[9],32,[439],"",900,"","",[],[],[],[],"",[],"","",[],0,[],1,100,[],0,"","",7000,4000,[],"","","","","","","",[],"","","",120,"",1,56,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
20,"1_2_1","The Southern Forest",2,"",1,"[18,19]",13,50717,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",10,[9],6,"[436,437,438]",2,480,"","",[1],[],[],[],"",[],"","",[],0,[177],"",100,[96],0,"","",7000,4000,"[169,424]","","","","","","","",[],"","","","","",2,30,14000,"",0,0,0,0,0,"",1,47,0,0,[],23,5,0,0
21,"1_2_2","The Old Fields",2,"","","[19,22,22,23]",14,9731,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",134,[9],6,"[440,441,442,443,444,445]",19,900,"","",[376],[],[],[],"",[],"","",[],0,[174],"",100,[96],16,"","",7000,4000,"[169,326,327,362,364,428]","","","","","","","",[],"","","","","",2,31,16000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
22,"1_2_2a","The Den",2,"","","[21,21]",15,50108,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",135,[9],6,"[446,447,448,449,450,451,452,453]",19,480,"","",[110],[],[],[],"",[],"","",[],0,[173],"",100,[96],16,"","",6000,4000,"[61,326,328,390,397]","","","","","","","",[],"","","","","",2,33,16000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
23,"1_2_3","The Crossroads",2,"",1,"[21,28,38,26]",15,38817,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",136,[9],6,[454],19,900,"","",[831],[],[],[],"",[],"","",[],0,[174],"",100,"[96,94]",16,"","",7000,4000,"[169,326,364]","","","","","","","",[],"","","","","",2,34,22000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
24,"1_2_5_1","The Crypt Level 1",2,"",1,"[38,25]",17,55820,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",138,[9],6,"[461,462,463,464]",19,480,"","",[],[],[],[],"",[],"","",[],0,[175],"",100,[98],15,"","",6000,4000,"[61,328,371]","","","","","","","",[],"","","","","",2,36,21000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
25,"1_2_5_2","The Crypt Level 2",2,"","",[24],18,44218,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",138,[9],6,"[465,466,467,468,469,470,471,472]",19,480,"","",[506],[],[],[],"",[],"","",[],0,[175],"",100,[98],15,"","",6000,4000,"[61,328,371,845]","","","","","","","",[],"","","","","",2,37,19500,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
26,"1_2_6_1","The Chamber of Sins Level 1",2,"",1,"[23,27]",15,3398,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",101,[9],6,"[473,474,475]",19,480,"","",[908],[],[],[],"",[],"","",[],0,[176],"",100,[99],15,"","",6000,4000,"[61,328,363,845]","","","","","","","",[],"","","","","",2,38,23500,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
27,"1_2_6_2","The Chamber of Sins Level 2",2,"","",[26],16,58279,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",101,[9],6,"[476,477,478,479]",19,480,"","",[145],[],[],[],"",[],"","",[],0,[176],"",100,[99],14,"","",6000,4000,"[61,328,363,845]","","","","","","","",[],"","","","","",2,40,20000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
28,"1_2_4","The Broken Bridge",2,"",1,[23],16,47747,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",137,[9],6,"[455,456,457,458,459,460]",19,480,"","",[35],[],[],[],"",[],"","",[],0,[174],"",100,[96],14,"","",7000,4000,"[169,327,364,870]","","","","","","","",[],"","","","","",2,35,22500,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
29,"1_2_7","The Riverways",2,"",1,"[19,31,34]",15,3474,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",139,[9],6,"[480,481,482,483,484,485,486,487,488,489,490]",19,480,"","",[],[],[],[],"",[],"","",[],0,[172],"",100,[97],14,"","",7000,4000,"[169,329,327,364,391]","","","","","","","",[],"","","","","",2,41,50000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
30,"1_2_8","The Northern Forest",2,"",1,"[33,35,36]",21,47696,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",140,[88],6,"[491,492,493,494,495,496,497,498,499,500,501,502]",19,900,"","",[],[],[],[],"",[],"","",[],0,[177],"",100,[97],13,"","",7000,4000,"[169,326,330,327,425]","","","","","","","",[],"","","","","",2,43,27000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
31,"1_2_9","The Western Forest",2,"",1,"[29,32,14]",17,6216,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",141,[9],6,"[503,504,505,506]",19,480,"","","[32,1334]",[],[],[],"",[],"","",[],0,[171],"",100,[100],13,"","",7000,4000,"[328,327]","","","","","","","",[],"","","","","",2,44,36000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
32,"1_2_10","The Weaver's Chambers",2,"","",[31],18,19531,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",142,[9],6,"[507,508,509,510]",19,480,"","",[910],[],[],[],"",[],"","",[],0,[177],"",100,[101],13,"","",6000,4000,"[61,331]","","","","","","","",[],"","","","","",2,45,15000,"",20,0,0,0,0,"",1,47,0,0,[],24,5,119,1
33,"1_2_11","The Vaal Ruins",2,"","","[34,30]",20,59770,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",143,[99],6,"[511,512,513,514,515,516,517,518,519,520]",19,480,"","",[],[],[],[],"",[],"","",[],0,[178],"",100,[102],12,"","",6000,4000,"[61,331,381]","","","","","","","",[],"","","","","",2,46,31500,"",20,0,0,0,0,"",1,47,0,0,[],25,5,119,1
34,"1_2_12","The Wetlands",2,"",1,"[29,33]",19,20334,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",144,[9],6,"[521,522,523,524,525,526,527,528,529]",19,900,"","",[39],[],[],[],"",[],"","",[],0,[171],"",100,[97],12,"","",7000,4000,"[169,326,332]","","","","","","","",[],"","","","","",2,48,29000,"",20,0,0,0,0,"",1,47,0,0,[],26,5,119,1
35,"1_2_13","The Dread Thicket",2,"","",[30],21,64768,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",145,[88],6,"[530,531,532,533]",19,480,"","",[],[],[],[],"",[1370],"","",[],0,[177],"",100,[97],12,"","",6000,4000,"[61,327,329,376]","","","","","","","",[],"","","","","",2,49,16000,"",20,0,0,0,0,"",1,47,0,0,[],27,5,119,1
36,"1_2_14_2","The Caverns",2,"",1,"[30,37]",22,17515,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",146,[88],6,"[534,535,536,537]",19,480,"","",[3114],[],[],[],"",[],"","",[],0,[178],"",100,[102],11,"","",6000,4000,"[61,158,159,169,326,329,397]","","","","","","","",[],"","","","","",2,50,30000,"",20,0,0,0,0,"",1,47,0,0,[],28,5,119,1
37,"1_2_14_3","The Ancient Pyramid",2,"","","[36,40]",23,14238,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",146,[88],6,[538],19,480,"","",[],[],[],[],"",[],"","",[],0,[178],"",100,[102],11,"","",6000,4000,"[61,158,159,307,331,372]","","","","","","","",[],"","","","","",2,51,36000,"",20,0,0,0,0,"",1,47,0,0,[],29,5,119,1
38,"1_2_15","The Fellshrine Ruins",2,"","","[23,24]",16,13302,6,5,"Art/Textures/Interface/LoadingImages/Act2.dds",147,[9],6,"[539,540,541]",19,480,"","",[],[],[],[],"",[],"","",[],0,[173],"",100,[96],11,"","",7000,4000,"[169,333,364,389,845]","","","","","","","",[],"","","","","",2,55,39000,"",20,0,0,0,0,"",1,47,0,0,[],30,5,119,1
39,"1_3_town","The Sarn Encampment",3,1,1,"[40,41,1302,456]",33,1073,0,0,"Art/Textures/Interface/LoadingImages/Act3.dds",150,[473],32,[542],"",480,"","",[],[],[],[],"",[],"","",[],0,[],1,100,[],0,"","",7000,4000,[],"","","","","","","",[],"","","",121,"",1,117,0,"",0,0,0,0,0,"",1,47,0,0,[],0,5,0,0
40,"1_3_1","The City of Sarn",3,"",1,"[37,39]",23,20735,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",149,[473],6,[543],19,480,"","",[1331],[],[],[],"",[],"","",[],0,[186],"",100,[103],10,"","",7000,3500,"[169,334,374]","","","","","","","",[],"","","","","",2,84,12500,"",20,0,0,0,0,"",1,47,0,0,[],31,5,120,2
41,"1_3_2","The Slums",3,"","","[39,42,49]",24,37655,8,6,"Art/Textures/Interface/LoadingImages/Act3.dds",151,[473],6,"[544,545,546,547,548,549]",39,1800,"","",[2037],[],[],[],"",[],"","",[],0,[179],"",100,[104],10,"","",7000,3500,"[334,374,379]","","","","","","","",[],"","","","","",2,85,19000,"",20,0,0,0,0,"",1,47,0,0,[],32,5,120,2
