"rownum","Monster","SkillType","rid","[rid]","[i32]","rid","Animation","Stats","StatsValues","i32","rid","GrantedEffects","i32","rid","Script1","Script2","Mods","Name","i32","[rid]","i32","i32","[i32]","[rid]","[rid]","[rid]","MiscAnimations","bool"
0,1103,0,342,[],[],9128,"",[],[],0,349,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
1,1105,0,342,[],[],9128,"",[],[],0,349,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
2,1107,0,342,[],[],9128,"",[],[],0,349,[],1,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
3,4232,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
4,4239,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
5,4246,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
6,4246,1,342,[1230],[20],6820,"",[],[],0,349,[7828],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
7,6017,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
8,6018,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
9,6019,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
10,6020,0,342,[],[],9128,"",[],[],0,349,[],3,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
11,472,0,511,[10559],[1],9065,"",[],[],0,500,[],4,"","","",[],"Stone Shot",0,[],150,0,[],[],[],[],[],""
12,472,1,511,[10559],[1],9092,1,[],[],0,500,[],4,"","","",[],"Stone Shot",56,[],0,0,[],[],[],[],[],""
13,472,2,511,[10559],[1],9103,1,"[175,318,4550]","[200,400,1]",0,500,[],0,"","","",[],"Stone Snipe",53,[],0,0,[],[],[],[],[],""
14,472,3,511,[10559],[1],9096,1,[1211],[200],0,500,[],0,"","","",[],"Stone Shot",52,[],0,0,[],[],[],[],[],""
15,2688,0,342,[],[],9128,"",[],[],0,349,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
16,2688,1,669,[],[],9084,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
17,2651,0,342,[],[],9128,"",[],[],0,349,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
18,2651,1,669,[],[],9084,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],0,0,[],[],[],[],[],""
19,2656,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
20,2656,2,1961,[],[],9148,51,"[173,2503]","[4,10]",0,"",[1962],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
21,2656,3,1961,[],[],9150,51,"[3210,5755]","[20,-40]",0,"",[1962],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
22,2656,4,1961,[],[],9090,51,"[173,2503]","[0,5]",0,"",[1962],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
23,2691,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
24,2691,2,1961,[],[],9148,51,"[173,2503]","[4,10]",0,"",[1962],0,"","","",[],"Flame Hurl",81,[],-50,0,[],[],[],[],[],""
25,2691,3,1961,[],[],9150,51,"[3210,5755]","[20,-40]",0,"",[1962],0,"","","",[],"Torch Toss",82,[],-50,0,[],[],[],[],[],""
26,2691,4,1961,[],[],9090,51,"[173,2503]","[0,5]",0,"",[1962],0,"","","",[],"Backburn",51,[],0,0,[],[],[],[],[],""
27,2714,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
28,2714,3,2048,[214],[8],9114,51,"[175,634,6156]","[50,-60,2]",0,"",[],0,"","","",[],"Fire Breath",62,[],0,0,[],[],[],[],[],""
29,2654,0,351,[],[],9128,"",[],[],0,"",[],0,"","","",[],"Fire Strike",0,[],0,0,[],[],[],[],[],""
30,2654,1,2846,[],[],9109,24,[],[],0,"",[],0,"","","",[],"Flamecrack",57,[],0,0,[],[],[],[],[],""
31,2654,2,1118,[],[],9111,32,[],[],0,"",[],0,"","","",[],"Raise Burning Bones",58,[],0,0,[],[],[],[],[],""
32,2654,3,1255,[],[],9105,32,"[1820,612,357]","[20,50,-2400]",0,"",[],0,"","","",[],"Fire Storm",55,[],0,0,[],[],[],[],[],""
33,2654,4,1255,[2155],[3],9156,32,[],[],0,"",[],0,"","","",[],"Conflagration",0,[],-40,0,[],[],[],[],[],""
34,1140,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
35,1143,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
36,1146,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
37,416,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Bite",0,[],0,0,[],[],[],[],[],""
38,416,1,342,[1230],[20],6820,"",[],[],0,349,[7828],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
39,416,2,191,[],[],9121,"",[70],[-20],0,"","[6093,6105]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],"Charge Forward",0,[],0,0,[],[],[],[],[],""
40,416,3,191,[],[],9122,"",[70],[-40],0,"",[7877],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],"Charge Forward",0,[],0,0,[],[],[],[],[],""
41,424,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Bite",0,[],0,0,[],[],[],[],[],""
42,424,1,342,[1230],[20],6820,"",[],[],0,349,[7828],0,"","","on_event_contact_for_EmptyActionAttack = \""TriggerSkill( MetamorphosisTriggeredThrust, ContactPoint );\""",[],"Thrusting Strike",0,[],30,0,[],[],[],[],[],""
43,424,2,191,[],[],9121,"",[70],[-20],0,"","[6093,6105]",0,"","","on_event_footstep_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeFootstep );\""\r\non_event_contact_for_ShieldCharge = \""TriggerSkill( MetamorphosisShieldChargeImpact );\""",[],"Charge Forward",0,[],0,0,[],[],[],[],[],""
44,424,3,191,[],[],9122,"",[70],[-40],0,"",[7877],0,"","","on_start_ShieldCharge = \""TriggerSkill( MetamorphCloneStampede, TargetLocation );\""",[],"Charge Forward",0,[],0,0,[],[],[],[],[],""
45,1134,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
46,1136,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
47,1138,0,342,[],[],9128,"",[],[],0,349,[],5,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
48,1046,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
49,1046,1,8855,[],[],9057,"",[434],[100],0,"",[],0,"","","",[],"Crashing Wave",0,[],10,0,[],[],[],[],[],""
50,1046,2,8855,[],[],9059,"","[434,70]","[100,-30]",0,"",[888],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],"Cleaving Frost",0,[],0,0,[],[],[],[],[],""
51,429,0,349,[],[],9128,"",[],[],0,"",[],0,"","","",[3738],"Lunging Bite",0,[],0,0,[],[],[],[],[],""
52,429,3,8854,[],[],9223,114,[],[],0,6137,[],0,"","","",[3738],"Screeching Cry",95,[],0,0,[],[],[],[],[],""
53,429,4,8854,[],[],9119,23,[],[],0,"",[4943],0,"","","on_event_contact_for_GeometryTrigger = \""TriggerSkill( MetamorphosisCastCausticGround, Self );\""",[3738],"Caustic Blast",67,[],0,0,[],[],[],[],[],""
54,886,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
55,495,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
56,907,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
57,1063,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
58,1063,1,8855,[],[],9057,"",[434],[100],0,"",[],0,"","","",[],"Crashing Wave",0,[],0,0,[],[],[],[],[],""
59,1063,2,8855,[],[],9059,"","[434,70]","[100,-30]",0,"",[888],0,"","","on_event_contact_for_GeometryAttack = \""TriggerSkill( MetamorphFreezingPulseNova, Ahead );\""",[],"Cleaving Frost",0,[],0,0,[],[],[],[],[],""
60,1063,3,8363,[],[],9224,20,[],[],0,"",[],0,"","","",[],"Frost Barrage",96,[],-40,0,[],[],[],[],[],""
61,1063,4,8363,[],[],9113,20,[318],[50],0,8364,[4944],0,"","","",[],"Frost Burst",98,[],0,0,[],[],[],[],[],""
62,641,0,342,[],[],9128,"",[],[],0,349,[],6,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
63,641,2,342,[],[],9160,114,[],[],0,7829,[],0,"","","",[],"Ground Strike",99,[],0,0,[],[],[],[],[],""
64,485,0,349,[],[],9128,"",[],[],0,"",[],0,"","","",[],"Lunging Strike",0,[],20,0,[],[],[],[],[],""
65,485,1,6098,[],[],9225,"",[],[],0,6138,[],0,"","","",[],"Sea Surge",97,[],0,0,[],[],[],[],[],""
66,485,3,8867,[],[],9117,22,[],[],0,"",[],0,"","","",[],"Geyser",65,[],0,0,[],[],[],[],[],""
67,485,4,2858,[],[],9113,23,[],[],0,3114,[],0,"","","",[],"Siren's Call",98,[],30,0,[],[],[],[],[],""
68,651,0,342,[],[],9128,"",[],[],0,349,[],6,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
69,651,2,342,[],[],9160,114,[],[],0,7829,[],0,"","","",[],"Ground Strike",99,[],70,0,[],[],[],[],[],""
70,519,0,342,[],[],9065,"",[],[],0,349,[],0,"","","",[],"Bowshot",0,[],0,0,[],[],[],[],[],""
71,519,1,342,[],[],9092,1,[],[],0,1600,[],0,"","","",[],"Skeletal Barrage",56,[],0,0,[],[],[],[],[],""
72,519,3,342,[],[],9096,1,[1211],[200],0,1600,[],0,"","","",[],"Hunter's Barrage",52,[],0,0,[],[],[],[],[],""
73,2689,0,342,[],[],9128,"",[],[],0,349,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
74,2689,1,669,[],[],9084,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],70,0,[],[],[],[],[],""
75,2652,0,342,[],[],9128,"",[],[],0,349,[],2,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
76,2652,1,669,[],[],9084,40,[173],[4],0,"",[],2,"","","",[],"Rock Toss",49,[],70,0,[],[],[],[],[],""
77,2715,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
78,2715,2,2048,[],[],9114,21,"[175,6156,195]","[50,12,1]",0,"",[],0,"","","",[],"Fire Breath",62,[],40,0,[],[],[],[],[],""
79,215,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
80,215,1,689,[],[],9120,14,[],[],0,"",[],0,"","","",[],"Leap Slam",0,[],0,0,[],[],[],[],[],""
81,215,4,689,[],[],9123,14,[],[],0,"","[9185,6147]",0,"","","on_event_hit_ground_for_LeapSlam = \""TriggerSkill( MetamorphGeometryEarthquake );\""",[],"Leap Slam Quake",0,[],0,0,[],[],[],[],[],""
82,1538,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Bite",0,[],0,0,[],[],[],[],[],""
83,1538,2,2296,[],[],9090,"",[],[],0,"",[],0,"","","",[],"Spew Blood",51,[],0,0,[],[],[],[],[],""
84,986,1,802,[],[],9085,20,[214],[2],0,"",[],0,"","","",[],"Spark",49,[],0,0,[],[],[],[],[],""
85,986,2,802,[],[],9086,20,"[1777,2120,2121,2122,1789]","[1,30,1000,360,50]",0,"",[],0,"","","",[],"Spark Nova",49,[],0,0,[],[],[],[],[],""
86,986,3,912,[],[],9119,"",[],[],0,7980,[],0,"","","",[],"Expanding Shocknova",67,[],0,0,[],[],[],[],[],""
87,986,4,912,[],[],9188,"",[357],[1500],0,8863,[],0,"","","",[],"Storm Blast",122,[],0,0,[],[],[],[],[],""
88,256,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],0,0,[],[],[],[],[],""
89,256,1,3,[],[],9065,20,[173],[4],0,"",[],0,"","","",[],"Fireball",0,[],0,0,[],[],[],[],[],""
90,256,2,1371,[],[],9118,"",[],[],0,"",[],0,"","","",[],"Molten Shell",66,[],0,0,[],[],[],[],[],""
91,256,3,3,[],[],9189,20,[],[],0,"",[],0,"","","",[],"Fire Blast",123,[],0,0,[],[],[],[],[],""
92,532,0,342,[],[],9065,"",[],[],0,349,[],0,"","","",[],"Bowshot",0,[],0,0,[],[],[],[],[],""
93,532,1,1764,[],[],9066,"","[195,173]","[1,2]",0,"",[],0,"","","",[],"Burning Arrow",0,[],20,0,[],[],[],[],[],""
94,5250,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],-20,0,[],[],[],[],[],""
95,5250,3,3764,[],[],9122,"",[],[],0,"",[9232],0,"","","on_event_metamortar_for_VollCharge = \""TriggerSkill( MetamorphosisMortar );\""",[],"Charge Forward",0,[],80,0,"[1,10]","[6847,2503]",[],[],[],""
96,5252,0,342,[],[],9128,"",[],[],0,349,[],0,"","","",[],"Lunging Strike",0,[],-20,0,[],[],[],[],[],""
97,5252,3,342,[],[],9122,"",[],[],0,3764,[9232],0,"","","on_event_metamortar_for_VollCharge = \""TriggerSkill( MetamorphosisMortar );\""",[],"Charge Forward",0,[],80,0,"[1,10]","[6847,2503]",[],[],[],""
98,516,2,1336,[],[],9094,1,[6822],[50],0,"",[],0,"","","",[],"Splitting Barrage",56,[],-40,0,[],[],[],[],[],""
99,516,4,1325,[],[],9134,53,[],[],0,"",[],0,"","","",[],"Storm of Arrows",71,[],-80,0,[],[],[],[],[],""
