"rownum","string","string","string","string","rid","i32","rid"
0,"ConvertCurrentShieldToGold","Gain Aureus coins equal to the amount of Inspiration removed","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainAureusEqualToInspirationRemoved","Remove all Inspiration","",0,""
1,"ConvertMaxHealthToShield","All but 1 Maximum Resolve is converted to Inspiration","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ConvertMaxResolveToInspiration","Maximum Resolve is 1","",0,""
2,"Convert50%HealthToGold","Gain 50% of current Resolve as Aureus coins","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainResolveAsAureusLoseCurrentResolve","Lose 50% of current Resolve","",0,""
3,"RandomizeAfflictionsAndBoons","Your Afflictions and Boons are randomised","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/RandomiseAfflictionsBoons","Lose all current Afflictions and Boons","",0,""
4,"ExchangeResolveForInspiration","Gain 200 Inspiration","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeResolveForInspiration","Lose 200 Resolve","",0,""
5,"MerchantHeal","Gain 50 Resolve","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/MerchantHealingFlask","","",0,""
6,"CurrencyBlacksmithsWhetstone4","","","",0,4,29
7,"CurrencyBlacksmithsWhetstone6","","","",0,6,29
8,"CurrencyBlacksmithsWhetstone8","","","",0,8,29
9,"CurrencyArmourersScrap4","","","",4,4,30
10,"CurrencyArmourersScrap6","","","",4,6,30
11,"CurrencyArmourersScrap8","","","",4,8,30
12,"CurrencyOrbofTransmutation3","","","",10,3,31
13,"CurrencyOrbofTransmutation4","","","",10,4,31
14,"CurrencyOrbofTransmutation6","","","",10,6,31
15,"CurrencyOrbofAugmentation3","","","",15,3,32
16,"CurrencyOrbofAugmentation4","","","",15,4,32
17,"CurrencyOrbofAugmentation6","","","",15,6,32
18,"CurrencyOrbofAlteration3","","","",11,3,0
19,"CurrencyOrbofAlteration4","","","",11,4,0
20,"CurrencyOrbofAlteration5","","","",11,5,0
21,"CurrencyOrbofAlteration6","","","",11,6,0
22,"CurrencyOrbofAlteration9","","","",11,9,0
23,"CurrencyOrbofChance3","","","",7,3,1
24,"CurrencyOrbofChance4","","","",7,4,1
25,"CurrencyOrbofChance5","","","",7,5,1
26,"CurrencyOrbofChance6","","","",7,6,1
27,"CurrencyOrbofChance9","","","",7,9,1
28,"CurrencyGlassblowersBauble3","","","",17,3,2
29,"CurrencyGlassblowersBauble4","","","",17,4,2
30,"CurrencyGlassblowersBauble5","","","",17,5,2
31,"CurrencyGlassblowersBauble6","","","",17,6,2
32,"CurrencyGlassblowersBauble9","","","",17,9,2
33,"CurrencyChromaticOrb3","","","",19,3,3
34,"CurrencyChromaticOrb4","","","",19,4,3
35,"CurrencyChromaticOrb5","","","",19,5,3
36,"CurrencyChromaticOrb6","","","",19,6,3
37,"CurrencyChromaticOrb9","","","",19,9,3
38,"CurrencyJewellersOrb3","","","",21,3,4
39,"CurrencyJewellersOrb4","","","",21,4,4
40,"CurrencyJewellersOrb5","","","",21,5,4
41,"CurrencyJewellersOrb6","","","",21,6,4
42,"CurrencyJewellersOrb9","","","",21,9,4
43,"CurrencyOrbofAlchemy1","","","",6,1,5
44,"CurrencyOrbofAlchemy2","","","",6,2,5
45,"CurrencyOrbofAlchemy3","","","",6,3,5
46,"CurrencyOrbofAlchemy4","","","",6,4,5
47,"CurrencyOrbofAlchemy6","","","",6,6,5
48,"CurrencyOrbofFusing1","","","",20,1,6
49,"CurrencyOrbofFusing2","","","",20,2,6
50,"CurrencyOrbofFusing3","","","",20,3,6
51,"CurrencyOrbofFusing4","","","",20,4,6
52,"CurrencyOrbofFusing6","","","",20,6,6
53,"CurrencyOrbofScouring1","","","",12,1,7
54,"CurrencyOrbofScouring2","","","",12,2,7
55,"CurrencyOrbofScouring3","","","",12,3,7
56,"CurrencyOrbofScouring5","","","",12,5,7
57,"CurrencyCartographersChisel2","","","",25,2,8
58,"CurrencyCartographersChisel3","","","",25,3,8
59,"CurrencyCartographersChisel5","","","",25,5,8
60,"CurrencyChaosOrb1","","","",2,1,9
61,"CurrencyChaosOrb2","","","",2,2,9
62,"CurrencyChaosOrb3","","","",2,3,9
63,"CurrencyChaosOrb5","","","",2,5,9
64,"CurrencyOrbofBinding1","","","",204,1,10
65,"CurrencyOrbofBinding2","","","",204,2,10
66,"CurrencyOrbofBinding3","","","",204,3,10
67,"CurrencyOrbofBinding5","","","",204,5,10
68,"CurrencyOrbofRegret1","","","",8,1,11
69,"CurrencyOrbofRegret2","","","",8,2,11
70,"CurrencyOrbofRegret3","","","",8,3,11
71,"CurrencyOrbofRegret5","","","",8,5,11
72,"CurrencyGemcuttersPrism1","","","",18,1,12
73,"CurrencyGemcuttersPrism2","","","",18,2,12
74,"CurrencyGemcuttersPrism4","","","",18,4,12
75,"CurrencyBlessedOrb1","","","",23,1,13
76,"CurrencyBlessedOrb2","","","",23,2,13
77,"CurrencyBlessedOrb4","","","",23,4,13
78,"CurrencyVaalOrb1","","","",33,1,14
79,"CurrencyVaalOrb2","","","",33,2,14
80,"CurrencyVaalOrb2Copy","","","",33,2,14
81,"CurrencyVaalOrb4","","","",33,4,14
82,"CurrencyOrbofHorizons1","","","",205,1,15
83,"CurrencyOrbofHorizons2","","","",205,2,15
84,"CurrencyOrbofHorizons4","","","",205,4,15
85,"CurrencyInstillingOrb1","","","",9360,1,16
86,"CurrencyInstillingOrb2","","","",9360,2,16
87,"CurrencyInstillingOrb4","","","",9360,4,16
88,"CurrencyRegalOrb1","","","",14,1,17
89,"CurrencyRegalOrb2","","","",14,2,17
90,"CurrencyRegalOrb4","","","",14,4,17
91,"CurrencyEnkindlingOrb1","","","",9359,1,18
92,"CurrencyEnkindlingOrb2","","","",9359,2,18
93,"CurrencyEnkindlingOrb4","","","",9359,4,18
94,"CurrencyOrbofUnmaking1","","","",9,1,19
95,"CurrencyOrbofUnmaking2","","","",9,2,19
96,"CurrencyOrbofUnmaking4","","","",9,4,19
97,"CurrencyAwakenedSextant3","","","",181,3,20
98,"CurrencyStackedDeck1","","","",8431,1,21
99,"CurrencyStackedDeck2","","","",8431,2,21
100,"CurrencyStackedDeck4","","","",8431,4,21
101,"ExchangeMaxResolveRandomMajorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveRandomMajorBoon","","",0,""
102,"ExchangeMaxResolveRandomMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveRandomMinorBoon","","",0,""
103,"ExchangeMaxResolveTwoRandomMinorBoons","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/ExchangeMaxResolveTwoRandomMinorBoons","","",0,""
104,"GainRandomMinorBoonGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMinorBoonGainRandomMinorAffliction","","",0,""
105,"GainSpecMajorBoonGainThreeRandomAfflictions","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonGainThreeRandomAfflictions","","",0,""
106,"GainSpecMajorBoonLoseRandomMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","","",0,""
107,"GainSpecMinorBoonGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainRandomMinorAffliction","","",0,""
108,"GainSpecMinorBoonGainSpecMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainSpecMinorAffliction","","",0,""
109,"GainThreeRandomMinorBoonsGainSpecMajorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainThreeRandomMinorBoonsGainSpecMajorAffliction","","",0,""
110,"LoseRandomMinorAfflictionLoseRandomMinorBoon","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseRandomMinorAfflictionLoseRandomMinorBoon","","",0,""
111,"LoseSpecMinorAfflictionGainRandomMinorAffliction","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionGainRandomMinorAffliction","","",0,""
