"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,9094,"",0
1,9095,"",0
2,9096,"",0
3,9097,"",0
4,9132,"",2
5,9133,"",3
6,9134,"",4
7,9135,"",5
8,9136,"",2
9,9137,"",3
10,9138,"",4
11,9139,"",5
12,9140,0,2
13,9141,0,3
14,9142,0,4
15,9143,0,5
16,9144,1,2
17,9145,1,3
18,9146,1,4
19,9147,1,5
20,9148,2,2
21,9149,2,3
22,9150,2,4
23,9151,2,5
24,9152,3,2
25,9153,3,3
26,9154,3,4
27,9155,3,5
28,9156,4,2
29,9157,4,3
30,9158,4,4
31,9159,4,5
32,9160,5,2
33,9161,5,3
34,9162,5,4
35,9163,5,5
36,9164,6,2
37,9165,6,3
38,9166,6,4
39,9167,6,5
40,9168,7,2
41,9169,7,3
42,9170,7,4
43,9171,7,5
44,9172,8,2
45,9173,8,3
46,9174,8,4
47,9175,8,5
48,9176,"",2
49,9177,"",3
50,9178,"",4
51,9179,"",5
52,9180,"",2
53,9181,"",3
54,9182,"",4
55,9183,"",5
56,9184,"",2
57,9185,"",3
58,9186,"",4
59,9187,"",5
