"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","i32","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]"
0,"Acceleration",0,"",358,30,1,359,"","",50,45,3,"","[8031,9132,9149]","",1,"",6024,6023,"","",[]
1,"Lightning",0,"",370,80,4,"",2721,2722,0,45,2,"","[8031,9132,9149]","","","",6026,6025,"","",[]
2,"Cold",0,"",369,80,4,"",2723,2724,0,45,0,"","[8031,9132,9149]","","","",6028,6027,"","",[]
3,"Fire",0,"",368,0,10,"",2719,2720,0,45,1,"","[8031,9132,9149]","","","",6030,6029,"","",[]
4,"Arc",0,"",371,0,10,"",2727,2728,0,45,2,"","[516,8031,9132,9149]","","","",6032,6031,"","",[]
5,"Criticals",0,"",366,30,1,367,"","",50,45,7,"","[8031,9132,9149]","",1,"",6034,6033,"","",[]
6,"Brutal",0,"",362,30,1,363,"","",50,45,5,"","[8031,9132,9149]","",1,"",6036,6035,"","",[]
7,"Thorns",0,"",364,0,40,365,"","",50,45,6,"","[519,8031,9132,9149]","",1,"",6038,6037,"","",[]
8,"Regen",0,1,360,30,1,361,"","",50,45,4,"","[8031,9132,9149]","",1,"",6040,6039,"","",[]
9,"Massive",0,"",378,60,10,379,"","",50,45,4,"","[8031,9132,9149]","",1,"",6042,6041,"","",[]
10,"Defence",0,"",380,80,25,381,"","",50,45,6,"","[8031,9132,9149]","",1,"",6044,6043,"","",[]
11,"Resistance",0,"",382,80,40,383,"","",50,45,6,"","[8031,9132,9149]","",1,"",6046,6045,"","",[]
12,"GodMode",0,"",384,10,60,385,"","",50,45,6,"","[8031,9132,9149,9151]","",1,"",6048,6047,"","",[]
13,"Multi",0,"",375,10,60,374,"","",50,45,7,"","[8899,9132,9149]","",1,"",6050,6049,"","",[]
14,"Curses",0,"",377,0,25,376,"",3005,50,45,5,"","[526,8031,9132,9149]","","","",6052,6051,"","",[]
15,"Skeletons",0,"",372,40,25,"",2729,2730,0,45,8,"","[8031,9132,9149]","","","",6054,6053,"","",[]
16,"Smoke",0,"",373,60,40,"",2725,2726,0,45,9,"","[8031,9132,9149]","","","",6056,6055,"","",[]
17,"PVPAcceleration",45,"",358,100,0,"","","",0,12,3,1,[],"","","",6058,6057,"","",[]
18,"PVPRegen",45,1,360,100,0,"","","",0,12,4,1,[],"","","",6060,6059,"","",[]
19,"PVPBrutal",45,"",362,100,0,"","","",0,20,5,1,[],"","","",6062,6061,"","",[]
20,"CTFBrutal",45,"",362,100,0,"","","",0,20,5,1,[],1,"","",6064,6063,"","",[]
21,"CTFRegen",45,1,360,100,0,"","","",0,20,4,1,[],1,"","",6066,6065,"","",[]
22,"CTFMassive",45,"",378,100,0,"","","",0,20,4,1,[],1,"","",6068,6067,"","",[]
23,"CTFDefence",45,"",380,100,0,"","","",0,20,6,1,[],1,"","",6070,6069,"","",[]
24,"AccelerationLesser",0,"",387,30,1,"","","",0,20,3,"",[],"",1,1,6024,6071,"","",[]
25,"BrutalLesser",0,"",388,30,1,"","","",0,20,5,"",[],"",1,1,6036,6072,"","",[]
26,"RegenLesser",0,"",389,30,1,"","","",0,20,4,"",[],"",1,1,6040,6073,"","",[]
27,"MassiveLesser",0,"",390,60,1,"","","",0,20,4,"",[],"",1,1,6042,6074,"","",[]
28,"ResistanceLesser",0,"",391,80,1,"","","",0,20,6,"",[],"",1,1,6046,6075,"","",[]
29,"DefenceLesser",0,"",392,80,1,"","","",0,20,6,"",[],"",1,1,6044,6076,"","",[]
30,"Resonating",0,"",393,0,2,394,"","",50,45,10,"","[8031,9132,9149]","",1,"",6078,6077,"","",[]
31,"Gloom",0,"",395,0,2,396,"","",50,45,11,"","[8031,9132,9149]","",1,"",6080,6079,"","",[]
32,"RoyaleShrineAccelerating",60,"",397,100,0,"","","",0,10,3,"",[],"","","",6024,6023,1,"",[]
33,"RoyaleShrineBrutal",60,"",398,100,0,"","","",0,10,5,"",[],"","","",6036,6035,1,"",[]
34,"RoyaleShrineBurning",60,"",399,0,0,"",2719,2720,0,10,1,"",[],"","","",6030,6029,1,"",[]
35,"RoyaleShrineCharged",60,"",400,100,0,"","","",0,10,10,"",[],"","","",6078,6077,1,"",[]
36,"RoyaleShrineDiamond",60,"",401,100,0,"","","",0,10,7,"",[],"","","",6034,6033,1,"",[]
37,"RoyaleShrineEchoing",60,"",402,100,0,"","","",0,10,7,"",[],"","","",6050,6049,1,"",[]
38,"RoyaleShrineFreezing",60,"",403,0,0,"",2723,2724,0,10,0,"",[],"","","",6028,6027,1,"",[]
39,"RoyaleShrineGloom",60,"",404,0,0,"","","",0,10,11,"",[],"","","",6052,6079,1,"",[]
40,"RoyaleShrineHexing",60,"",405,100,0,"","",3005,0,10,5,"",[],"","","",6052,6051,1,"",[]
41,"RoyaleShrineImpenetrable",60,"",406,0,0,"","","",0,10,6,"",[],"","","",6044,6043,1,"",[]
42,"RoyaleShrineLightning",60,"",407,0,0,"",2721,2722,0,10,2,"",[],"","","",6026,6025,1,"",[]
43,"RoyaleShrineMassive",60,"",408,100,0,"","","",0,10,4,"",[],"","","",6042,6041,1,"",[]
44,"RoyaleShrineReplenishing",60,"",409,100,0,"","","",0,10,4,"",[],"","","",6040,6039,1,"",[]
45,"RoyaleShrineResistance",60,"",410,100,0,"","","",0,10,6,"",[],"","","",6046,6045,1,"",[]
46,"RoyaleShrineShrouded",60,"",411,0,0,"",2725,2726,0,10,9,"",[],"","","",6056,6055,1,"",[]
47,"RoyaleShrineStatic",60,"",412,0,0,"",2727,2728,0,10,2,"",[],"","","",6032,6031,1,"",[]
48,"Greed",0,"",417,0,0,416,"","",50,45,12,"","[8546,9132,9149]","",1,"",6097,6096,"","",[]
49,"BrineKing",0,"",475,0,0,476,"","",50,45,0,"","[9132,9149]","",1,"",6429,6425,"",31405,"[2195,2196,2197,2198,2199]"
50,"Lunaris",0,"",477,0,0,478,"","",50,45,0,"","[9132,9149]","",1,"",6430,6426,"",31402,"[2200,2201,2202,2203]"
51,"Solaris",0,"",479,0,0,480,"","",50,45,1,"","[9132,9149]","",1,"",6431,6427,"",31403,"[2204,2205,2206,2207]"
52,"Arakaali",0,"",481,0,0,482,"","",50,45,11,"","[9132,9149]","",1,"",6432,6428,"",31404,"[2208,2209,2210,2211]"
