"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32","Text2","Inflection"
0,1,"Dire","[727,645,3,2,656,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-241566196,"Dire",""
1,1,"Cinder","[62,64,67,0]","[1000,1000,1000,0]",285558415,"Cinder",""
2,1,"Iron","[727,69,63,67,0]","[1000,1000,1000,1000,0]",1748293915,"Iron",""
3,1,"Steel","[727,69,63,0]","[1000,1000,1000,0]",1890903384,"Steel",""
4,1,"Agony","[645,3,2,656,26,21,8,7,62,63,64,65,66,67,68,69,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1040640040,"Agony",""
5,1,"Dark","[727,69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1205947952,"Dark",""
6,1,"Cruel","[727,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",-543099414,"Cruel",""
7,1,"Death","[727,69,645,3,2,656,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1693771686,"Death",""
8,1,"Chaos","[69,63,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",1742788125,"Chaos",""
9,1,"Blood","[645,3,2,656,26,21,8,7,62,63,64,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",306773410,"Blood",""
10,1,"Terror","[63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,0]",-590652478,"Terror",""
11,1,"Pain","[69,645,3,2,656,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1716101697,"Pain",""
12,1,"Savage","[727,69,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",1052627272,"Savage",""
13,1,"Grim","[978,727,238,645,3,2,656,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1694429810,"Grim",""
14,1,"Whispering","[238,0]","[1000,0]",1087805279,"Whispering",""
15,1,"Foul","[238,0]","[1000,0]",2036870111,"Foul",""
16,1,"Enthralling","[238,0]","[1000,0]",-794706624,"Enthralling",""
17,1,"Hollow","[238,0]","[1000,0]",953145374,"Hollow",""
18,1,"Void","[960,0]","[1000,0]",847777751,"Void",""
19,1,"Voidtouched","[960,0]","[1000,0]",-995247282,"Voidtouched",""
20,1,"Interdimensional","[960,0]","[1000,0]",1772301993,"Interdimensional",""
21,1,"Celestial","[960,0]","[1000,0]",848763665,"Celestial",""
22,1,"Cosmic","[960,0]","[1000,0]",66409243,"Cosmic",""
23,1,"Planar","[960,0]","[1000,0]",-816896548,"Planar",""
24,1,"Otherworldly","[960,0]","[1000,0]",385666551,"Otherworldly",""
25,1,"Transcendental","[960,0]","[1000,0]",249636521,"Transcendental",""
26,1,"Mythic","[960,0]","[1000,0]",-548835700,"Mythic",""
27,1,"Malevolent","[978,0]","[1000,0]",-670448055,"Malevolent",""
28,1,"Pernicious","[978,0]","[1000,0]",1233649985,"Pernicious",""
29,1,"Ominous","[978,0]","[1000,0]",-1288737095,"Ominous",""
30,1,"Cryptic","[978,0]","[1000,0]",677243649,"Cryptic",""
31,1,"Nebulous","[978,0]","[1000,0]",-1499694807,"Nebulous",""
32,1,"Eerie","[978,0]","[1000,0]",849494196,"Eerie",""
