"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2277,140,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4357,140,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",4919,140,1031,2,1
4,"EssenceBloodworm",4224,140,"",1,""
5,"Essence Elemental Swarm 1st stage",389,140,108,4,1
6,"Essence Elemental Swarm 2nd stage",390,140,108,2,1
7,"Essence Elemental Swarm 3rd stage",391,140,108,2,1
8,"Essence Rock Golem",4477,140,"",1,1
9,"Essence Explosive Insect",1528,140,"",1,1
10,"Volatile Flameblood",4946,140,"",1,1
11,"Obsidian Golem",4159,140,"",1,1
12,"TormentedBetrayerBeacon",7318,140,"",1,""
13,"BlightDaemonFire",7632,140,108,1,""
14,"BlightDaemonCold",7634,140,110,1,""
15,"BlightDaemonLightning",7636,140,441,1,""
16,"BlightDaemonPhysical",7638,140,516,1,""
17,"BlightDaemonChaos",7640,140,1046,1,""
