"rownum","i32","[rid]","[rid]","i32","i32","bool","bool","bool","[rid]","i32","i32","i32","i32","i32","bool","i32","bool","bool","i32","i32","bool","bool","bool","i32","bool","bool","i32","i32","i32"
0,1,[2802],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
1,2,[2812],[],2,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
2,3,[2752],[],4,1,"",1,"",[],1,0,4,90,0,"",1792,"","",110,-65,1,"","",0,"","",13,13,0
3,4,[2752],[],4,1,"",1,1,[],1,0,4,-90,0,"",1792,"","",110,65,1,"","",0,"","",13,13,0
4,5,[2808],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
5,6,[2809],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",18,0,"","","",0,"","",13,13,0
6,7,[2855],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
7,8,[2900],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
8,9,[2911],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",15,0,"","","",0,"","",13,13,0
9,10,"[3122,3123,3124]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
10,11,[3128],[],4,1,"",1,"",[],1,0,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
11,12,[3142],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",27,0,"","","",0,"","",13,13,0
12,13,[3141],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",10,0,"","","",0,"","",13,13,0
13,14,[3146],[],4,1,"","","",[],1,0,4,0,0,"",1792,"","",25,0,1,"","",0,"","",13,13,0
14,15,[3147],[],4,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
15,16,[3185],[],2,1,"","","",[],1,0,2,180,0,"",1792,"","",25,0,"","","",0,"","",13,13,0
16,17,[3258],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
17,18,[3071],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
18,19,[3293],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
19,20,[3494],[],4,1,"",1,"",[],4,11,4,0,0,"",1792,"","",110,0,"","","",0,"","",13,13,0
20,21,[3493],[],2,1,"","","",[],1,0,2,0,0,"",1792,"","",27,0,1,"","",0,"","",13,13,0
21,22,[3517],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"","",111,0,"","","",0,"","",13,13,0
22,23,[3528],[],3,1,"",1,"",[],1,0,2,0,0,1,1792,"","",18,0,"","","",5500,"","",13,13,0
23,24,[3653],[],4,1,"",1,"",[],1,0,4,0,0,1,1792,"","",14,0,"","","",0,"","",13,13,0
24,25,"[3699,3700,3701]",[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"","",55,0,"","","",0,"","",13,13,0
25,26,"[3703,3704,3705]",[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",40,0,"","","",0,"","",13,13,0
26,27,[3803],[],4,1,"",1,"",[],1,0,2,0,0,1,1792,"","",27,0,"","","",5500,"","",13,13,0
27,28,[3841],[],3,1,"",1,"",[],3,0,2,0,0,1,1792,"","",60,0,"","",1,0,"","",13,13,0
28,29,[3813],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",11,0,"","","",0,"","",13,13,0
29,30,[4114],[],2,1,"",1,"",[],3,0,2,0,0,"",1792,"","",23,0,"","",1,0,"",1,13,13,0
30,31,[4291],[],3,1,"",1,1,[],3,0,4,-10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
31,32,[4182],[],3,1,"",1,"",[],3,0,4,10,0,"",1792,"","",30,0,"","",1,0,"",1,13,13,0
32,33,[4282],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
33,34,[4324],[],4,1,"","","",[],1,0,5,0,0,"",1792,"","",37,0,"","","",0,"","",13,13,0
34,35,[4754],[],2,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,1,"","",0,"",1,13,13,0
35,36,[4740],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",28,0,"","",1,0,"",1,13,13,0
36,37,[4781],[],4,1,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"",1,13,13,0
37,38,[4861],[],3,1,"",1,"",[],1,0,7,0,0,1,1792,"","",20,0,"","","",0,"",1,13,13,0
38,39,[4923],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
39,40,[5012],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
40,41,[5013],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
41,42,[4976],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",20,0,"","",1,0,"",1,13,13,0
42,43,[4977],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",12,0,"","",1,0,"",1,13,13,0
43,44,[5105],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"",1,15,0,"","","",0,"",1,13,13,0
44,45,[5142],[],2,1,"","","",[],1,0,4,180,0,"",1792,"",1,85,0,"","",1,0,1,1,13,13,0
45,46,[5140],[],3,1,"","","",[],4,0,2,0,0,"",1792,"","",35,0,"","",1,0,1,1,13,13,0
46,47,[5085],[],3,1,"",1,"",[],3,0,4,0,0,1,1792,"",1,161,0,"","",1,0,1,1,13,13,0
47,48,[5334],[],4,1,"",1,"",[],3,0,13,0,0,"",1792,"","",130,0,"","","",0,"",1,4,11,0
48,49,[5541],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,18,0,"","","",0,"","",13,13,0
49,50,[5550],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
50,51,[5578],[],4,1,"",1,"",[],3,0,2,0,0,"",1792,"","",27,-20,"","",1,0,"",1,13,13,0
51,52,[5691],[],4,1,"","","",[],1,0,2,0,0,"",1792,"",1,75,0,"","","",0,"","",13,13,0
52,53,[5714],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",12,0,1,"","",0,1,1,13,13,0
53,54,[5717],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"","",36,0,1,"","",0,1,1,13,13,0
54,55,[5746],[],2,1,"",1,"",[],1,0,2,0,0,1,1792,"",1,108,0,"","","",0,"","",13,13,0
55,56,[6032],[],3,1,"",1,"",[],1,0,13,0,0,"",1792,"","",35,0,1,"","",0,"","",4,3,0
56,57,[6242],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
57,58,[6243],[],4,0,"","","",[],1,0,2,0,0,"",1792,"","",20,0,"","","",0,"","",13,13,0
58,59,[6290],[],2,1,"",1,"",[],4,11,4,0,0,1,1792,"","",37,10,1,"","",0,"","",13,13,0
59,60,[5691],[],4,1,"",1,"",[],1,0,2,0,0,"",1792,"",1,75,0,"","","",0,"","",13,13,0
60,61,[6765],[],4,1,"",1,"",[],1,0,7,0,0,1,1792,"",1,12,0,"","","",0,"",1,13,13,0
61,62,[6743],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",35,0,"","",1,0,"",1,13,13,0
62,63,[6700],[],4,1,"",1,"",[],1,0,7,0,0,"",1792,"","",37,0,"","",1,0,"",1,13,13,0
