"rownum","WorldArea","CapturedVessel","QuestFlag","CapturedMonster","PanelLayout"
0,1144,8899,1389,4391,0
1,1257,8900,1390,8213,0
2,1142,8901,1391,2365,0
3,1135,8902,1392,2421,1
4,1211,8903,1393,5787,1
5,1239,8904,1394,5387,1
6,1180,8905,1395,5334,2
7,1116,8906,1396,3993,2
8,1137,8907,1397,2382,2
9,1172,8908,1398,5310,3
10,1264,8909,1399,8166,3
11,1263,8910,1400,5296,3
12,1143,8911,1402,2309,6
13,1140,8912,1405,5667,8
14,1225,8913,1406,5680,9
15,1259,8914,1407,8184,10
16,1232,8915,1401,4608,11
17,1233,8916,1404,5645,13
18,1205,8917,1408,5819,14
19,1158,8918,1403,1515,15
