"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","rid","i32","WitnessAreas","i32","rid","bool","[rid]","Achievements1","Achievements2"
0,"Void1",4,83,974,4,9273,225,0,2333,1100,"[1243,1245,1244,1242]",1276,2297,1,[],[8796],[9245]
1,"Void2",4,83,975,4,9274,225,0,2333,1101,"[1731,1730,1728,1729]",1276,2298,1,[],[8797],[9246]
2,"Void3",4,83,976,4,9275,225,0,2333,1102,"[454,452,451,453]",1276,2299,1,[],[8798],[9247]
3,"Void4",4,83,977,4,9276,225,0,2333,1103,"[1073,1075,1076,1077]",1276,2300,1,[],[8799],[9248]
4,"Void5",5,83,978,5,9277,225,0,2333,1104,"[450,1074,754,1246,1279]",1276,2348,1,[],[8800],[9249]
5,"Void6",4,83,1162,4,9278,225,0,2333,1161,"[1732,1733,1734,1735]",1276,2350,1,[],[8801],[9250]
6,"Atlas1",3,73,979,2,9279,225,6,2334,1019,[],1276,2301,"",[],[],[]
7,"Atlas2",4,75,980,2,9280,979,8,2334,1019,[],1276,2302,"",[],[],[]
8,"Atlas3",5,78,981,3,9281,980,10,2334,1019,[],1276,2303,"",[],[],[]
9,"Atlas4",6,80,982,3,9282,981,12,2334,1019,[],1276,2304,"",[],[],[]
10,"Atlas5",10,83,983,10,9283,982,14,2334,1019,[],1084,2349,"",[],[],[]
