"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","[i32]","SpawnPatterns","ModsKey","[i32]","[i32]","MiscAnimatedKey2","EnvironmentsKey","i32","Achievements","Type","Description","DaemonSpawningDataKey","bool"
0,"Fire1",4948,100,0,24,1640,"[25,20]",[4],[],[],"[0,0,0,0]",4963,1194,4,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
1,"Fire2",4948,100,25,45,1640,"[30,25]",[4],[],[],"[0,0,0,0]",4963,1194,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
2,"Fire3",4948,100,46,67,1640,"[35,30]",[4],[],[],"[0,0,0,0]",4963,1194,5,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
3,"Fire4",4948,100,68,77,1640,"[40,35]",[4],[],[],"[0,0,0,0]",4963,1194,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
4,"Fire5",4948,100,78,100,1640,"[50,40]",[4],[],[],"[0,0,0,0]",4963,1194,6,[7468],"Infernal","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky",0,""
5,"Cold1",4949,100,10,24,1641,"[25,20]",[4],[],[],"[0,0,0,0]",4964,1195,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
6,"Cold2",4949,100,25,45,1641,"[30,25]",[4],[],[],"[0,0,0,0]",4964,1195,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
7,"Cold3",4949,100,46,67,1641,"[35,30]",[4],[],[],"[0,0,0,0]",4964,1195,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
8,"Cold4",4949,100,68,77,1641,"[40,35]",[4],[],[],"[0,0,0,0]",4964,1195,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
9,"Cold5",4949,100,78,100,1641,"[50,40]",[4],[],[],"[0,0,0,0]",4964,1195,1,[7469],"Bitter","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate",2,""
10,"ChaosPurple1",4950,50,46,67,1642,"[8,25]",[1],[],[],"[0,0,0,0]",4965,1196,5,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
11,"ChaosPurple2",4950,50,68,77,1642,"[10,35]",[1],[],[],"[0,0,0,0]",4965,1196,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
12,"ChaosPurple3",4950,50,78,100,1642,"[12,45]",[1],[],[],"[0,0,0,0]",4965,1196,6,[7472],"Dreaded","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles",4,""
13,"Lightning1",5022,100,0,24,1679,"[25,20]",[1],[],[],"[0,0,0,0]",5036,1203,4,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
14,"Lightning2",5022,100,25,45,1679,"[30,25]",[1],[],[],"[0,0,0,0]",5036,1203,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
15,"Lightning3",5022,100,46,67,1679,"[35,30]",[1],[],[],"[0,0,0,0]",5036,1203,5,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
16,"Lightning4",5022,100,68,77,1679,"[40,35]",[1],[],[],"[0,0,0,0]",5036,1203,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
17,"Lightning5",5022,100,78,100,1679,"[50,40]",[1],[],[],"[0,0,0,0]",5036,1203,6,[7470],"Fluctuant","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other",6,""
18,"PhysicalBlood1",5024,100,0,24,1680,"[25,20]",[2],[],[],"[0,0,0,0]",5038,1206,4,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
19,"PhysicalBlood2",5024,100,25,45,1680,"[30,25]",[2],[],[],"[0,0,0,0]",5038,1206,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
20,"PhysicalBlood3",5024,100,46,67,1680,"[35,30]",[2],[],[],"[0,0,0,0]",5038,1206,5,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
21,"PhysicalBlood4",5024,100,68,77,1680,"[40,35]",[2],[],[],"[0,0,0,0]",5038,1206,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
22,"PhysicalBlood5",5024,100,78,100,1680,"[50,40]",[2],[],[],"[0,0,0,0]",5038,1206,6,[7471],"Violent","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves",14,""
23,"GenericLife1",5020,100,0,24,1684,[120],[2],[],[],"[0,0,0,0]",5032,1200,4,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
24,"GenericLife2",5020,100,25,45,1684,[120],[2],[],[],"[0,0,0,0]",5032,1200,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
25,"GenericLife3",5020,100,46,67,1684,[120],[2],[],[],"[0,0,0,0]",5032,1200,5,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
26,"GenericLife4",5020,100,68,77,1684,[120],[2],[],[],"[0,0,0,0]",5032,1200,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
27,"GenericLife5",5020,100,78,100,1684,[120],[2],[],[],"[0,0,0,0]",5032,1200,6,[7573],"Suppressive","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration",17,""
28,"GenericEnergyShield1",5027,100,10,24,1683,[30],[4],[],[],"[0,0,0,0]",5030,1200,4,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
29,"GenericEnergyShield2",5027,100,25,45,1683,[35],[4],[],[],"[0,0,0,0]",5030,1200,5,[7574],"Ensconced","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield",22,""
