"rownum","Level","i32","i32","i32","i32","i32","i32","i32","i32"
0,1,0,2000,2,7500,6,90,0,0
1,2,0,2000,2,7500,6,90,0,0
2,3,0,2000,2,7500,6,90,0,0
3,4,0,2000,2,7500,6,90,0,20
4,5,0,2000,2,7500,6,90,0,20
5,6,0,2000,2,7500,6,90,1,20
6,7,0,2000,2,7500,6,90,1,20
7,8,0,2000,2,7500,6,90,1,20
8,9,0,2000,2,7500,6,90,1,20
9,10,0,2000,2,7500,6,90,1,20
10,11,0,2000,2,7500,6,90,1,20
11,12,0,2000,2,7500,6,90,1,20
12,13,0,2000,2,7500,6,90,1,20
13,14,0,2000,2,7500,6,90,1,20
14,15,0,2000,2,7500,6,90,1,20
15,16,0,2000,2,7500,6,90,1,20
16,17,0,2000,2,7500,6,90,1,20
17,18,0,2000,2,7500,6,90,1,20
18,19,0,2000,2,7500,6,90,1,20
19,20,0,2000,2,7500,6,90,1,20
20,21,0,2000,2,7500,6,90,1,20
21,22,0,2000,2,7500,6,90,1,20
22,23,0,2000,2,7500,6,90,1,20
23,24,0,2000,2,7500,6,90,1,20
24,25,0,2000,2,7500,6,90,1,20
25,26,0,2000,2,7500,6,90,1,20
26,27,0,2000,2,7500,6,90,1,20
27,28,0,2000,2,7500,6,90,1,20
28,29,0,2000,2,7500,6,90,1,20
29,30,0,2000,2,7500,6,90,1,20
30,31,0,2000,2,7500,6,90,1,20
31,32,0,2000,2,7500,6,90,1,20
32,33,0,2000,2,7500,6,90,1,20
33,34,0,2000,2,7500,6,90,1,20
34,35,0,2000,2,7500,6,90,1,20
35,36,0,2000,2,7500,6,90,1,20
36,37,0,2000,2,7500,6,90,1,20
37,38,0,2000,2,7500,6,90,1,20
38,39,0,2000,2,7500,6,90,1,20
39,40,0,2000,2,7500,6,90,1,20
40,41,0,2000,2,7500,6,90,1,20
41,42,0,2000,2,7500,6,90,1,20
42,43,0,2000,2,7500,6,90,1,20
43,44,0,2000,2,7500,6,90,1,20
44,45,0,2000,2,7500,6,90,1,20
45,46,0,2000,2,7500,6,90,1,20
46,47,0,2000,2,7500,6,90,1,20
47,48,0,2000,2,7500,6,90,1,20
48,49,0,2000,2,7500,6,90,1,20
49,50,0,2000,2,7500,6,90,1,20
50,51,0,2000,2,7500,6,90,1,20
51,52,0,2000,2,7500,6,90,1,20
52,53,0,2000,2,7500,6,90,1,20
53,54,0,2000,2,7500,6,90,1,20
54,55,0,2000,2,7500,6,90,1,20
55,56,0,2000,2,7500,6,90,1,20
56,57,0,2000,2,7500,6,90,1,20
57,58,0,2000,2,7500,6,90,1,20
58,59,0,2000,2,7500,6,90,1,20
59,60,0,2000,2,7500,6,90,1,20
60,61,0,2000,2,7500,6,90,1,20
61,62,0,2000,2,7500,6,90,1,20
62,63,0,2000,2,7500,6,90,1,20
63,64,0,2000,2,7500,6,90,1,20
64,65,0,2000,2,7500,6,90,1,20
65,66,0,2000,2,7500,6,90,1,20
66,67,0,2000,2,7500,6,90,1,20
67,68,0,2000,2,7500,6,90,1,20
68,69,0,2100,2,7500,6,90,1,20
69,70,0,2200,2,7500,6,90,1,20
70,71,0,2300,2,7500,6,90,1,20
71,72,0,2400,2,7500,6,90,1,20
72,73,0,2500,2,7500,7,90,1,20
73,74,0,2600,2,7500,7,90,1,20
74,75,0,2700,2,7500,7,90,1,20
75,76,0,2800,2,7500,7,90,1,20
76,77,0,2900,2,7500,7,90,1,20
77,78,0,2000,3,7500,8,90,1,20
78,79,0,2100,3,7500,8,90,1,20
79,80,0,2200,3,7500,8,90,1,20
80,81,60,2300,3,7500,8,90,1,20
81,82,65,2400,3,7500,8,90,1,20
82,83,70,2500,3,7500,8,90,1,20
83,84,70,2500,3,7500,8,90,1,20
84,85,70,2500,3,7500,8,90,1,20
85,86,70,2500,3,7500,8,90,1,20
86,87,70,2500,3,7500,8,90,1,20
87,88,70,2500,3,7500,8,90,1,20
88,89,70,2500,3,7500,8,90,1,20
89,90,70,2500,3,7500,8,90,1,20
90,91,70,2500,3,7500,8,90,1,20
91,92,70,2500,3,7500,8,90,1,20
92,93,70,2500,3,7500,8,90,1,20
93,94,70,2500,3,7500,8,90,1,20
94,95,70,2500,3,7500,8,90,1,20
95,96,70,2500,3,7500,8,90,1,20
96,97,70,2500,3,7500,8,90,1,20
97,98,70,2500,3,7500,8,90,1,20
98,99,70,2500,3,7500,8,90,1,20
99,100,70,2500,3,7500,8,90,1,20
