"rownum","Id","PosX","PosY","Order","SizeX","SizeY","bool","Tab","i32","IsDisabled","Subtab","FragmentItems"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,"",0,70,"",0,[6890]
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,"",0,70,"",0,[6891]
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,"",0,70,"",0,[6892]
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,"",0,70,"",0,[6893]
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,"",0,70,"",0,[6895]
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,"",0,70,"",0,[6896]
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,"",0,70,"",0,[6897]
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,"",0,70,"",0,[6898]
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,"",0,70,1,0,[6900]
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,"",0,70,1,0,[6901]
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,"",0,70,1,0,[6902]
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,"",0,70,1,0,[6903]
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,"",0,70,"",0,[6905]
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,"",0,70,"",0,[6906]
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,"",0,70,"",0,[6907]
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,"",0,70,"",0,[6908]
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,"",0,70,"",0,[6925]
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[6926]
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[6927]
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[6928]
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[6929]
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[6930]
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[187]
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,1,1,74,"",0,[188]
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,1,1,74,"",0,[189]
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,1,1,74,"",0,[190]
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,1,1,74,"",0,[191]
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",247,584,27,1,1,"",0,70,"",0,[6962]
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,"",2,75,"",0,[8944]
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,"",2,75,"",0,[8945]
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,"",2,75,"",0,[8946]
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,"",2,75,"",0,[8948]
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,"",2,75,"",0,[8949]
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,"",2,75,"",0,[8950]
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,"",2,75,"",0,[8952]
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,"",2,75,"",0,[8953]
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,"",2,75,"",0,[8954]
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,"",2,75,"",0,[8956]
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,"",2,75,"",0,[8957]
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,"",2,75,"",0,[8958]
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,"",2,75,"",0,[8964]
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,"",2,75,"",0,[8965]
42,"Metadata/Items/Scarabs/ScarabShaperRares3",693,89,42,1,1,"",2,75,"",0,[8966]
43,"Metadata/Items/Scarabs/ScarabElderRares1",491,482,43,1,1,"",2,75,"",0,[8968]
44,"Metadata/Items/Scarabs/ScarabElderRares2",592,482,44,1,1,"",2,75,"",0,[8969]
45,"Metadata/Items/Scarabs/ScarabElderRares3",693,482,45,1,1,"",2,75,"",0,[8970]
46,"Metadata/Items/Scarabs/ScarabSulphite1",68,382,46,1,1,"",2,75,"",0,[8972]
47,"Metadata/Items/Scarabs/ScarabSulphite2",169,382,47,1,1,"",2,75,"",0,[8973]
48,"Metadata/Items/Scarabs/ScarabSulphite3",270,382,48,1,1,"",2,75,"",0,[8974]
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",491,579,49,1,1,"",2,75,"",0,[8976]
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",592,579,50,1,1,"",2,75,"",0,[8977]
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",693,579,51,1,1,"",2,75,"",0,[8978]
52,"Metadata/Items/Scarabs/ScarabTorment1",68,284,52,1,1,"",2,75,"",0,[8980]
53,"Metadata/Items/Scarabs/ScarabTorment2",169,284,53,1,1,"",2,75,"",0,[8981]
54,"Metadata/Items/Scarabs/ScarabTorment3",270,284,54,1,1,"",2,75,"",0,[8982]
