"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,7306,1161,112,79,"","g","Vaults of Atziri",""
1,8295,1139,163,149,"","Ç","Maelstrom of Chaos",""
2,8314,1195,167,153,"","Å","The Coward's Trial",""
3,8357,1212,169,159,"","Ô","Acton's Nightmare",""
4,8390,1181,199,191,"","ß","Poorjoy's Asylum",""
5,8407,1168,222,209,"","À","Mao Kun",""
6,8411,1217,226,213,"","#","Oba's Cursed Trove",""
7,8471,1151,229,216,"","$","Olmec's Sanctum",""
8,8472,1170,230,217,1,"","Untainted Paradise",""
9,8625,1219,316,303,"","¿","Death and Taxes",""
10,8792,1111,378,394,"","È","Whakawairua Tuahu",""
11,9496,1198,401,417,1,"Ù","Hall of Grandmasters",""
12,9497,1165,602,577,1,"²","The Vinktar Square",""
13,10790,1153,658,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,10859,1113,715,893,1,"™","The Perandus Manor",1
15,11176,1184,799,1049,"","Õ","The Putrid Cloister",""
16,11177,1141,801,1051,"","Ð","Hallowed Ground",""
17,11411,1249,950,1504,1,"","The Beachhead",""
18,11412,1250,950,1504,1,"","The Beachhead",""
19,11413,1251,950,1504,1,"","The Beachhead",""
20,11415,1173,952,1525,"","^","The Twilight Temple",""
21,11416,1123,956,1526,1,"‹","Doryani's Machinarium",""
22,11417,1149,960,1527,"","›","Pillars of Arun",""
23,11967,451,1180,2074,1,"","Altered Distant Memory",""
24,11968,452,1181,2075,1,"","Augmented Distant Memory",""
25,11969,453,1182,2076,1,"","Twisted Distant Memory",""
26,11970,454,1183,2077,1,"","Rewritten Distant Memory",""
27,11971,450,1184,2078,1,"","Cortex",""
28,11414,1252,1271,1504,1,"","Infused Beachhead",""
29,11972,450,1185,2078,1,"","Cortex",""
30,11418,1149,961,1527,1,"","Pillars of Arun",""
31,8391,1181,200,191,1,"","Poorjoy's Asylum",""
32,12638,1739,1399,1782,1,"","The Tower of Ordeals",""
