"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues"
0,"InnerTreasure",[6766],"",[],[],[]
1,"DropVaalItem",[6773],"",[],[],[]
2,"AlwaysIgnite",[],"",[],"[4992,611]","[1,100]"
3,"RandomCurseOnMeleeHit",[],"",[],[1227],[100]
4,"Maimed",[],494,"[-30,1]",[],[]
5,"AlwaysShock",[],"",[],"[4991,659]","[1,100]"
6,"TormentedExperimenterPossess","[8607,8698,8783,8785]","",[],[],[]
7,"TormentedBlasphemerPossess","[8610,8696,8783,8785]","",[],[],[]
8,"TormentedNecromancerPossess","[8613,8698,8783,8785]","",[],[],[]
9,"TormentedArsonistPossess","[8616,8698,8783,8785]","",[],[],[]
10,"TormentedThiefPossess","[8645,8699,8783,8785]","",[],[],[]
11,"TormentedMutilatorPossess","[8658,8698,8783,8785]","",[],[],[]
12,"TormentedCharlatanPossess","[8626,8698,8783,8785]","",[],[],[]
13,"TormentedCannibalPossess","[8651,8698,8783,8785]","",[],[],[]
14,"TormentedPoisonerPossess","[8619,8698,8783,8785]","",[],[],[]
15,"TormentedCorrupterPossess","[8622,8699,8783,8785]","",[],[],[]
16,"TormentedThugPossess","[8629,8696,8783,8785]","",[],[],[]
17,"TormentedRoguePossess","[8632,8696,8633,8783,8785]","",[],[],[]
18,"TormentedFishermanPossess","[8635,8699,8783,8785]","",[],[],[]
19,"TormentedLibrarianPossess","[8638,8699,8783,8785]","",[],[],[]
20,"TormentedCutthroatPossess","[8642,8696,8783,8785]","",[],[],[]
21,"TormentedSpyPossess","[8648,8696,8783,8785]","",[],[],[]
22,"TormentedMartyrPossess","[8655,8698,8783,8785]","",[],[],[]
23,"TormentedEmbezzlerPossess","[8661,8699,8783,8785]","",[],[],[]
24,"TormentedCounterfeiterPossess","[8667,8698,8783,8785]","",[],[],[]
25,"TormentedWarlordPossess","[8670,8696,8783,8785]","",[],[],[]
26,"TormentedFreezerPossess","[8674,8698,8783,8785]","",[],[],[]
27,"TormentedSmugglerPossess","[8678,8676,8699,8783,8785]","",[],[],[]
