"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid","[rid]","bool","bool","bool","bool"
0,"Metadata/Pet/Kiwi/Basic",4142,37988,-398558118,8,"","",[1],27,[],"","","",""
1,"Metadata/Pet/Kiwi/Bronze",4143,44438,774276016,8,"","",[1],27,[],"","","",""
2,"Metadata/Pet/Kiwi/Silver",4144,42132,-80846918,8,"","",[1],27,[],"","","",""
3,"Metadata/Pet/Kiwi/Gold",4145,60474,1808500721,8,"","",[1],27,[],"","","",""
4,"Metadata/Pet/Kiwi/Diamond",4146,18975,235029533,9,"","",[1],27,[],"","","",""
5,"Metadata/Pet/Basilisk/Green",4119,61895,-1091154127,8,"","",[1],86,[],"","","",""
6,"Metadata/Pet/Basilisk/Infernal",4120,36008,237863557,8,"","",[1],75,[],"","","",""
7,"Metadata/Pet/Basilisk/Spectral",4121,17172,1286475706,8,"","",[1],86,[],"","","",""
8,"Metadata/Pet/Frog/Blue",4122,37577,1910039313,8,"","",[1],86,[],"","","",""
9,"Metadata/Pet/Frog/BlueCrown",4123,48394,1576132859,8,"","",[1],86,[],"","","",""
10,"Metadata/Pet/Frog/Green",4124,58853,1150919036,8,"","",[1],86,[],"","","",""
11,"Metadata/Pet/Frog/GreenCrown",4125,38190,-1138087676,8,"","",[1],86,[],"","","",""
12,"Metadata/Pet/Frog/Red",4126,47577,-1986187196,8,"","",[1],86,[],"","","",""
13,"Metadata/Pet/Frog/RedCrown",4127,46175,1589963419,8,"","",[1],86,[],"","","",""
14,"Metadata/Pet/Frog/Mysterious",4128,45262,-943687922,8,"","",[1],86,[],"","","",""
15,"Metadata/Pet/Scorpion/Black",4129,37381,-296518570,8,"","",[1],60,[],"","","",""
16,"Metadata/Pet/Scorpion/Chrome",4130,20859,386156159,8,"","",[1],86,[],"","","",""
17,"Metadata/Pet/Scorpion/Purple",4131,13085,1481075546,8,"","",[1],86,[],"","","",""
18,"Metadata/Pet/Scorpion/Red",4132,29389,-2141064532,8,"","",[1],86,[],"","","",""
19,"Metadata/Pet/Scorpion/White",4133,41999,784698058,8,"","",[1],86,[],"","","",""
20,"Metadata/Pet/Scorpion/Yellow",4134,20903,465717861,8,"","",[1],86,[],"","","",""
21,"Metadata/Pet/Weta/Basic",4138,33343,1722344599,8,"","",[1],86,[],"","","",""
22,"Metadata/Pet/Weta/Colossal",4139,12979,1519151167,8,"","",[1],86,[],"","","",""
23,"Metadata/Pet/Weta/Giant",4140,29172,1896349948,8,"","",[1],86,[],"","","",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4135,30851,493774317,8,"","",[1],75,[],"","","",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4136,37150,501714169,8,"","",[1],1,[],"","","",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4137,5815,-902046580,8,"","",[1],82,[],"","","",""
27,"Metadata/Pet/Weta/Blood",4141,58150,-1362539025,8,"","",[1],63,[],"","","",""
28,"Metadata/Pet/Kiwi/Albino",4147,27785,495546624,8,"","",[1],27,[],"","","",""
29,"Metadata/Pet/BabyRhoa/babyrhoa",4148,26930,-1705315480,8,"","",[1],89,[],"","","",""
30,"Metadata/Pet/BabyRhoa/babyrhoa_attach1",4149,17929,55199043,8,"","",[1],89,[],"","","",""
31,"Metadata/Pet/BabyRhoa/babyrhoa_attach2",4150,25177,-1157441189,8,"","",[1],89,[],"","","",""
32,"Metadata/Pet/BabyRhoa/babyrhoa_attach3",4151,14091,-1647793469,8,"","",[1],89,[],"","","",""
33,"Metadata/Pet/BabyRhoaFlying/babyrhoaflying",4152,27061,-1667107564,9,"","",[1],89,[],"","","",""
34,"Metadata/Pet/Ferret/Ferret",4153,23993,-1027825915,8,"","",[1],86,[],"","","",""
35,"Metadata/Pet/Cat/Black",4154,45791,424651664,8,"","",[1],60,[],"","","",""
36,"Metadata/Pet/DemonHand/Basic",4155,44454,-915315497,8,"","",[1],38,[],"","","",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",4156,28741,-177240790,9,"","",[1],75,[],"","","",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",4157,63077,1760403080,8,"","",[1],82,[],"","","",""
39,"Metadata/Pet/Garena/Garena",4158,21065,1776958371,8,"","",[1],86,[],"","","",""
40,"Metadata/Pet/BellLizard/BellLizard",4159,38215,-1052814216,8,"","",[1],86,[],"","","",""
41,"Metadata/Pet/Lion/Demon/DemonLion",4160,61331,2043582045,11,"","",[1],86,[],"","","",""
42,"Metadata/Pet/Lion/Gem/GemLion",4161,51436,92786027,11,"","",[1],86,[],"","","",""
43,"Metadata/Pet/Cobra/Cobra",4162,37676,2142825620,8,"","",[1],86,[],"","","",""
44,"Metadata/Pet/Cockroach/Cockroach",4163,61480,-184875821,8,"","",[1],86,[],"","","",""
45,"Metadata/Pet/FormosanBear/FormosanBear",4164,51230,-33606175,10,"","",[1],86,[],"","","",""
46,"Metadata/Pet/SpiderLizard/SpiderLizard",4165,179,1059602331,8,"","",[1],86,[],"","","",""
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",4166,32372,2015692369,8,"","",[1],86,[],"","","",""
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",4167,37890,1447674443,8,"","",[1],86,[],"","","",""
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",4168,236,-1925083731,8,"","",[1],86,[],"","","",""
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",4169,32726,107313587,8,"","",[1],86,[],"","","",""
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",4170,38988,-170234474,8,"","",[1],86,[],"","","",""
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",4171,35988,561753583,8,"","",[1],86,[],"","","",""
53,"Metadata/Pet/CaneToad/CaneToad6/CaneToad6",4172,52732,1611509233,8,"","",[1],86,[],"","","",""
54,"Metadata/Pet/Spider/spider",4173,55525,-1498775985,8,"","",[1],86,[],"","","",""
55,"Metadata/Pet/FormosanDeer/FormosanDeer",4174,24612,-519143126,10,"","",[1],86,[],"","","",""
56,"Metadata/Pet/FlySwarm/FlySwarm",4175,21094,323895592,10,"","",[1],86,[],"","","",""
57,"Metadata/Pet/DropBear/DropBear",4178,53741,-1624813878,9,"","",[1],86,[],"","","",""
58,"Metadata/Pet/BloodWorm/BloodWorm",4179,22385,250173848,8,"","",[1],63,[],"","","",""
59,"Metadata/Pet/Rat_Black/Rat_Black",4180,12421,1561226635,8,"","",[1],94,[],"","","",""
60,"Metadata/Pet/RollingHead/RollingHead",4181,39587,525305324,8,"","",[1],86,[],"","","",""
61,"Metadata/Pet/FlySwarm/FlySwarmGreen",4176,54607,-1460765279,9,"","",[1],58,[],"","","",""
62,"Metadata/Pet/FlySwarm/FlySwarmOrange",4177,45808,65843484,9,"","",[1],86,[],"","","",""
63,"Metadata/Pet/BabyBlackDeath/BabyBlackDeath",4182,61684,736025386,10,"","",[1],86,[],"","","",""
64,"Metadata/Pet/Chicken/Chicken",4183,56633,-52944415,8,"","",[1],86,[],"","","",""
65,"Metadata/Pet/WildTurkey/WildTurkey",4184,35129,-894811245,9,"","",[1],86,[],"","","",""
66,"Metadata/Pet/Hedgehog/Hedgehog",4185,33648,-9012218,8,"","",[1],86,[],"","","",""
67,"Metadata/Pet/Lemur/Lemur",4186,35010,-128290664,8,"","",[1],86,[],"","","",""
68,"Metadata/Pet/PeacockMale/PeacockMale",4187,9926,466304269,10,"","",[1],86,[],"","","",""
69,"Metadata/Pet/PeacockFemale/PeacockFemale",4188,33779,-1989866858,9,"","",[1],86,[],"","","",""
70,"Metadata/Pet/Pukeko/Pukeko",4189,42772,-910397784,8,"","",[1],86,[],"","","",""
71,"Metadata/Pet/RockElemental/RockElemental",4190,4109,264118195,8,"","",[1],86,[],"","","",""
72,"Metadata/Pet/DesertTortoise/DesertTortoise",4191,30319,1227767617,8,"","",[1],86,[],"","","",""
73,"Metadata/Pet/Koala/KoalaBear",4192,1954,-1443058082,9,"","",[1],86,[],"","","",""
74,"Metadata/Pet/Basilisk/LargeInfernal",4193,41489,1345778215,10,"","",[1],75,[],"","","",""
75,"Metadata/Pet/BabyElephant/BabyElephant",4194,59563,-587385770,10,"","",[1],86,[],"","","",""
76,"Metadata/Pet/Wallaby/Wallaby",4195,49218,1542167465,9,"","",[1],86,[],"","","",""
77,"Metadata/Pet/Merveil/Merveil",4196,13339,-1648186919,8,"","",[2],86,[],"","","",""
78,"Metadata/Pet/Lynx/FrostLynx/FrostLynx",4197,11282,-2006539148,9,"","",[1],8,[],"","","",""
79,"Metadata/Pet/Centipede/Centipede",4198,44298,571772702,8,"","",[1],86,[],"","","",""
80,"Metadata/Pet/Parasite/Parasite",4199,33592,-1166395070,8,"","",[1],86,[],"","","",""
81,"Metadata/Pet/Wolf/Wolf",4200,4978,1417889777,10,"","",[1],86,[],"","","",""
82,"Metadata/Pet/GargoyleStone/GargoyleStone",4201,12813,-59322757,8,"","",[1],9,[],"","","",""
83,"Metadata/Pet/GargoyleBronze/GargoyleBronze",4202,23066,1034053560,9,"","",[1],9,[],"","","",""
84,"Metadata/Pet/GargoyleGold/GargoyleGold",4203,55450,644677366,11,"","",[1],9,[],"","","",""
85,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthine",4204,62877,-1416602099,12,1,"",[1],9,[],"","","",""
86,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremium",4205,18325,-1646011786,12,"",1,[1],9,[],"","","",""
87,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremiumExpired",4206,16648,144263569,12,1,"",[1],9,[],"","","",""
88,"Metadata/Pet/BladeSentry/BladeSentry",4207,57610,-1987090299,9,"","",[1],9,[],"","","",""
89,"Metadata/Pet/WhiteTiger/WhiteTiger",4208,9254,-74981471,11,"","",[1],86,[],"","","",""
90,"Metadata/Pet/Parrot/BrazilianParrot",4209,11327,1611287605,8,"","",[1],62,[],"","","",""
91,"Metadata/Pet/MonkeyNavali/MonkeyNavaliPet",4210,38441,-1622668959,8,"","",[1],23,[],"","","",""
92,"Metadata/Pet/Rabbit/Rabbit",4212,18298,1273957525,8,"","",[1],86,[],"","","",""
93,"Metadata/Pet/Beetle/Beetle",4211,62953,740153844,8,"","",[1],86,[],"","","",""
94,"Metadata/Pet/HeiTiki/Spawner",4213,1422,2132179608,8,"","",[1],78,[],"","","",""
95,"Metadata/Pet/GraspingHands/Spawner",4214,18807,505370472,8,"","",[1],86,[],"","","",""
96,"Metadata/Pet/GamepediaBook/GamepediaBook",4215,46209,-1774378308,8,"","",[1],86,[],"","","",""
97,"Metadata/Pet/Frog/PurpleCrown",4216,2373,-487986260,8,"","",[1],97,[],"","","",""
98,"Metadata/Pet/FlySwarm/FlySwarmLightning",4217,37899,-2133781286,8,"","",[1],82,[],"","","",""
99,"Metadata/Pet/Tiger/Tiger",4218,42732,1136125275,8,1,"",[1],86,[],"","","",""
100,"Metadata/Pet/Scorpion/acid_upgrade_purple",4219,29213,392127810,8,"","",[1],97,[],"","","",""
