"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32"
0,5654,0,0,0,100,"[11,25,5,4,14,0]",5863,"","","","","","","","","","",1,1,"","","","",3
1,5863,2965,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","","","","","",1,1,"","","","",3
2,5655,58,0,0,100,"[11,25,4,14,1,38]",5872,"","","","","","","","","","",1,1,"","","","",3
3,5695,5084,0,0,100,"[11,25,4,14,5]",5863,"","","","","","","","","","",1,1,"","","","",3
4,5872,67,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","","","","","",1,1,"","","","",3
5,5656,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","","","","","",1,1,"","",97,"",1
6,5708,5052,100,0,100,"[11,25,4,14,5,1]","","","","","","","","","","","",1,1,"","","","",3
7,5657,7970,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","","","","","",1,1,"","","","",2
8,5658,5070,0,60,40,"[10,25,13,14,30,33,7]",6371,"","","","","","","","","","",1,1,"","","","",2
9,5659,101,100,0,0,"[9,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",1
10,5660,7314,100,0,0,"[9,25,13,14,7]","","","","","","","","","","","",1,1,"","","","",1
11,5893,103,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","","","","","",1,1,"","","","",1
12,5873,5139,0,0,0,"[25,4,5,22]","","","","","","","","","","","",1,1,"","","","",4
13,5661,8030,100,0,0,"[9,25,13,14,40,7]",5875,"","","","","","","","","","",1,1,"","","","",1
14,5875,8034,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",8030,"","","","","","",1,1,"","","","",1
15,5662,164,60,40,0,"[9,25,13,14,33,7]",6366,"","","","","","","","","","",1,1,"","","","",1
16,5663,185,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","","","","","",1,1,"","",186,"",1
17,5664,227,100,0,0,"[27,9,25,14,15]","","","","","","","","","","","",1,1,"","","","",1
18,5665,237,0,100,0,"[10,25,13,7,36,33]",5881,"","","","","","","","","","",1,1,"","","","",2
19,5881,8028,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",237,"","","","","","",1,1,"","","","",2
20,5666,5118,40,60,0,"[10,25,13,14,33,7]","","","","","","","","","","","",1,1,"","","","",2
21,5667,245,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","","","","","",1,1,"","","","",2
22,5668,257,100,0,0,"[9,25,4,15,34]","","","","","","","","","","","",1,1,"","","","",1
23,5869,259,100,0,0,"[9,25,4,15,24,34]","",1,"","",257,"","","","","","",1,1,"","","","",1
24,5669,263,40,60,0,"[47,10,25,13,7,36]","","","","","","","","","","","",1,1,"","","","",2
25,5670,274,0,60,40,"[10,25,13,22,35,7]","","","","","","","","","","","",1,1,"","",275,"",2
26,5671,308,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","","","","","",1,1,"","","","",2
27,5674,314,0,60,40,"[10,25,4,14,0]",5874,"","","","","","","","","","",1,1,"","","","",2
28,5874,8029,0,60,40,"[10,25,4,14,24,0]","",1,"","",314,"","","","","","",1,1,"","","","",2
29,5675,7306,0,60,40,"[10,25,4,14,0]","","","","","","","","","","","",1,1,"","","","",2
30,5676,7315,0,60,40,"[10,25,4,5,14,33]","","","","","","","","","","","",1,1,"","","","",2
31,5677,332,0,100,0,"[10,25,13,5,6]","","","","","","","","","","","",1,1,"","","","",2
32,5682,333,0,100,0,"[10,25,13,5,33,6]","","","","","","","","","","","",1,1,"","","","",2
33,5683,529,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13478,"","","",1,"","","",1,1,434,"","","",1
34,5684,530,0,100,0,"[13,10,16]","","","Supports attack skills.",13573,"","","",1,"","","",1,1,"","","","",2
35,5685,532,0,100,0,"[10,16,5]","","","Supports projectile skills.",13517,"","","",1,"","","",1,1,451,"","","",2
36,5686,534,0,100,0,"[10,16,5]","","","Supports projectile skills.",13505,"","","",1,"","","",1,1,"","","","",2
37,5688,536,0,100,0,"[10,16,5]","","","Supports projectile skills.",13493,"","","",1,"","","",1,1,"","","","",2
38,5689,538,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",13482,"","","",1,"","","",1,1,444,"","","",2
39,5690,540,40,60,0,"[13,10,16]","","","Supports attack skills.",13484,"","","",1,"","","",1,1,"","","","",2
40,5691,541,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",13501,"","","",1,"","","",1,1,462,"","","",3
41,5692,543,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",13581,"","","",1,"","","",1,1,456,"","","",3
42,5672,7961,0,40,60,"[11,25,4,14,1,15]",5877,"","","","","","","","","","",1,1,"","","","",3
43,5877,7968,0,40,60,"[11,25,4,14,15,24,1]","",1,"","",7961,"","","","","","",1,1,"","","","",3
44,5673,564,0,0,100,"[11,25,4,8]","","","","","",10246,"","","","","",1,1,"","","","",3
45,5678,576,0,100,0,"[10,25,13,5,14,15,3,6]",6368,"","","","","","","","","","",1,1,"","","","",2
46,5693,588,0,0,100,"[11,25,4,14]","","","","","","","","","","","",1,1,"","","","",3
47,5694,589,0,100,0,"[10,25,4,15,33]","","","","","","","","","","","",1,1,"","","","",2
48,5696,593,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","",1,1,"","","","",3
49,5697,594,40,0,60,"[11,25,4,14,0]",5894,"","","","","","","","","","",1,1,"","","","",3
50,5894,8042,40,0,60,"[11,25,4,14,0,24,15]","",1,"","",594,"","","","","","",1,1,"","","","",3
51,5698,637,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","",1,1,"","","","",3
52,5699,638,0,0,100,"[11,25,4,14,0,1,2,38]","","","","","","","","","","","",1,1,"","","","",3
53,5700,643,33,33,34,"[29,25,4]","","","","","","","","","","","",1,1,"","","","",4
54,5895,644,33,33,34,"[29,25,4,24]","",1,"","",643,"","","","","","",1,1,"","","","",4
55,5701,645,60,0,40,"[47,9,16]","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.",13483,"","","",1,"","","",1,1,"","","","",1
56,5702,650,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.",13518,"","","",1,"","","",1,1,"","","","",3
57,5703,652,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.",13507,"","","",1,"","","",1,1,"","","","",3
58,5704,653,100,0,0,"[9,16]","","","Supports any skill that hits enemies.",13502,"","","",1,"","","",1,1,"","","","",1
59,5705,655,100,0,0,"[9,16]","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.",13490,"","","",1,"","","",1,1,"","","","",1
60,5706,657,0,100,0,"[10,16]","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.",13481,"","","",1,"","","",1,1,"","","","",2
61,5707,658,0,0,100,"[3,11,16]","","","Supports any skill that hits enemies.",13582,"","","",1,"","","",1,1,455,"","","",3
