"rownum","Stat","StatValue"
0,0,100
1,8126,600
2,9902,1
3,8745,10
4,8746,10
5,2457,10
6,9856,10
7,9857,10
8,5616,10
9,5754,10
10,3621,10
11,2314,100
12,3362,1
13,3361,1
14,5807,10
15,2312,7
16,3048,10
17,4790,1
18,5830,1
19,8556,10
20,6550,5
21,13854,1
22,10345,1
23,9359,10
24,11799,1
25,13328,100
26,4949,0
27,10058,10
28,8458,4
29,11791,10
30,8071,1
31,12139,100
32,13530,10
33,13637,100
34,13638,100
35,13666,100
36,15908,100
37,13763,1
38,13807,100
39,14539,1
40,14599,10
41,15448,1
42,16152,100
43,16168,100
44,16998,1
45,16997,1
46,16164,1
47,16158,1
48,16162,1
49,16995,1
50,16695,10
51,16771,10
52,16837,10
53,16882,10
54,16985,0
55,2336,1
56,4933,1
57,16990,1
58,17038,100
59,17074,100
60,17069,100
61,17073,100
62,17118,10
63,17436,1
