"rownum","Buff","[rid]","i32"
0,"global_auras",[473],-1
1,"global_auras",[467],-2
2,"global_auras",[469],-3
3,"global_auras",[471],-4
4,"global_auras",[167],-5
5,"global_auras",[148],-6
6,"global_auras",[154],-7
7,"global_auras",[158],-8
8,"global_auras",[150],-9
9,"global_auras",[957],-10
10,"global_auras",[963],-11
11,"global_auras",[968],-12
12,"global_auras",[985],-13
13,"global_auras",[991],-14
14,"global_auras",[996],-15
15,"global_auras",[1008],-16
16,"global_auras",[1009],-17
17,"global_auras",[1010],-18
18,"global_auras",[1018],-19
19,"global_auras",[1017],-20
20,"global_auras",[1055],-21
21,"global_auras",[1056],-22
22,"global_auras",[1057],-23
23,"global_auras",[1075],-24
24,"global_auras",[1077],-25
25,"global_auras",[1078],-26
26,"global_auras",[1079],-27
27,"global_auras",[1145],-28
28,"global_auras",[1150],-29
29,"global_auras",[1148],-30
30,"global_auras",[1151],-31
31,"global_auras",[1155],-32
32,"global_auras",[1156],-33
33,"global_auras",[1203],-34
34,"global_auras",[1206],-35
35,"global_auras",[1209],-36
36,"global_auras",[1233],-37
37,"global_auras",[1234],-38
38,"global_auras",[1301],-39
39,"global_auras",[1302],-40
40,"global_auras",[1326],-41
41,"global_auras",[1345],-42
42,"global_auras",[1346],-43
43,"global_auras",[1366],-44
44,"global_auras",[1371],-45
45,"global_auras",[1372],-46
46,"global_auras",[1373],-47
47,"global_auras",[1374],-48
48,"global_auras",[1415],-49
49,"global_auras",[1421],-50
50,"global_auras",[1422],-51
51,"global_auras",[1509],-52
52,"global_auras",[1510],-53
53,"global_auras",[1511],-54
54,"global_auras",[1512],-55
55,"global_auras",[1513],-56
56,"global_auras",[1514],-57
57,"global_auras",[1620],-58
58,"global_auras",[1621],-59
59,"global_auras",[1673],-60
60,"global_auras",[1674],-61
61,"global_auras",[1729],-62
62,"global_auras",[1741],-63
63,"global_auras",[1742],-64
64,"global_auras",[1743],-65
65,"global_auras",[1797],-66
66,"global_auras",[1798],-67
67,"global_auras",[1799],-68
68,"global_auras",[1800],-69
69,"global_auras",[1801],-70
70,"anger",[149],0
71,"anger",[150],1
72,"anger",[151],2
73,"anger",[152],3
74,"hatred",[153],0
75,"hatred",[154],1
76,"hatred",[155],2
77,"hatred",[718],3
78,"hatred",[156],4
79,"wrath",[157],0
80,"wrath",[158],1
81,"wrath",[159],2
82,"wrath",[160],3
83,"haste",[162],0
84,"haste",[467],1
85,"haste",[163],2
86,"steelskin",[1035],0
87,"steelskin",[1484],1
88,"steelskin",[1036],2
89,"ignite",[2],0
90,"ignite",[372],1
91,"ignite",[466],2
92,"ignite",[373],3
93,"ignite",[374],4
94,"ignite",[375],5
95,"ignite",[376],6
96,"ignite",[1015],7
97,"ignite",[1095],8
98,"ignite",[1163],9
99,"ignite",[1353],10
100,"ignite",[1312],11
101,"ignite",[1354],12
102,"ignite",[1351],13
103,"ignite",[1455],14
104,"ignite",[1571],15
105,"ignite",[1579],16
106,"ignite",[1587],17
107,"ignite",[1588],18
108,"ignite",[1611],19
109,"ignite",[1664],20
110,"ignite",[1668],21
111,"ignite",[1669],22
112,"ignite",[1684],23
113,"ignite",[1734],24
114,"ignite",[1739],25
115,"ignite",[1793],26
116,"ignite",[1806],27
117,"ignite",[1818],28
118,"scorch",[975],0
119,"scorch",[1818],1
120,"shock",[5],0
121,"shock",[220],1
122,"shock",[221],2
123,"shock",[222],3
124,"shock",[1096],4
125,"shock",[223],5
126,"shock",[1572],6
127,"shock",[1580],7
128,"shock",[1680],8
129,"shock",[1683],9
130,"shock",[1792],10
131,"shock",[1820],11
132,"shock",[1856],12
133,"shock",[1857],13
134,"shock",[1880],14
135,"shock",[1881],15
136,"sap",[977],0
137,"sap",[1820],1
138,"chill",[3],0
139,"chill",[1618],1
140,"chill",[1785],2
141,"chill",[1794],3
142,"chill",[1822],4
143,"freeze",[4],0
144,"freeze",[1619],1
145,"freeze",[1796],2
146,"freeze",[1819],3
147,"brittle",[976],0
148,"brittle",[1822],1
149,"poison",[11],0
150,"poison",[1745],1
151,"poison",[1817],2
152,"poison",[1849],3
153,"poison",[1859],4
154,"poison",[1860],5
155,"bleed",[137],0
156,"bleed",[139],1
157,"bleed",[1542],2
158,"bleed",[1821],3
159,"bleed_moving",[138],0
160,"bleed_moving",[140],1
161,"bleed_moving",[1543],2
162,"bleed_moving",[1821],3
163,"fire_exposure",[1001],0
164,"cold_exposure",[1002],0
165,"lightning_exposure",[1003],0
166,"fire_exposure",[1573],1
167,"cold_exposure",[1574],1
168,"lightning_exposure",[1575],1
169,"fire_exposure",[1576],2
170,"cold_exposure",[1577],2
171,"lightning_exposure",[1578],2
172,"infernal_blow_debuff",[877],0
173,"infernal_blow_debuff",[1589],1
174,"infernal_blow_debuff2",[878],0
175,"infernal_blow_debuff2",[1590],1
176,"infernal_blow_debuff3",[879],0
177,"infernal_blow_debuff3",[1591],1
178,"arcane_cloak",[1197],0
179,"arcane_cloak",[1592],1
180,"exsanguinate",[1500],0
181,"exsanguinate",[1593],1
182,"exsanguinate",[1711],2
183,"void_burst",[1594],0
184,"ambush_stealth",[1596],0
185,"cold_snap",[1599],4
186,"blood_rage",[13],0
187,"blood_rage",[1600],1
188,"lightning_strike_vaal_debuff",[862],0
189,"lightning_strike_vaal_debuff",[862],1
190,"lightning_strike_vaal_debuff",[1604],2
191,"lightning_strike_vaal_debuff",[1705],3
192,"lightning_strike_vaal_debuff",[1854],4
193,"herald_of_ash_buff",[902],-1
194,"herald_of_ash_buff",[324],0
195,"herald_of_ash_burning_buff",[173],0
196,"herald_of_ash_buff",[497],1
197,"herald_of_ash_burning_buff",[466],1
198,"herald_of_ash_buff",[496],2
199,"herald_of_ash_burning_buff",[173],2
200,"herald_of_ash_buff",[675],3
201,"herald_of_ash_burning_buff",[372],3
202,"herald_of_ash_buff",[679],4
203,"herald_of_ash_burning_buff",[173],4
204,"herald_of_ash_buff",[722],5
205,"herald_of_ash_burning_buff",[173],5
206,"herald_of_ash_buff",[808],6
207,"herald_of_ash_burning_buff",[816],6
208,"herald_of_ash_buff",[812],7
209,"herald_of_ash_burning_buff",[173],7
210,"herald_of_ash_buff",[883],8
211,"herald_of_ash_burning_buff",[173],8
212,"herald_of_ash_buff",[887],9
213,"herald_of_ash_burning_buff",[173],9
214,"herald_of_ash_buff",[896],10
215,"herald_of_ash_burning_buff",[173],10
216,"herald_of_ash_buff",[907],11
