"rownum","BaseItemTypesKey","Code","i32","bool","i32"
0,9,"alch",0,1,0
1,12,"alt",0,1,0
2,203,"annul",0,1,0
3,11,"aug",0,"",0
4,17,"bauble",0,"",0
5,24,"blessed",0,1,0
6,7,"chance",0,1,0
7,5,"chaos",20,1,40
8,19,"chisel",0,1,0
9,20,"chrome",0,1,0
10,23,"divine",0,1,20
11,207,"engineers",0,"",0
12,14,"exalted",0,1,0
13,404,"facetors",0,"",0
14,21,"fusing",0,1,0
15,18,"gcp",0,1,0
16,208,"infused-engineers-orb",0,"",0
17,22,"jewellers",0,1,0
18,182,"awakened-sextant",0,1,0
19,1,"mirror",0,1,10
20,286,"offer",0,"",0
21,289,"offer-dedication",0,"",0
22,288,"offer-gift",0,"",0
23,287,"offer-tribute",0,"",0
24,16,"portal",0,"",0
25,15,"regal",0,1,0
26,3,"regret",0,1,0
27,13,"scour",0,1,0
28,0,"scrap",0,"",0
29,8,"transmute",0,"",0
30,33,"vaal",0,1,0
31,10,"whetstone",0,"",0
32,2,"wisdom",0,"",0
