"rownum","AOFile","i32","bool","bool"
0,"Metadata/MiscellaneousObjects/Expedition/cratermiddle01_1.ao",-1039777766,1,""
1,"Metadata/Effects/Spells/icenova_03/ice_nova.ao",17146024,1,""
2,"Metadata/Effects/Spells/monsters_effects/strongbox_explode/rig.ao",-1719244815,1,""
3,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/mechanics/character_Waypoint.ao",-1636357534,1,""
4,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/mechanics/transition_Hellscape.ao",-498444031,1,""
5,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellfog_01_embers.ao",1997667788,1,""
6,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellfog_01_embers_grd.ao",1884318177,1,""
7,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellfog_02_ashes.ao",-888426187,1,""
8,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellfog_02_ashes_falling.ao",-1406419022,1,""
9,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellfog_03_embers.ao",-902778265,1,""
10,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellscape_ashes_01.ao",190261794,1,""
11,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellscape_ashes_falling_01.ao",-278914243,1,""
12,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellscape_embers_01.ao",-1406619122,1,""
13,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/hellscape_embers_grd_01.ao",332557106,1,""
14,"Metadata/Effects/Spells/molten_armour/molten_discharge.ao",-1992332902,1,1
15,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/mechanics/stunwave.ao",-2081070000,1,""
16,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/npc_Wanderer/OnActs/npcintro.ao",606581891,1,""
17,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/npc_Wanderer/OnActs/scorchDecal_HQ.ao",-944120483,1,""
18,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/elite_pale_regret/beam_blast.ao",2018109250,1,""
19,"Metadata/Effects/Spells/monsters_effects/League_Hellscape/mob_corpus_mindflayer/zap.ao",-1453795540,1,""
20,"Metadata/Effects/Spells/portal/unstable_RED/AtlasExile5Portal.ao",1147955907,"",1
21,"Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheTangle/ao/tangle_wave.ao",-1031310371,1,""
22,"Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/CleansingFire/ao/cleansing_wave.ao",1494370890,1,""
23,"Metadata/Monsters/AtlasInvaders/CleansingMonsters/CleansingBoss.ao",24780318,1,1
