"rownum","string","rid","i32","[rid]","[i32]","i32","i32","rid","i32","string","rid"
0,"MemoryLineAnarchy1",2,52576,[16842],[3],4,1224,1244,0,"of Organised Chaos",5750
1,"MemoryLineAnarchy2",2,45329,[],[],1,1225,1245,0,"of Ransacked Relics",5750
2,"MemoryLineDomination1",8,37208,"[15517,16832]","[10,100]",6,1226,1246,0,"of Formidable Shrines",5750
3,"MemoryLineDomination2",8,35260,"[16695,17618]","[4,300]",3,1227,1247,0,"of the Pantheon",31229
4,"MemoryLineEssence1",9,53818,[],[],1,1228,1248,0,"of Collective Stasis",5750
5,"MemoryLineEssence2",9,23679,"[16707,13588,13678,15520,13679]","[1,100,1,1,100]",5,1229,1249,0,"of Crystal Prisons",31230
6,"MemoryLineAmbush1",1,46590,"[16865,5136]","[4,1]",4,1230,1250,0,"of Cascading Fortunes",31231
7,"MemoryLineAmbush2",1,33628,"[5078,5139]","[1,2]",3,1231,1251,0,"of Hidden Behemoths",5750
8,"MemoryLineBreach1",6,40744,"[16750,13319,16163]","[1,40,1]",4,1232,1252,0,"of Demonic Onslaught",31232
9,"MemoryLineBreach2",6,36724,"[16826,13711,13561]","[1,200,100]",6,1233,1253,0,"of Grasping Hands",31233
10,"MemoryLineTorment1",17,19174,[2771],[1],1,1234,1254,0,"of Self-Possession",5750
11,"MemoryLineTorment2",17,24671,[2771],[1],3,1235,1255,0,"of Tormented Souls",31234
12,"MemoryLineHarbinger1",18,24813,"[16853,16907]","[1,50]",4,1236,1256,0,"of Survivor's Guilt",31235
13,"MemoryLineHarbinger2",18,29521,[16724],[1],4,1237,1257,0,"of Phaaryl",31236
14,"MemoryLineBestiary1",3,50665,[2312],[2],3,1238,1258,0,"of Harvest Beasts",31237
15,"MemoryLineBestiary2",3,46008,"[2312,13760]","[2,100]",4,1239,1259,0,"of the Menagerie",5750
16,"MemoryLineIncursion1",13,23896,"[1362,2336,13795]","[100,1,50]",4,1240,1260,0,"of Reverse Incursion",31238
17,"MemoryLineBetrayal1",4,60599,[2312],[6],1,1241,1261,0,"of Bounty Hunters",5750
18,"MemoryLineHarvest1",11,39024,"[16837,16839,16879]","[1,1,1]",4,1242,1262,0,"of the Sacred Grove",31239
19,"MemoryLineAbyss1",0,55290,[16159],[1],4,1243,1263,0,"of Chasms",31240
