"rownum","Id","rid","rid","rid","[rid]","bool","bool","[rid]","[rid]","i32","i32","i32","i32"
0,"IsNormalMonster",0,"","",[],"","",[],[],0,1,100,0
1,"IsMagicMonster",1,"","",[],"","",[],[],0,1,100,0
2,"IsRareMonster",2,"","",[],"","",[],[],0,1,100,0
3,"IsUniqueMonster",3,"","",[],"","",[],[],0,1,100,0
4,"IsMapBoss","","","",[],1,"",[],[],0,1,100,0
5,"IsNotUnique","","",3,[],"","",[],[],0,1,100,0
6,"IsBeyondMonster","",5738,"",[],"","",[],[],0,1,100,0
7,"IsInvasionBoss","",3536,"",[],"","",[],[],0,1,100,0
8,"IsTormentedSpirit","",5604,"",[],"","",[],[],0,1,100,0
9,"IsRogueExile","",8882,"",[],"","",[],[],0,1,100,0
10,"IsIzaro","",4142,"",[],"","",[],[],0,1,100,0
11,"IsNotIzaro","","","",[4142],"","",[],[],0,1,100,0
12,"IsSynthesisedMonster","","","",[],"","",[414],[],0,1,100,0
13,"IsNotConvertingPhysicalDamage","","","","[1105,1106,1107,1108]","","",[],[],0,1,100,0
14,"IsHarbinger","",9349,"",[],"","",[],[],0,1,100,0
15,"IsFirst3Possessed","",2622,"",[],"","",[],[],3,1,100,0
16,"IsCorruptedVaal","","","",[],"","",[441],[],0,1,100,0
17,"IsNotMapBoss","","","",[],"",1,[],[],0,1,100,0
18,"ShouldNotDropSplinters","",11673,"",[],"","",[],[],0,1,100,0
19,"IsWarband","",11674,"",[],"","",[],[],0,1,100,0
20,"IsElderPortal","",11675,"",[],"","",[],[],0,1,100,0
21,"IsMapBossUnderling","",11676,"",[],"","",[],[],0,1,100,0
22,"IsAfflictionWildBoss","",11677,"",[],"","",[],[],0,1,100,0
23,"IsTempleArchitect","",11710,"",[],"","",[],[],0,1,100,0
24,"IsNotTempleArchitect","","","",[11710],"","",[],[],0,1,100,0
25,"IsIncursionBoss","",11711,"",[],"","",[],[],0,1,100,0
26,"IsWarbandLeader","",11759,"",[],"","",[],[],0,1,100,0
27,"IsNotWarbandLeader","","","",[11759],"","",[],[],0,1,100,0
28,"IsBetrayalTarget","",11779,"",[],"","",[],[],0,1,100,0
29,"IsNotBetrayalTarget","","","",[11779],"","",[],[],0,1,100,0
30,"IsIncursionArchitect","",11780,"",[],"","",[],[],0,1,100,0
31,"IsNotIncursionArchitect","","","",[11780],"","",[],[],0,1,100,0
32,"IsBestiaryRedBeast","",11781,"",[],"","",[],[],0,1,100,0
33,"IsNotBestiaryRedBeast","","","",[11781],"","",[],[],0,1,100,0
34,"HeistGuard","","","",[],"","",[675],[],0,1,100,0
35,"IsNotRitualMonster","","","",[13417],"","",[],[],0,1,100,0
36,"IsShaperMonster","","","",[],"","",[685],[],0,1,100,0
37,"IsElderMonster","","","",[],"","",[686],[],0,1,100,0
38,"IsCrusaderMonster","","","",[],"","",[689],[],0,1,100,0
39,"IsEyrieMonster","","","",[],"","",[687],[],0,1,100,0
40,"IsBasiliskMonster","","","",[],"","",[688],[],0,1,100,0
41,"IsAdjudicatorMonster","","","",[],"","",[690],[],0,1,100,0
42,"IsBreachMonster","",5150,"",[],"","",[],[],0,1,100,0
43,"IsRitualRespawnedMapBoss","",7971,"",[],"","",[],[],0,1,100,0
44,"IsNotRitualRespawnedMapBoss","","","",[7971],"","",[],[],0,1,100,0
45,"IsAbyssMonster","","","",[],"","",[239],[],0,1,100,0
46,"IsEssenceMonster","",13759,"",[],"","",[],[],0,1,100,0
47,"IsInfluenceMonster","","","",[],"","",[695],[],0,1,100,0
48,"IsBlightBoss","","","",[],"","",[696],[],0,1,100,0
49,"Level4Plus","","","",[],"","",[],[],0,4,100,0
50,"IsBreachCommander","","","",[],"","",[199],[],0,1,100,0
51,"IsDelveBoss","","","",[],"","",[],[],0,1,100,11950100
52,"IsHellscapeMonster","","","",[],"","",[],[],0,1,100,-1520197555
53,"IsTangleInfluencedMonster","","","",[],"","",[],[],0,1,100,155062019
54,"IsCleansingFireInfluencedMonster","","","",[],"","",[],[],0,1,100,-1163185422
55,"Level1to45Monster","","","",[],"","",[],[],0,1,45,0
56,"Level46to67Monster","","","",[],"","",[],[],0,46,67,0
57,"Level68to72Monster","","","",[],"","",[],[],0,68,72,0
58,"Level73to77Monster","","","",[],"","",[],[],0,73,77,0
59,"Level78to84Monster","","","",[],"","",[],[],0,78,84,0
60,"Level81plusMonster","","","",[],"","",[],[],0,81,100,0
61,"Level85plusMonster","","","",[],"","",[],[],0,85,100,0
62,"IsBestiaryYellowBeast","",16846,"",[],"","",[],[],0,1,100,0
63,"IsIncursionMemoryLineMonster","",16854,"",[],"","",[],[],0,1,100,0
64,"IsMavenWitnessed","",17091,"",[],"","",[],[],0,1,100,0
65,"IsLastMapBoss","",17126,"",[],"","",[],[],0,1,100,0
66,"IsSanctumFloorBoss","",17385,"",[],"","",[],[],0,1,100,0
67,"IsSanctumGuard","",17404,"",[],"","",[],[],0,1,100,0
68,"IsSanctumBoss","",17465,"",[],"","",[],[],0,1,100,0
69,"IsAfflictionMonster","",11404,"",[],"","",[],[],0,1,100,0
70,"IsBreachMonsterCold","","","",[],"","",[1045],[],0,1,100,0
71,"IsBreachMonsterFire","","","",[],"","",[1046],[],0,1,100,0
72,"IsBreachMonsterLightning","","","",[],"","",[1047],[],0,1,100,0
73,"IsBreachMonsterPhysical","","","",[],"","",[1048],[],0,1,100,0
74,"IsBreachMonsterChaos","","","",[],"","",[1049],[],0,1,100,0
75,"IsBlightMonster","",10344,"",[],"","",[],[],0,1,100,0
