"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,20250,"Quality (Elemental Damage Modifiers)",283,0
1,20251,"Quality (Caster Modifiers)",284,1
2,20252,"Quality (Attack Modifiers)",285,2
3,20253,"Quality (Defence Modifiers)",286,3
4,20254,"Quality (Life and Mana Modifiers)",287,4
5,20255,"Quality (Resistance Modifiers)",288,5
6,20256,"Quality (Attribute Modifiers)",289,6
7,20257,"Quality (Physical and Chaos Damage Modifiers)",290,7
8,20258,"Quality (Speed Modifiers)",291,8
9,20259,"Quality (Critical Modifiers)",292,9
