"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8742,111,"Essence Item",52571,[]
1,8743,131,"Currency Item",52259,[]
2,8744,151,"Unique Item",18701,[]
3,8745,121,"Map Item",22038,[]
4,8746,251,"Unique Map Item",6696,[]
5,8747,301,"Rare Abyss Item",41772,[]
6,8748,301,"Fragment Item",60390,[]
7,8749,301,"Scarab Item",32186,[]
8,8750,151,"Essence Item",23218,[]
9,8751,301,"Fossil Item",19642,[]
10,8752,221,"Expedition Item",40101,[]
11,8753,151,"Stacked Decks",34745,[]
12,8754,151,"Talisman Item",43064,[]
13,8755,161,"Enchanted Helmet",19352,[]
14,8756,1001,"6-Linked Armour Item",6078,[]
15,8757,141,"Currency Item",14134,[]
16,8758,1501,"League-specific Unique Item",4526,[]
17,8759,501,"Shaper or Elder Armour Item",61377,[]
18,8760,501,"Shaper or Elder Weapon Item",53204,[]
19,8761,701,"Shaper or Elder Trinket Item",61894,[]
20,8762,501,"Elder Map Item",39336,[]
21,8763,351,"Breach Item",43164,[]
22,8764,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8765,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8766,301,"Item",31223,[]
25,8767,121,"Quality Gem",16288,[]
26,8768,151,"Bestiary Item",28161,[]
27,8769,221,"Blight Item",19373,[]
28,8770,221,"Metamorph Item",62324,[]
29,8771,431,"Delirium Item",23535,[]
30,8772,111,"Essence Item",46750,[]
31,8773,131,"Currency Item",54300,[]
32,8774,151,"Unique Item",59184,[]
33,8775,121,"Map Item",43361,[]
34,8776,251,"Unique Map Item",37492,[]
35,8777,301,"Rare Abyss Item",2531,[]
36,8778,301,"Fragment Item",4173,[]
37,8779,301,"Scarab Item",25303,[]
38,8780,151,"Essence Item",31454,[]
39,8781,301,"Fossil Item",51101,[]
40,8782,221,"Expedition Item",41074,[]
41,8783,151,"Stacked Decks",47490,[]
42,8784,151,"Talisman Item",23793,[]
43,8785,161,"Enchanted Helmet",42868,[]
44,8786,1001,"6-Linked Armour Item",12755,[]
45,8787,141,"Currency Item",30048,[]
46,8788,1501,"League-specific Unique Item",32094,[]
47,8789,501,"Shaper or Elder Armour Item",38195,[]
48,8790,501,"Shaper or Elder Weapon Item",28068,[]
49,8791,701,"Shaper or Elder Trinket Item",52048,[]
50,8792,501,"Elder Map Item",56725,[]
51,8793,351,"Breach Item",39939,[]
52,8794,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8795,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8796,301,"Item",55071,[]
55,8797,121,"Quality Gem",43471,[]
56,8798,151,"Bestiary Item",58563,[]
57,8799,221,"Blight Item",24651,[]
58,8800,221,"Metamorph Item",65346,[]
59,8801,431,"Delirium Item",12740,[]
