"rownum","rid","string","string"
0,11,"Orb of Alteration","Orbs of Alteration"
1,7,"Orb of Chance","Orbs of Chance"
2,17,"Glassblower's Bauble","Glassblower's Baubles"
3,19,"Chromatic Orb","Chromatic Orbs"
4,21,"Jeweller's Orb","Jeweller's Orbs"
5,6,"Orb of Alchemy","Orbs of Alchemy"
6,20,"Orb of Fusing","Orbs of Fusing"
7,12,"Orb of Scouring","Orbs of Scouring"
8,25,"Cartographer's Chisel","Cartographer's Chisels"
9,2,"Chaos Orb","Chaos Orbs"
10,204,"Orb of Binding","Orbs of Binding"
11,8,"Orb of Regret","Orbs of Regret"
12,18,"Gemcutter's Prism","Gemcutter's Prisms"
13,23,"Blessed Orb","Blessed Orbs"
14,33,"Vaal Orb","Vaal Orbs"
15,205,"Orb of Horizons","Orbs of Horizon"
16,9360,"Instilling Orb","Instilling Orbs"
17,14,"Regal Orb","Regal Orbs"
18,9359,"Enkindling Orb","Enkindling Orbs"
19,9,"Orb of Unmaking","Orbs of Unmaking"
20,181,"Awakened Sextant","Awakened Sextants"
21,8431,"Stacked Deck","Stacked Decks"
22,3,"Veiled Chaos Orb","Veiled Chaos Orbs"
23,203,"Orb of Annulment","Orbs of Annulment"
24,22,"Divine Orb","Divine Orbs"
25,13,"Exalted Orb","Exalted Orbs"
26,6925,"Divine Vessel","Divine Vessels"
27,24,"Sacred Orb","Sacred Orbs"
28,5,"Mirror of Kalandra","Mirrors of Kalandra"
29,0,"Blacksmith's Whetstone","Blacksmith's Whetstones"
30,4,"Armourer's Scrap","Armourer's Scraps"
31,10,"Orb of Transmutation","Orbs of Transmutation"
32,15,"Orb of Augmentation","Orbs of Augmentation"
