"rownum","Id","TranslationId"
0,"NoFunction","no_function"
1,"Negate","negate"
2,"PerMinuteToPerSecond","per_minute_to_per_second"
3,"PerMinuteToPerSecond0dp","per_minute_to_per_second_0dp"
4,"PerMinuteToPerSecond1dp","per_minute_to_per_second_1dp"
5,"PerMinuteToPerSecond2dp","per_minute_to_per_second_2dp"
6,"PerMinuteToPerSecond2dpIfRequired","per_minute_to_per_second_2dp_if_required"
7,"PermyriadPerMinuteToPercentPerSecond","permyriad_per_minute_to_%_per_second"
8,"DecisecondsToSeconds","deciseconds_to_seconds"
9,"MillisecondsToSeconds","milliseconds_to_seconds"
10,"MillisecondsToSeconds0dp","milliseconds_to_seconds_0dp"
11,"MillisecondsToSeconds1dp","milliseconds_to_seconds_1dp"
12,"MillisecondsToSeconds2dp","milliseconds_to_seconds_2dp"
13,"MillisecondsToSeconds2dpIfRequired","milliseconds_to_seconds_2dp_if_required"
14,"DivideByOneHundred","divide_by_one_hundred"
15,"DivideByOneHundred0dp","divide_by_one_hundred_0dp"
16,"DivideByOneHundred1dp","divide_by_one_hundred_1dp"
17,"DivideByOneHundred2dp","divide_by_one_hundred_2dp"
18,"DivideByOneHundredAndNegate","divide_by_one_hundred_and_negate"
19,"MultiplicativeDamageModifier","multiplicative_damage_modifier"
20,"ModValueToItemClass","mod_value_to_item_class"
21,"MultiplicativePermyriadDamageModifier","multiplicative_permyriad_damage_modifier"
22,"OldLeechPercent","old_leech_percent"
23,"OldLeechPermyriad","old_leech_permyriad"
24,"TempestModText","tempest_mod_text"
25,"SixtyPercentOfValue","60%_of_value"
26,"ThirtyPercentOfValue","30%_of_value"
27,"DivideByTen0dp","divide_by_ten_0dp"
28,"DivideByTwentyThenDouble0dp","divide_by_twenty_then_double_0dp"
29,"DivideByFifteen0dp","divide_by_fifteen_0dp"
30,"DivideByTwo0dp","divide_by_two_0dp"
31,"MultiplyByEightyThenMsToSeconds0dp","multiply_by_80_then_ms_to_seconds_0dp"
32,"TimesTwenty","times_twenty"
33,"DivideByTwelve","divide_by_twelve"
34,"DivideBySix","divide_by_six"
35,"PassiveHash","passive_hash"
36,"IndexToMetamorphosisRewardDescription","metamorphosis_reward_description"
37,"IndexToTreeExpansionJewelPassive","tree_expansion_jewel_passive"
38,"AfflictionRewardType","affliction_reward_type"
39,"DisplayIndexableSupport","display_indexable_support"
40,"DivideByFive","divide_by_five"
41,"DivideByThree","divide_by_three"
42,"MultiplyByFour","multiply_by_four"
43,"MultiplyByFourAndNegate","multiply_by_four_and_negate"
44,"MillisecondsToSecondsHalved","milliseconds_to_seconds_halved"
45,"DivideByTen1dp","divide_by_ten_1dp"
46,"DivideByTen1dpIfRequired","divide_by_ten_1dp_if_required"
47,"DivideByOneHundred2dpIfRequired","divide_by_one_hundred_2dp_if_required"
48,"NegateAndDouble","negate_and_double"
49,"Double","double"
50,"TimesOnePointFive","times_one_point_five"
51,"DivideByFour","divide_by_four"
52,"DivideByFifty","divide_by_fifty"
53,"MultiplyByTen","multiply_by_ten"
54,"DivideByOneThousand","divide_by_one_thousand"
55,"PlusTwoHundred","plus_two_hundred"
