"rownum","Area","PosX","PosY","Tags","[i32]","bool","TextAudio","CompletionAchievements"
0,0,0,0,[731],[1],"",11921,[]
1,1740,981,797,"[718,732]","[1,3]","",11912,"[8144,8315]"
2,1741,1078,700,"[717,732]","[1,3]","",11911,"[8145,8315]"
3,1742,962,587,"[718,732]","[1,3]","",11912,"[8146,8315]"
4,1743,1273,421,"[719,732]","[1,3]","",11912,"[8147,8315]"
5,1744,1181,611,"[724,732]","[1,3]","",11914,"[8148,8315]"
6,1745,1248,862,"[714,732]","[1,3]","",11913,"[8149,8315]"
7,1746,1020,314,"[720,732]","[1,3]","",11912,"[8150,8315]"
8,1747,857,259,"[721,732]","[1,3]","",11912,"[8151,8315]"
9,1748,938,198,"[722,732]","[1,3]","",11909,"[8152,8315]"
10,1749,1093,501,"[725,732]","[1,3]","",11915,"[8153,8315]"
11,1752,1282,212,"[723,732]","[1,3]","",11909,"[8156,8315]"
12,1750,1132,310,"[715,732]","[1,3]",1,11910,"[8154,8315]"
13,1751,1209,333,"[715,732]","[1,3]",1,11910,"[8155,8315]"
14,1753,1397,229,"[726,732]","[1,3]","",11916,"[8157,8315]"
15,1754,868,922,"[717,732]","[1,3]","",11911,"[8158,8315]"
