"rownum","Id","StatsKey","FormatText","i32"
0,"Mana",11717,"{0} Mana",1
1,"Life",13977,"{0} Life",1
2,"ES",14835,"{0} Energy Shield",1
3,"Rage",14014,"{0} Rage",1
4,"ManaPercent",13976,"{0}% Mana",1
5,"LifePercent",13978,"{0}% Life",1
6,"UnreservedManaPercent",14245,"[DNT] {0}% Unreserved Mana ",1
7,"ManaPerMinute",14666,"{0} Mana per second",60
8,"LifePerMinute",14667,"{0} Life per second",60
9,"ManaPercentPerMinute",14670,"{0}% Mana per second",60
10,"LifePercentPerMinute",14671,"{0}% Life per second",60
11,"ESPerMinute",14748,"{0) Energy Shield per second",60
12,"ESPercentPerMinute",14749,"{0}% Energy Shield per second",60
