"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8956
1,0,2,8957
2,0,3,8958
3,0,4,8959
4,1,1,8944
5,1,2,8945
6,1,3,8946
7,1,4,8947
8,2,1,8948
9,2,2,8949
10,2,3,8950
11,2,4,8951
12,3,1,8952
13,3,2,8953
14,3,3,8954
15,3,4,8955
16,4,1,8964
17,4,2,8965
18,4,3,8966
19,4,4,8967
20,5,1,8968
21,5,2,8969
22,5,3,8970
23,5,4,8971
24,6,1,8976
25,6,2,8977
26,6,3,8978
27,6,4,8979
28,7,1,8980
29,7,2,8981
30,7,3,8982
31,7,4,8983
32,8,1,8984
33,8,2,8985
34,8,3,8986
35,8,4,8987
36,9,1,8988
37,9,2,8989
38,9,3,8990
39,9,4,8991
40,10,1,8992
41,10,2,8993
42,10,3,8994
43,10,4,8995
44,11,1,8996
45,11,2,8997
46,11,3,8998
47,11,4,8999
48,12,1,9000
49,12,2,9001
50,12,3,9002
51,12,4,9003
52,13,1,8972
53,13,2,8973
54,13,3,8974
55,13,4,8975
56,14,1,9004
57,14,2,9005
58,14,3,9006
59,14,4,9007
60,15,1,9008
61,15,2,9009
62,15,3,9010
63,15,4,9011
