"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5454,5417,5432,1,1]","[5454,5454,1,1]","[5454,5417,5432,1,1]","[5454,5454,1,1]","[5454,5417,5432,1,1]","[5454,5454,1,1]","[5454,5417,5432,1,1]","[5454,5454,1,1]","[5454,5417,5432,1,1]","[5454,5454,1,1]","[5454,5417,5432,1,1]","[5454,5454,1,1]",1315,"[5454,5417,5432,1,1]","[5454,5454,1,1]"
1,"Descent2","[5795,5930,6,4981,5965]","[5795,5930,10,11,11,4980,5965]","[5795,5930,6,4981,5965]","[5795,5930,10,11,11,4980,5965]","[5678,5794,5680,6,4981,5942]","[5678,5794,5680,10,11,11,4980,5942]","[5792,6,4981,5953,5948]","[5792,10,11,11,4980,5953,5948]","[5800,6,4981,5953,5948]","[5800,10,11,11,4980,5953,5948]","[5930,5800,5795,6,4981,5948,5965]","[5930,5800,5795,10,11,11,4980,5948,5965]",1316,"[5795,5800,5930,6,4981,5965,5948]","[5795,5800,5930,10,11,11,4980,5948,5965]"
2,"Descent3","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4863,4700,4700,4996]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4863,4700,4700,4996]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4647,4617,4838,4813]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4647,4617,4838,4813]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4647,4647,4756,5472]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4647,4647,4756,5472]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4558,4558,4532,4532]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4558,4558,4532,4532]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4532,4532,4728,4728]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4532,4532,4728,4728]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4728,4728,4785]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4728,4728,4785]",1317,"[10,15,10,15,5418,5433,4928,4929,4930,4889,4889,4728,4728,4838,4617,4617]","[10,15,10,15,5418,5433,4928,4929,4930,4889,4890,4891,4728,4728,4838,4617,4617]"
3,"Descent4","[4927,10,14,1,1,1,5818,5683]","[6,6,5818,5683]","[4927,10,14,1,1,1,5818,5683]","[6,6,5818,5683]","[4927,10,14,1,1,1,5686,5689,5683]","[6,6,5689,5686,5683]","[4927,10,14,1,1,1,5686,5692,5689,5827,5957]","[6,6,5686,5689,5692,5827,5957]","[4927,10,14,1,1,1,5692,5686,5689,5957]","[6,6,5689,5692,5686,5957]","[4927,10,14,1,1,1,5692,5683,5818]","[6,6,5683,5692,5818]",1318,"[4927,10,14,1,1,1,5689,5692,5683]","[6,6,5683,5692,5689]"
4,"Descent5","[5656,0,0,0,0,6,2]","[5656,0,0,0,0,10,11,11,11,11,15,15]","[5656,0,0,0,0,6,2,5670]","[5656,0,0,0,0,10,11,11,11,11,15,15,5670]","[5914,5670,0,0,0,0,6,2]","[5914,5670,0,0,0,0,10,11,11,11,11,15,15]","[5740,0,0,0,0,6,2,5928,5779]","[5928,0,0,0,0,10,11,11,11,11,15,15,5740,5779]","[5740,5928,0,0,0,0,6,2,5779]","[5740,5928,0,0,0,0,10,11,11,11,11,15,15,5779]","[5928,0,0,0,0,6,2,5740,5924,5656]","[5656,5924,0,0,0,0,10,11,11,11,11,15,15,5928,5740]",1319,"[5928,0,0,0,0,6,2,5656,5740]","[5656,0,0,0,0,10,11,11,11,11,15,15,5740,5928]"
5,"Descent6","[4894,5659,5419,5434,6,6,5962]","[4894,5419,5434,5659,11,11,11,11,15,15,5962]","[4894,5659,5419,5434,5824,6,6,5962]","[4894,5824,5419,5434,5659,11,11,11,11,15,15,5962]","[4894,5748,5824,5419,5434,5765,6,6]","[4894,5824,5765,5419,5434,5748,11,11,11,11,15,15]","[4894,5829,5419,5434,5847,5855,6,6,5956,5944]","[4894,5419,5434,5847,5855,5829,11,11,11,11,15,15,5956,5944]","[4894,5766,5419,5434,5855,5759,5655,6,6,5956,5944]","[4894,5655,5419,5434,5759,5855,5766,11,11,11,11,15,15,5956,5944]","[4894,5759,5419,5434,5655,5659,5820,6,6,5962]","[4894,5419,5434,5659,5655,5759,5820,11,11,11,11,15,15,5962]",1320,"[4894,5419,5434,5759,5659,6,6,5962]","[4894,5419,5434,5759,5659,11,11,11,11,15,15,5962]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4702,4702,4997,4864]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4702,4702,4997,4864]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4814,4839,4649,4618]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4814,4839,4649,4618]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4758,4649,4649,5472]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,4758,4649,4649,5472]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4533,4533,4560,4560]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4533,4533,4560,4560]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4533,4533,4730,4730]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4533,4533,4730,4730]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4730,4730,4786]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4730,4730,4786]",1321,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4730,4730,4618,4618,4839]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4730,4730,4618,4618,4839]"
7,"Descent8","[5903,5664,5799,4893,4895,4934,4935,4933,2,6,11]","[5903,5664,5799,4893,4895,4934,4935,4933,12,12,10,10,10,11]","[5903,5664,5799,4893,4895,4934,4935,4933,2,6,11]","[5903,5664,5799,4893,4895,12,12,10,10,10,11,4934,4935,4933]","[5903,5904,5671,5799,4893,4895,4934,4935,4933,2,6,11]","[5903,5904,5671,5799,4893,4895,12,12,10,10,10,11,4934,4935,4933]","[5905,5904,5799,4893,4895,4934,4935,4933,2,6,11]","[5905,5904,5799,4893,4895,12,12,10,10,10,11,4934,4935,4933]","[5905,5904,4893,4895,4934,4935,4933,2,6,11]","[5905,5904,4893,4895,12,12,10,10,10,11,4934,4935,4933]","[5903,5905,5664,4893,4895,4934,4935,4933,2,6,11]","[5903,5905,5664,4893,4895,12,12,10,10,10,11,4934,4935,4933]",1322,"[5904,5905,5903,4893,4895,4934,4935,4933,2,6,11]","[5904,5905,5903,4893,4895,12,12,10,10,10,11,4934,4935,4933]"
8,"Descent9","[4,4,4,6,6,4982,5173,5349,5095,5278,5726,5420,5435,5684,5756,4]","[4980,0,0,0,6,6,4865,4703,4998,5684,5756,5420,5435,5726,4703,0]","[4,4,4,6,6,4982,5225,5385,5126,5315,5726,5420,5435,5684,5756,4]","[4980,0,0,0,6,6,4840,4650,5756,5684,5420,5435,5726,4815,4620,0]","[4,4,4,6,6,4982,5191,5361,5106,5291,5853,5420,5435,5684,5756,5726,4]","[4980,0,0,0,6,6,4759,5472,5756,5684,5420,5435,4650,4650,5853,5726,0]","[4,4,4,6,6,4982,5259,5401,5153,5331,5749,5420,5435,5729,5936,4]","[4980,0,0,0,6,6,4981,4561,4561,5729,5936,5420,5435,5749,4534,4534,0]","[4,4,4,6,6,4982,5208,5373,5116,5303,5729,5420,5435,5749,4]","[4980,0,0,0,6,6,4981,5749,5420,5435,5729,4534,4534,4731,4731,0]","[4,4,4,6,6,4982,5242,5393,5139,5323,5729,5726,5420,5435,5684,5749,5756,4]","[4980,0,0,0,6,6,4981,4731,4731,5749,5756,5420,5435,5684,5726,5729,4787,0]",1323,"[4,4,4,6,6,4982,5225,5385,5126,5315,5729,5726,5420,5435,5749,5684,5756,4]","[4980,0,0,0,6,6,4840,5749,5684,5420,5435,5729,5756,5726,4731,4731,4620,4620,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1324,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
10,"Descent11","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]","[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]",1325,"[4980,4981,6,6,4893,4894,4895,2,14,11,11]","[4982,4983,5454,6,6,4893,4894,4895,2,2]"
