"rownum","Contract_BaseItemTypesKey","Level","Cost","CostHardmode"
0,0,1,0,""
1,2,1,1,""
2,4,1,2,""
3,5,1,3,""
4,6,1,4,""
5,7,1,5,""
6,8,1,6,""
7,10,1,7,37
8,11,1,8,""
9,12,1,9,""
10,13,1,10,""
11,14,1,11,""
12,15,1,12,""
13,16,1,13,""
14,17,1,14,""
15,18,1,15,""
16,19,1,16,""
17,20,1,17,""
18,21,1,18,""
19,22,1,19,""
20,23,1,20,""
21,24,1,21,""
22,42,1,22,""
23,44,1,23,""
24,179,1,24,""
25,180,1,25,""
26,181,1,26,""
27,9,1,27,120
28,222,1,28,""
29,223,1,29,""
30,224,1,30,""
31,225,1,31,""
32,226,1,32,""
33,227,1,33,""
34,228,1,34,""
35,229,1,35,""
36,230,1,36,""
37,4531,1,38,114
38,4532,1,39,114
39,4533,1,40,114
40,4534,1,41,114
41,4535,1,42,114
42,4536,1,42,114
43,4538,1,42,114
44,4539,1,42,114
45,4540,1,43,115
46,4541,1,43,115
47,4542,1,43,115
48,4544,1,43,115
49,4545,1,43,115
50,4546,1,44,116
51,4547,1,44,116
52,4548,1,44,116
53,4556,1,38,""
54,4553,1,40,114
55,4554,1,42,115
56,4555,1,44,116
57,4557,1,38,114
58,4558,1,39,114
59,4559,1,40,114
60,4560,1,41,114
61,4561,1,42,114
62,4562,1,42,114
63,4563,1,42,114
64,4564,1,42,114
65,4566,1,42,114
66,4567,1,42,114
67,4568,1,42,114
68,4569,1,43,115
69,4570,1,43,115
70,4571,1,43,115
71,4572,1,43,115
72,4574,1,43,115
73,4575,1,43,115
74,4576,1,44,116
75,4577,1,44,116
76,4578,1,44,116
77,4579,1,44,116
78,4580,1,44,116
79,4588,1,38,114
80,4589,1,45,114
81,4590,1,40,114
82,4591,1,41,114
83,4592,1,42,114
84,4593,1,42,114
85,4594,1,42,114
86,4595,1,42,114
87,4597,1,42,114
88,4598,1,42,114
89,4599,1,43,115
90,4600,1,43,115
91,4601,1,43,115
92,4602,1,43,115
93,4603,1,43,115
94,4605,1,43,115
95,4606,1,44,116
96,4607,1,44,116
97,4608,1,44,116
98,4609,1,44,116
99,4610,1,44,116
100,4611,1,44,116
101,4616,1,38,114
102,4617,1,39,114
103,4618,1,40,114
104,4619,1,41,114
105,4620,1,42,114
106,4621,1,42,114
107,4622,1,42,114
108,4623,1,42,114
109,4625,1,42,114
110,4626,1,42,114
111,4627,1,42,114
112,4628,1,43,115
113,4629,1,43,115
114,4630,1,43,115
115,4631,1,43,115
116,4633,1,43,115
117,4634,1,43,115
118,4635,1,44,116
119,4636,1,44,116
120,4637,1,44,116
121,4638,1,44,116
122,4639,1,44,116
123,4646,1,38,114
124,4647,1,39,114
125,4648,1,40,114
126,4649,1,41,114
127,4650,1,42,114
128,4651,1,42,114
129,4652,1,42,114
130,4653,1,42,114
131,4655,1,42,114
132,4656,1,42,114
133,4657,1,42,114
134,4658,1,43,115
135,4659,1,43,115
136,4660,1,43,115
137,4661,1,43,115
138,4663,1,43,115
139,4664,1,43,115
140,4665,1,44,116
141,4666,1,44,116
142,4667,1,44,116
143,4668,1,44,116
144,4669,1,44,116
145,4674,1,38,114
146,4675,1,45,114
147,4676,1,40,114
