"rownum","Id","rid","Name","rid","i32","bool","i32"
0,1,40,"Weapon Skin",2,0,"",0
1,2,42,"Weapon Effect",2,0,"",0
2,3,44,"Weapon Added Effect","",0,"",0
3,4,40,"Weapon Skin",3,0,"",0
4,5,42,"Weapon Effect",3,0,"",0
5,6,44,"Weapon Added Effect","",0,"",0
6,7,46,"Helmet Skin",4,0,"",0
7,8,47,"Helmet Attachment",4,0,"",0
8,9,48,"Armour Skin",1,0,"",0
9,10,5,"Armour Attachment",1,0,"",0
10,11,50,"Gloves Skin",8,0,"",0
11,12,51,"Boots Skin",9,0,"",0
12,13,52,"Footprints",9,0,"",0
13,14,54,"Apparition","",0,"",0
14,15,55,"Character Effect",10,0,"",0
15,16,58,"Portrait","",0,"",0
16,17,57,"Social Frame","",0,"",0
17,18,56,"Pet","",0,"",0
18,19,56,"Pet","",0,"",0
19,20,59,"Portal","",0,"",0
20,21,47,"Helmet Attachment",4,0,"",0
21,22,35,"HUD","",0,"",0
22,23,34,"Cursor","",0,"",0
23,24,38,"Belt Skin",10,0,"",0
24,25,39,"Amulet Skin",5,0,"",0
25,26,37,"Flask Skin",11,0,"",0
26,27,37,"Flask Skin",11,1,"",0
27,28,37,"Flask Skin",11,2,"",0
28,29,37,"Flask Skin",11,3,"",0
29,30,37,"Flask Skin",11,4,"",0
30,31,60,"Ring Skin",6,0,"",0
31,32,60,"Ring Skin",7,0,"",0
32,33,61,"Hip Attachment",10,0,"",0
33,34,62,"Alternate Charge Skin","",0,"",0
34,35,36,"Passive Jewel Skin",23,0,1,0
35,36,8,"Skill Gem Effect","",0,1,0
