"rownum","Id","Cost1Currencies","Cost1Values","Cost2Currencies","Cost2Values","Cost3Currencies","Cost3Values","Cost4Currencies","Cost4Values"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",[4],[3],[],[],[],[],[],[]
1,"Metadata/Items/Currency/CurrencyRerollRare",[6],[3],[],[],[],[],[],[]
2,"Metadata/Items/Currency/CurrencyArmourQuality",[0],[1],[],[],[],[],[],[]
3,"Metadata/Items/Currency/CurrencyDuplicate",[22],[223],[],[],[],[],[],[]
4,"Metadata/Items/Currency/CurrencyUpgradeToRare",[8],[1],[],[],[],[],[],[]
5,"Metadata/Items/Currency/CurrencyUpgradeRandomly",[20],[1],[],[],[],[],[],[]
6,"Metadata/Items/Currency/CurrencyPassiveRefund",[12],[2],[],[],[],[],[],[]
7,"Metadata/Items/Currency/CurrencyUpgradeToMagic",[16],[7],[],[],[],[],[],[]
8,"Metadata/Items/Currency/CurrencyRerollMagic",[15],[4],[],[],[],[],[],[]
9,"Metadata/Items/Currency/CurrencyConvertToNormal",[7],[4],[],[],[],[],[],[]
10,"Metadata/Items/Currency/CurrencyAddModToRare",[14],[5],[],[],[],[],[],[]
11,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",[2],[16],[],[],[],[],[],[]
12,"Metadata/Items/Currency/CurrencyAddModToMagic",[10],[4],[],[],[],[],[],[]
13,"Metadata/Items/Currency/CurrencyPortal",[1],[3],[],[],[],[],[],[]
14,"Metadata/Items/Currency/CurrencyFlaskQuality",[0],[8],[],[],[],[],[],[]
15,"Metadata/Items/Currency/CurrencyGemQuality",[17],[20],[],[],[],[],[],[]
16,"Metadata/Items/Currency/CurrencyRerollSocketColours",[21],[3],[],[],[],[],[],[]
17,"Metadata/Items/Currency/CurrencyRerollSocketLinks",[21],[4],[],[],[],[],[],[]
18,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",[11],[2],[],[],[],[],[],[]
19,"Metadata/Items/Currency/CurrencyModValues",[13],[4],[],[],[],[],[],[]
20,"Metadata/Items/Currency/CurrencyRerollImplicit",[14],[1],[],[],[],[],[],[]
21,"Metadata/Items/Currency/CurrencyRerollDefences",[13],[4],[],[],[],[],[],[]
22,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",[2],[1],[],[],[],[],[],[]
23,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",[2],[1],[],[],[],[],[],[]
24,"Metadata/Items/Currency/CurrencyAddAtlasMod","[2,6]","[1,1]",[],[],[],[],[],[]
25,"Metadata/Items/Currency/CurrencyAddAtlasModMid","[2,6]","[2,1]",[],[],[],[],[],[]
26,"Metadata/Items/Currency/CurrencyAddAtlasModHigh","[2,6]","[3,1]",[],[],[],[],[],[]
27,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",[8],[2],[],[],[],[],[],[]
28,"Metadata/Items/Currency/Bestiary/BestiaryNet1",[1],[-1],[],[],[],[],[],[]
