"rownum","string","[rid]","[i32]","string","bool","i32","i32","i32","rid","i32","i32","i32","string","string","string","rid","rid","i32","i32","i32","bool","[rid]","[string]"
0,"NULL",[],[],"",1,335544320,0,184549376,0,0,-16843010,-16843010,"","","","","",0,5,0,"",[],[]
1,"AfflictionMonsterDamage",[16076],[25],"Honed Claws",1,2013265920,0,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","Monsters deal 25% more Damage","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
2,"BoonMonsterDamage",[16075],[-40],"Fright Mask",1,704643072,2,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 40% less Damage","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
3,"AfflictionLethalTraps",[17593],[1],"Deadly Snare",1,-503316480,3,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","Traps impact infinite Resolve","","",0,5,0,"",[9301],"[""eIcons/BoonRustyDescry""]"
4,"AfflictionTrapSanctumDamage",[17016],[1],"Dark Pit",1,-838860800,5,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","Traps impact 100% increased Resolve","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
5,"AfflictionLessGold",[17023],[-50],"Charred Coin",1,-2080374784,7,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCharredCoin","","50% less Aureus coins found","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
6,"AfflictionLessDamage",[17024],[-25],"Blunt Sword",1,1006632960,9,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","You and your Minions deal 25% less Damage","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
7,"AfflictionTrapSpeed",[17015],[1],"Rapid Quicksand",1,234881024,11,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","Traps are faster","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
8,"AfflictionTrapVolatiles",[17017],[1],"Anomaly Attractor",1,-905969664,12,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","Rooms spawn Volatile Anomalies","","",0,5,0,"",[9302],"[""eIcons/BoonRustyDescry""]"
9,"BoonMovementSpeed",[5757],[60],"Hare Foot",1,-1577058304,14,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","60% increased Movement Speed","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
10,"BoonMoreGold",[17081],[50],"Gold Magnet",1,1006632960,16,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMagnet","50% more Aureus coins found","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
11,"BoonGainGoldWhenDamaged",[17082],[20],"Silver Coin",1,-234881024,17,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverCoin","Gain 20 Aureus coins when you lose Resolve from a Hit","","","",0,5,0,"",[9288],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
12,"AfflictionLoseGoldWhenDamaged",[17084],[20],"Spilt Purse",1,-201326592,19,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpiltPurse","","Lose 20 Aureus coins when you lose Resolve from a Hit","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
13,"AfflictionLoseGoldOnRoomComplete",[17085],[30],"Door Tax",1,-301989888,21,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDoorTax","","Lose 30 Aureus coins on room completion","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
14,"AfflictionNoGoldFromMonsters",[17086],[1],"Death Toll",1,-1207959552,23,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDeathToll","","Monsters no longer drop Aureus coins","","",0,5,0,"",[9303],"[""eIcons/BoonRustyDescry""]"
15,"AfflictionNoGoldFromChests",[17087],[1],"Empty Trove",1,-1845493760,25,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseEmptyTrove","","Chests no longer drop Aureus coins","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
16,"AfflictionMonsterLife",[988],[30],"Spiked Shell",1,1409286144,27,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedShell","","Monsters have 30% increased Maximum Life","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
17,"AfflictionMonsterSanctumDamage",[17088],[25],"Hungry Fangs",1,939524096,29,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHungryFangs","","Monsters impact 25% increased Resolve","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
18,"AfflictionNoSanctumHealthRecovery",[17089],[1],"Demonic Skull",1,503316480,31,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDemonicSkull","","Cannot recover Resolve","","",0,5,0,"",[9304],"[""eIcons/BoonRustyDescry""]"
19,"AfflictionSanctumRecovery",[17092],[-50],"Unquenched Thirst",1,-234881024,32,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirst","","50% reduced Resolve recovered","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
20,"BoonSanctumRecovery",[17092],[50],"Rusted Descry",1,-1073741824,34,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescry","50% increased Resolve recovered","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
21,"AfflictionViewRoomsAhead",[17093],[-1],"Black Smoke",1,-2080374784,36,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmoke","","You can see one fewer room ahead on the Sanctum Map","","",0,5,0,"",[],"[""eIcons/BoonRustyDescry""]"
22,"BoonViewRoomsAhead",[17093],[1],"Scrying Crystal",1,1744830464,38,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystal","You can see an additional room ahead on the Sanctum Map","","","",0,5,0,"",[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
23,"AfflictionMerchantCost",[17098],[50],"Unhallowed Ring",1,1744830464,40,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRing","","50% increased Merchant prices","","",0,5,0,1,[],"[""eIcons/BoonRustyDescry""]"
24,"BoonMerchantCost",[17098],[-50],"Silver Tongue",1,671088640,42,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongue","50% reduced Merchant prices","","","",0,5,0,1,[],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
25,"BoonDisableTraps",[17097],[1],"Imperial Seal",1,-671088640,43,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSeal","Traps are Disabled","","","",0,5,0,"",[9289],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
26,"BoonBlockXHitsEachRoom",[17103],[1],"Silver Descry",1,-1845493760,45,184549376,16777216,0,-16843010,-16843010,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescry","Ignore the first Resolve lost from Hits in each room","","","",0,5,0,"",[9290],"[""攀䤀挀漀渀猀⼀䈀漀漀渀刀甀猀琀礀䐀攀猀挀爀礀""]"
