"rownum","string","bool","bool","rid","rid","i32","bool","string","bool","string","[string]","[rid]","string","bool"
0,"Explore","","",238,237,1276,"","","","","[""Abandoned Library"",""Decrepit Cellar"",""Halls of Worship"",""Undercroft""]","[9278,9118]","",""
1,"Arena","",1,240,239,1276,"","","","","[""Templar Annals"",""Battleground"",""Infernum"",""Desecrated Crypts""]","[9279,9118]","",""
2,"Lair","",1,240,239,1276,"","","","","[""Chambers of Inscription"",""Derelict Caverns"",""Unholy Lair"",""Lost Catacombs""]","[9280,9118]","",""
3,"Maze","","",238,237,1276,"","","","","[""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles"",""Sacred Chronicles""]",[9118],"",""
4,"Gauntlet","","",238,237,1276,"","","","","[""Holy Trials"",""Gauntlet"",""Crucible"",""Entombment""]","[9282,9118]","",""
5,"Miniboss","",1,244,243,1276,"","",1,"","[""Scriptorium"",""Reliquary"",""Sanctum Bellum"",""Mausoleum""]","[9281,9118]","",""
6,"Vault","","",238,237,1276,"","","","","[""Repository"",""Treasury"",""Forsaken Arcae"",""Templar Coffers""]",[9118],"",""
7,"Puzzle","","",242,241,1276,"","","","","[""Puzzle"",""Conundrum"",""Enigma"",""Quandary""]",[9118],"",""
8,"Boss","","",246,247,1276,1,"",1,"","[""Candlelit Chapel"",""Experimentation Chamber"",""Hall of Mirrors"",""Sanctum Sanctorum""]","[9283,9118]","",""
9,"Merchant",1,"","","",1009,"","Art/2DArt/UIImages/InGame/Sanctum/MerchantIcon","","Contains Merchant","[""Merchant"",""Merchant"",""Merchant"",""Merchant""]",[],"",""
10,"Fountain",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/HealingFountainIcon","","Contains Fountain","[""Fountain"",""Fountain"",""Fountain"",""Fountain""]",[],"",""
11,"Deal",1,"","","",1031,"","Art/2DArt/UIImages/InGame/Sanctum/LyciaPactIcon","","Contains Accursed Pact","[""Accursed Pact"",""Accursed Pact"",""Accursed Pact"",""Accursed Pact""]",[],"",""
12,"Deferral",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/CurrencyRewardIcon","","Offers Items on Completion","[""Offer"",""Offer"",""Offer"",""Offer""]",[],"May Offer Items on Completion",1
13,"CurseFountain",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/CurseFountainIcon","","Contains Afflicted Fountain","[""Afflicted Fountain"",""Afflicted Fountain"",""Afflicted Fountain"",""Afflicted Fountain""]",[],"",""
14,"BoonFountain",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/BoonFountainIcon","","Contains Benevolent Fountain","[""Benevolent Fountain"",""Benevolent Fountain"",""Benevolent Fountain"",""Benevolent Fountain""]",[],"",""
15,"RainbowFountain",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/RainbowFountainIcon","","Contains Radiant Fountain","[""Radiant Fountain"",""Radiant Fountain"",""Radiant Fountain"",""Radiant Fountain""]",[],"",""
16,"Treasure",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/TreasureIcon","","Contains Major Treasure Reward","[""Major Treasure"",""Major Treasure"",""Major Treasure"",""Major Treasure""]",[],"",""
17,"TreasureMinor",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/MinorTreasureIcon","","Contains Minor Treasure Reward","[""Minor Treasure"",""Minor Treasure"",""Minor Treasure"",""Minor Treasure""]",[],"",""
18,"Final",1,"","","",1276,"","Art/2DArt/UIImages/InGame/Sanctum/GargoyleBossIcon","","","[""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel"",""Candlelit Chapel""]",[],"",""
