"rownum","QuestFlag","i32","StatsKeys","StatValues","QuestKey","i32","ClientStringsKey","i32","StatValuesHardmode","ClientStringHardmode","i32"
0,116,1,[],[],4,0,"",0,[],"",0
1,46,1,[],[],6,0,"",0,[],"",0
2,228,0,[],[],3,0,"",2,[],"",0
3,263,1,[],[],8,0,"",0,[],"",0
4,54,0,"[1904,620,177]","[6,10,6]",16,0,"",0,"[6,10,6]","",0
5,56,0,"[131,95,141]","[300,20,15]",17,0,"",0,"[300,20,15]","",0
6,89,0,"[451,1034,26]","[60,2,20]",18,0,"",0,"[60,2,20]","",0
7,103,0,[],[],10,0,"",2,[],"",0
8,122,2,[],[],15,0,"",0,[],"",0
9,459,1,[],[],23,0,"",2,[],"",0
10,217,1,[],[],30,0,"",0,[],"",0
11,793,1,[],[],39,0,"",2,[],"",0
12,1068,1,[],[],65,0,"",0,[],"",0
13,1093,1,[],[],69,0,"",2,[],"",0
14,1171,1,[],[],72,0,"",0,[],"",0
15,1189,1,[],[],75,0,"",0,[],"",0
16,1183,0,[],[],73,0,"",2,[],"",0
17,1196,1,[],[],76,0,"",0,[],"",0
18,1277,1,[],[],77,0,"",0,[],"",0
19,1383,1,[],[],85,0,"",0,[],"",0
20,1313,1,[],[],82,0,"",2,[],"",0
21,1448,1,[],[],91,0,"",2,[],"",0
22,1435,1,[],[],89,0,"",0,[],"",0
23,1457,1,[],[],92,0,"",0,[],"",0
24,1569,1,[],[],97,0,"",0,[],"",0
25,1561,1,[],[],94,0,"",0,[],"",0
26,1619,0,[],[],96,0,"",2,[],"",0
27,1668,0,[],[],101,0,"",2,[],"",0
28,1674,1,[],[],103,0,"",0,[],"",0
29,1660,2,[],[],100,0,"",0,[],"",0
30,654,2,[],[],"",0,"",0,[],"",0
31,655,2,[],[],"",0,"",0,[],"",0
32,656,2,[],[],"",0,"",0,[],"",0
33,657,2,[],[],"",0,"",0,[],"",0
34,899,0,[],[],"",2,"",0,[],"",2
35,992,0,[],[],"",2,"",0,[],"",2
36,993,0,[],[],"",2,"",0,[],"",2
37,900,0,[],[],"",2,"",0,[],"",0
38,1085,0,"[141,150]","[-30,-30]",68,0,2893,0,"[-30,-30]",2893,0
39,59,0,"[141,150]","[-30,-30]",100,0,2894,0,"[-30,-30]",2894,0
40,2347,3,[],[],"",0,"",0,[],"",0
41,2290,3,[],[],"",0,"",2,[],"",0
42,2291,3,[],[],"",0,"",3,[],"",0
43,2292,3,[],[],"",0,"",3,[],"",0
44,2293,3,"[141,150]","[-30,-30]","",0,2893,3,"[-30,-30]",2893,0
45,2294,3,[],[],"",0,"",3,[],"",0
46,2295,3,[],[],"",0,"",3,[],"",0
47,2296,3,"[141,150]","[-30,-30]","",0,2894,3,"[-30,-30]",2894,0
48,2603,3,[],[],"",0,"",0,[],"",0
49,2604,3,[],[],"",0,"",2,[],"",0
50,2605,3,[],[],"",0,"",3,[],"",0
51,2606,3,[],[],"",0,"",3,[],"",0
52,2607,3,"[141,150]","[-30,-30]","",0,2893,3,"[-30,-30]",2893,0
53,2608,3,[],[],"",0,"",3,[],"",0
54,2609,3,[],[],"",0,"",3,[],"",0
55,2610,3,"[141,150]","[-30,-30]","",0,2894,3,"[-30,-30]",2894,0
